Physics-Based Deformable Tongue Visualization,"Yin Yang, Xiaohu Guo, Jennell Vick, Luis G. Torres, Thomas F. Campbell, ",2013,6,Contour-based 3D tongue motion visualization using ultrasound image sequences,HMM based speech-driven 3D tongue animation,A survey of tongue modeling methods in speech visualization,Acoustic VR in the mouth: A real-time speech-driven visual tongue system
Embedding Topic Discovery in Conditional Random Fields Model for Segmenting Nuclei Using Multispectral Data,"Xuqing Wu, Mojgan Amrikachi, Shishir K. Shah, ",2012,6,Spectral band selection for mitosis detection in histopathology,Robust Nucleus/Cell Detection and Segmentation in Digital Pathology and Microscopy Images: A Comprehensive Review,Local Optimization Based Segmentation of Spatially-Recurring Multi-Region Objects With Part Configuration Constraints
Attention to Scale: Scale-Aware Semantic Image Segmentation,"Liang-Chieh Chen, Yi Yang, Jiang Wang, Wei Xu, Alan L. Yuille, ",2016,6,Multi-scale salient object detection with pyramid spatial pooling,Budget-Aware Deep Semantic Video Segmentation,Interpretable Structure-Evolving LSTM,Multi-scale Continuous CRFs as Sequential Deep Networks for Monocular Depth Estimation,Fully Convolutional Instance-Aware Semantic Segmentation,Learning from Synthetic Humans,Unite the People: Closing the Loop Between 3D and 2D Human Representations,Gated Feedback Refinement Network for Dense Image Labeling,Multi-scale FCN with Cascaded Instance Aware Segmentation for Arbitrary Oriented Word Spotting in the Wild,Convolutional Random Walk Networks for Semantic Image Segmentation,Multi-attention Network for One Shot Learning,Pyramid Scene Parsing Network,Episodic CAMN: Contextual Attention-Based Memory Networks with Iterative Feedback for Scene Labeling,Look into Person: Self-Supervised Structure-Sensitive Learning and a New Benchmark for Human Parsing,Self-Supervised Neural Aggregation Networks for Human Parsing,Attention to the Scale: Deep Multi-Scale Salient Object Detection,Dense and Low-Rank Gaussian CRFs Using Deep Embeddings,VegFru: A Domain-Specific Dataset for Fine-Grained Visual Categorization,FoveaNet: Perspective-Aware Urban Scene Parsing,Beyond Planar Symmetry: Modeling Human Perception of Reflection and Rotation Symmetries in the Wild,Using Cross-Model EgoSupervision to Learn Cooperative Basketball Intention,Multi-Scale Multi-Task FCN for Semantic Page Segmentation and Table Detection,Context-aware cascade network for semantic labeling in VHR image,Convolutional feature pyramid fusion via attention network,Unsupervised stereo matching using correspondence consistency,A joint multi-scale convolutional network for fully automatic segmentation of the left ventricle,Learning attentional recurrent neural network for visual tracking,Semi-supervised hierarchical semantic object parsing,Learning Depth-Aware Deep Representations for Robotic Perception,Vision-Based Online Adaptation of Motion Primitives to Dynamic Surfaces: Application to an Interactive Robotic Wiping Task
Semantic information extraction from multispectral geospatial imagery via a flexible framework,"Shaun Gleason, Regina Ferrell, Anil Cheriyadat, Raju Vatsavai, Soumya De, ",2010,6,Verification &amp; validation of a semantic image tagging framework via generation of geospatial imagery ground truth,Geographic Image Retrieval Using Local Invariant Features,Remote Sensing Image Retrieval With Global Morphological Texture Descriptors,A Three-Layered Graph-Based Learning Approach for Remote Sensing Image Retrieval,Estimating the spatial extents of geospatial objects using hierarchical models
Semantic Image Segmentation with Task-Specific Edge Detection Using CNNs and a Discriminatively Trained Domain Transform,"Liang-Chieh Chen, Jonathan T. Barron, George Papandreou, Kevin Murphy, Alan L. Yuille, ",2016,6,CASENet: Deep Category-Aware Semantic Edge Detection,Learning Random-Walk Label Propagation for Weakly-Supervised Semantic Segmentation,Fully Convolutional Instance-Aware Semantic Segmentation,Convolutional Random Walk Networks for Semantic Image Segmentation,Hierarchical joint-guided networks for semantic image segmentation,Semantic image segmentation using region-based object detector,Learnable contextual regularization for semantic segmentation of indoor scene images,Fast cloud image segmentation with superpixel analysis based convolutional networks,FusionNet: Edge Aware Deep Convolutional Networks for Semantic Segmentation of Remote Sensing Harbor Images,Conditional Random Fields Meet Deep Neural Networks for Semantic Segmentation: Combining Probabilistic Graphical Models with Deep Learning for Structured Prediction,Everything You Wanted to Know about Deep Learning for Computer Vision but Were Afraid to Ask,Robust Guided Image Filtering Using Nonconvex Potentials,DeepLab: Semantic Image Segmentation with Deep Convolutional Nets Atrous Convolution and Fully Connected CRFs,Segmentation-Aware Convolutional Networks Using Local Attention Masks,Unsupervised Clustering Guided Semantic Segmentation,Drivable Road Detection Based on Dilated FPN with Feature Aggregation
Multiple parenting identification in image phylogeny,"A. Oliveira, P. Ferrara, A. De Rosa, A. Piva, M. Barni, S. Goldenstein, Z. Dias, A. Rocha, ",2014,6,Computing an image Phylogeny Tree from photometrically modified iris images,U-Phylogeny: Undirected provenance graph construction in the wild,Image phylogeny forest construction using manifold learning and spectral clustering,Manifold Learning and Spectral Clustering for Image Phylogeny Forests,Phylogeny reconstruction for misaligned and compressed video sequences,Multiple Parenting Phylogeny Relationships in Digital Images
Semantic Segmentation of Small Objects and Modeling of Uncertainty in Urban Remote Sensing Images Using Deep Convolutional Neural Networks,"Michael Kampffmeyer, Arnt-B&oslash;rre Salberg, Robert Jenssen, ",2016,6,Very High Resolution Object-Based Land Use–Land Cover Urban Classification Using Extreme Gradient Boosting,Urban land cover classification with missing data using deep convolutional neural networks,Recurrent Neural Networks to Correct Satellite Image Classification Maps,Unsupervised-Restricted Deconvolutional Neural Network for Very High Resolution Remote-Sensing Image Classification,High-Resolution Aerial Image Labeling With Convolutional Neural Networks,A future for learning semantic models of man-made environments,Semantic segmentation for high-resolution aerial imagery using multi-skip network and Markov random fields,Convolutional neural networks for multispectral image cloud masking,Deep Learning in Remote Sensing: A Comprehensive Review and List of Resources,Symmetrical Dense-Shortcut Deep Fully Convolutional Networks for Semantic Segmentation of Very-High-Resolution Remote Sensing Images,Effective Use of Dilated Convolutions for Segmenting Small Object Instances in Remote Sensing Imagery,Urban Land Cover Classification With Missing Data Modalities Using Deep Convolutional Neural Networks
High-Level Traffic-Violation Detection for Embedded Traffic Analysis,"Julien A. Vijverberg, Nick A. H. M de Koning, Jungong Han, Peter H. N. de With, Dion Cornelissen, ",2007,6,TripVista: Triple Perspective Visual Trajectory Analytics and its application on microscopic traffic data at a road intersection,Dynamic Scene Understanding for Behavior Analysis Based on String Kernels,A kNN-based approach for the machine vision of character recognition of license plate numbers,Understanding Transit Scenes: A Survey on Human Behavior-Recognition Algorithms,Real-Time Vehicular Traffic Violation Detection in Traffic Monitoring Stream,Context-Supported Road Information for Background Modeling,Highway Traffic Flow Estimation for Surveillance Scenes Damaged by Rain
Web Page Segmentation Based on Gestalt Theory,"PeifengXiang, Xin Yang, Yuanchun Shi, ",2007,6
Shot classification in sports video,"Xiao-Feng Tong, Qing-Shan Liu, Han-Qing Lu, Hong-Liang Jin, ",2004,6,Shot type identification of movie content,Highlight Summarization in Sports Video Based on Replay Detection,A Mid-level Visual Concept Generation Framework for Sports Analysis,Semantic units based events detection in soccer videos,Replay detection in broadcasting sports video
Clothes Co-Parsing Via Joint Image Segmentation and Labeling With Application to Clothing Retrieval,"Xiaodan Liang, Liang Lin, Wei Yang, Ping Luo, Junshi Huang, Shuicheng Yan, ",2016,6,DeepFashion: Powering Robust Clothes Recognition and Retrieval with Rich Annotations,Video2Shop: Exact Matching Clothes in Videos to Online Shopping Images,Memory-Augmented Attribute Manipulation Networks for Interactive Fashion Search,Clothing Co-Segmentation Based on HOG Features and E-SVM Classifier,Weather-to-garment: Weather-oriented clothing recommendation,Robust Object Co-Segmentation Using Background Prior,Diversified Visual Attention Networks for Fine-Grained Object Classification,Matryoshka Peek: Toward Learning Fine-Grained Robust Discriminative Features for Product Search,Joint Attributes and Event Analysis for Multimedia Event Detection,Ontology-Driven Hierarchical Deep Learning for Fashion Recognition
Multiple Structured-Instance Learning for Semantic Segmentation with Uncertain Training Data,"Feng-Ju Chang, Yen-Yu Lin, Kuang-Jui Hsu, ",2014,6,Weakly Supervised Graph Based Semantic Segmentation by Learning Communities of Image-Parts,Semantic Video Entity Linking Based on Visual Content and Metadata,Large-Scale Sparse Learning From Noisy Tags for Semantic Segmentation,Learning from Weak and Noisy Labels for Semantic Segmentation,Simultaneous semantic segmentation of a set of partially labeled images
Human-Machine CRFs for Identifying Bottlenecks in Scene Understanding,"Roozbeh Mottaghi, Sanja Fidler, Alan Yuille, Raquel Urtasun, Devi Parikh, ",2016,6,Predicting Students’ GPA and Developing Intervention Strategies Based on Self-Regulatory Learning Behaviors,Scene understanding — A survey,Spatially Constrained Location Prior for scene parsing,Nonoptimality of the Maximum-Weight Dependence Tree in Classification
Selecting Salient Frames for Spatiotemporal Video Modeling and Segmentation,"Xiaomu Song, Guoliang Fan, ",2007,6,Moving visual focus in salient object segmentation,Motion video retrieval based on optical flow and Haar wavelet,A hierarchical Dirichlet process mixture of GID Distributions with feature selection for spatio-temporal video modeling and segmentation,Salient frame extraction using support vector regression and motion features,Online Learning of Hierarchical Pitman–Yor Process Mixture of Generalized Dirichlet Distributions With Feature Selection
A genetic algorithm-based approach to knowledge-assisted video analysis,"N. Voisine, S. Dasiopoulou, F. Precioso, V. Mezaris, I. Kompatsiaris, M. G. Strintzis, ",2005,6,An Ontology for Event Detection and its Application in Surveillance Video,Ontology-based surveillance video archive and retrieval system,Hardware Implementation for a Genetic Algorithm,A Relation-Based Contextual Approach for Efficient Multimedia Analysis,Keyframe Extraction Using Local Visual Semantics in the Form of a Region Thesaurus,High-Level Concept Detection Based on Mid-Level Semantic Information and Contextual Adaptation
Texture removal for adaptive level set based iris segmentation,"Xiaobo Zhang, Zhenan Sun, Tieniu Tan, ",2010,6,Optical approach for iris segmentation and tracking,A robust preprocessing algorithm for iris segmentation from low contrast eye images,Robust iris segmentation based on learned boundary detectors,New active contours approach and phase wavelet maxima to improve iris recognition system
Multi-class Semantic Video Segmentation with Exemplar-Based Object Reasoning,"Buyu Liu, Xuming He, Stephen Gould, ",2015,6,Feature Space Optimization for Semantic Video Segmentation,Budget-Aware Deep Semantic Video Segmentation,A combined recognition and segmentation model for urban traffic scene understanding,Semantic Video CNNs Through Representation Warping,Recovering background regions in videos of cluttered urban scenes,Multiclass semantic video segmentation with object-level active inference
Exploring Automatic Query Refinement for Text-Based Video Retrieval,"Timo Volkmer, Apostol Natsev, ",2006,5,A Survey on Visual Content-Based Video Indexing and Retrieval,Can High-Level Concepts Fill the Semantic Gap in Video Retrieval? A Case Study With Broadcast News,Content based video retrieval using integrated feature extraction and personalization of results
Towards a computational model of Acoustic Packaging,"Lars Schillingmann, Britta Wrede, Katharina Rohlfing, ",2009,5,An unsupervised algorithm for the induction of constructions,Biomimetic learning not learning biomimetics: A survey of developmental learning,A Computational Model of Acoustic Packaging
Spatiotemporal semantic video segmentation,"E. Galmar, Th. Athanasiadis, B. Huet, Y. Avrithis, ",2008,5,Video segmentation with spatio-temporal tubes,Coarse-to-Fine Semantic Video Segmentation Using Supervoxel Trees,Conventional video shot segmentation to semantic shot segmentation,Logotype Detection Concept in Video Stream Based on Features Extraction and Features Clustering from Contours and Colors
Image understanding and scene models: a generic framework integrating domain knowledge and Gestalt theory,"N. Zlatoff, B. Tellez, A. Baskurt, ",2004,5,A Framework for Ocean Satellite Image Classification Based on Ontologies,Ontology-Based Object Recognition for Remote Sensing Image Interpretation,Similarity-based and perception-based image segmentation,Combining content and context information for semantic image analysis and classification
"Coupled detection, association and tracking for Traffic Sign Recognition","Mohammed Boumediene, Jean-Philippe Lauffenburger, J&eacute;r&eacute;mie Daniel, Christophe Cudel, ",2014,5,Traffic sign detection for U.S. roads: Remaining challenges and a case for tracking,Image processing based traffic sign detection and recognition with fuzzy integral,Evolutionary QR-Based Traffic Sign Recognition System for Next-Generation Intelligent Vehicles,Detection of U.S. Traffic Signs,Traffic Sign Recognition: Benchmark of credal object association algorithms
Acoustic phonetic research in speech understanding,"R. Becker, F. Poza, ",1975,5,A statistical approach to the design of an adaptive self-normalizing silence detector,Computer recognition of plosive sounds using contextual information,Speaker recognition from an unknown utterance and speaker-speech interaction
"A fast, modular scene understanding system using context-aware object detection","Cesar Cadena, Anthony Dick, Ian D. Reid, ",2015,5,Monocular 3D Object Detection for Autonomous Driving,Deep MANTA: A Coarse-to-Fine Many-Task Network for Joint 2D and 3D Vehicle Analysis from Monocular Image,Vehicle taillight detection and tracking using deep learning and thresholding for candidate generation,Semantic segmentation of urban scenes with a location prior map using lidar measurements,Meaningful maps with object-oriented semantic mapping,Looking at Pedestrians at Different Scales: A Multiresolution Approach and Evaluations,Past Present and Future of Simultaneous Localization and Mapping: Toward the Robust-Perception Age
Moving Object Segmentation using Scene Understanding,"A. G. A. Perera, G. Brooksby, A. Hoogs, G. Doretto, ",2006,5,Objective performance evaluation of a moving object super-resolution system,Geo-spatial aerial video processing for scene understanding and object tracking,Scene segmentation based on seeded region growing for foreground detection,Recognition and Segmentation of Scene Content using Region-Based Classification,Reasoning and algorithm selection augmented symbolic segmentation
Unspoken Vowel Recognition Using Facial Electromyogram,"Sridhar P Arjunan, Dinesh K Kumar, Wai C Yau, Hans Weghorn, ",2006,5,Chin EMG analysis for REM sleep behavior disorders,Visual Speech Recognition and Utterance Segmentation Based on Mouth Movement,Syllable-based speech recognition using EMG,Classification of voiceless speech using facial muscle activity and vision based techniques
Weakly Supervised Object Boundaries,"Anna Khoreva, Rodrigo Benenson, Mohamed Omran, Matthias Hein, Bernt Schiele, ",2016,5,Convolutional Oriented Boundaries: From Image Segmentation to High-Level Tasks,CASENet: Deep Category-Aware Semantic Edge Detection,Learning Random-Walk Label Propagation for Weakly-Supervised Semantic Segmentation,Simple Does It: Weakly Supervised Instance and Semantic Segmentation,Hide-and-Seek: Forcing a Network to be Meticulous for Weakly-Supervised Object and Action Localization
Semantic access to a database of images: an approach to object-related image retrieval,"A. Martinez, J. R. Serra, ",1999,5,Histological image retrieval based on semantic content analysis,Semantic access of frontal face images: the expression-invariant problem,Reducing feature space dimensionality for image retrieval
Color Image Segmentation Based on Color Similarity,"Shikai Wang, ",2009,5,Color image segmentation algorithm: An approach to image segmentation through ellipsoidal clustering and edge detection,Hydrological sheet color image segmentation based on gradient and color information,A visual navigation algorithm for mobile robot in semi-structured environment,Print engine color management using customer image content
Region based image retrieval using Shape-Adaptive DCT,"Kamel Belloulata, Lakhdar Belallouche, Amina Belalia, Kidiyo Kpalma, ",2014,5,An efficient and fast IBR based security using face recognition algorithm,A performance comparison of two versatile frequency transformation approach in texture image retrieval
A graph based object description for information retrieval in digital image and video libraries,"B. Ozer, W. Wolf, A. N. Akansui, ",1999,5,Learning patterns from images by combining soft decisions and hard decisions
Eye tracking assisted extraction of attentionally important objects from videos,"S. Karthikeyan, Thuyen Ngo, Miguel Eckstein, B. S. Manjunath, ",2015,5,Gaze Embeddings for Zero-Shot Image Classification,Video Summarization Using Geometric Primitives,Towards gaze-based video annotation,Eye Fixation Assisted Video Saliency Detection via Total Variation-Based Pairwise Interaction
Speaker Diarization: About whom the Speaker is Talking ?,"J. Mauclair, S. Meignier, Y. Esteve, ",2006,5,Automatic named identification of speakers using diarization and ASR systems,Speech and speaker recognition for home automation: Preliminary results,Unsupervised Speaker Identification in TV Broadcast Based on Written Names
"Visual Keyword-based Image Retrieval using Latent Semantic Indexing, Correlation-enhanced Similarity Matching and Query Expansion in Inverted Index","Md. Mahmudur Rahman, Bipin C. Desai, Prabir Bhattacharya, ",2006,5,Tile-based image visual codeword extraction for efficient indexing and retrieval,Content based image retrieval using optimum Peano scan,Semantic-based image retrieval: A fuzzy modeling approach,Performance evaluation of DCT and wavelet transform for LSI,Enhancing Sketch-Based Image Retrieval by Re-Ranking and Relevance Feedback
Deep Visual-Semantic Alignments for Generating Image Descriptions,"Andrej Karpathy, Li Fei-Fei, ",2017,5,Attention-Based Natural Language Person Retrieval,Camera2Caption: A real-time image caption generator,A study of evaluation metrics and datasets for video captioning,Reformulating Level Sets as Deep Recurrent Neural Network Approach to Semantic Segmentation,Integrating a Priori Probabilistic Knowledge into Classification for Image Description,SvgAI — Training artificial intelligent agent to use SVG editor,Automatic generation of composite image descriptions
A CRF Based Scheme for Overlapping Multi-colored Text Graphics Separation,"Ritu Garg, Ehtesham Hassan, Santanu Chaudhury, M. Gopal, ",2011,5,Research on the Text Detection and Extraction from Complex Images,Multi-modal Information Integration for Document Retrieval,A Study on Caption Recognition for Multi-color Characters on Complex Background
RPCA-KFE: Key Frame Extraction for Video Using Robust Principal Component Analysis,"Chinh Dang, Hayder Radha, ",2015,5,Unimodality of MBType frame different metrics for efficient Key Frame Extraction in Video,Effective keyframe extraction from RGB and RGB-D video sequences,In-Wall Clutter Suppression Based on Low-Rank and Sparse Representation for Through-the-Wall Radar,Low-Rank Decomposition and Total Variation Regularization of Hyperspectral Video Sequences,Video Summarization Via Multiview Representative Selection,Affective Video Events Summarization Using EMD Decomposed EEG Signals (EDES)
Integrating acoustic and lexical features in topic segmentation of Chinese broadcast news using maximum entropy approach,"Lei Xie, Yulian Yang, Zhi-Qiang Liu, Wei Feng, Zihan Liu, ",2010,5,Fusion of speaker and lexical information for topic segmentation: A co-segmentation approach,Intra-content term weighting for topic segmentation,Title assignment for automatic topic segments in TV broadcast news,Multi-modal feature integration for story boundary detection in broadcast news,Individual radiation source identification based on fractal box dimension
Small-variance nonparametric clustering on the hypersphere,"Julian Straub, Trevor Campbell, Jonathan P. How, John W. Fisher, ",2015,5,Efficient Global Point Cloud Alignment Using Bayesian Nonparametric Mixtures,Dirichlet process mixture models for clustering i-vector data,Human contour extraction from RGBD camera for action recognition,Dense piecewise planar RGB-D SLAM for indoor environments,The Manhattan Frame Model—Manhattan World Inference in the Space of Surface Normals,Accurate Continuous Sweeping Framework in Indoor Spaces With Backpack Sensor System for Applications to 3-D Mapping,Real-time manhattan world rotation estimation in 3D
"BH2M: The Barcelona Historical, Handwritten Marriages Database","David Fern&aacute;ndez-Mota, Jon Almaz&aacute;n, N&uacute;ria Cirera, Alicia Forn&eacute;s, Josep Llad&oacute;s, ",2014,5,New gradient descriptor for keyword spotting in handwritten documents,ICDAR2017 Competition on Information Extraction in Historical Handwritten Records,On-the-fly Historical Handwritten Text Annotation,Handwriting Recognition by Attribute Embedding and Recurrent Neural Networks
IPSILON: Incremental Parsing for Semantic Indexing of Latent Concepts,"Soo Hyun Bae, Biing-Hwang Juang, ",2010,5,Image abstraction for improved semantic retrieval accuracy and reduced space-time complexities,Image Analysis: Focus on Texture Similarity,Parallel abstraction of images with applications in image retrieval,W-Tree Indexing for Fast Visual Word Generation
Scene change detection based on audio and video content analysis,"Yingying Zhu, Dongru Zhou, ",2003,5,Music Part Segmentation in Music TV Programs Based on Chroma Vector Analysis,Learning a Contextual Multi-Thread Model for Movie/TV Scene Segmentation,Temporal Video Segmentation to Scenes Using High-Level Audiovisual Features,Detecting shot transitions based on video content,Enhanced Eigen-Audioframes for Audiovisual Scene Change Detection,Multi-modality movie scene detection using Kernel Canonical Correlation Analysis
HD Maps: Fine-Grained Road Segmentation by Parsing Ground and Aerial Images,"Gell&eacute;rt M&aacute;ttyus, Shenlong Wang, Sanja Fidler, Raquel Urtasun, ",2016,5,Cross-view convolutional networks,Predicting Ground-Level Scene Layout from Aerial Imagery,A Unified Model for Near and Remote Sensing,TorontoCity: Seeing the World with a Million Eyes,Large Scale Labelled Video Data Augmentation for Semantic Segmentation in Driving Scenarios,Global outer-urban navigation with OpenStreetMap,Find your way by observing the sun and other semantic cues,Toward Seamless Multiview Scene Analysis From Satellite to Street Level,Deep Learning in Remote Sensing: A Comprehensive Review and List of Resources,High-Resolution Aerial Image Labeling With Convolutional Neural Networks,DeepRoadMapper: Extracting Road Topology from Aerial Images,FARSA: Fully Automated Roadway Safety Assessment
An active contour-based video object segmentation scheme for stereoscopic video sequences,"K. S. Ntalianis, N. D. Doulamis, A. D. Doulamis, S. D. Kollias, ",2000,5,Object Segmentation by Comparison of Active Contour Snake and Level Set in Biomedical Applications,Adaptive Stereo Video Object Segmentation Based on Depth and Spatio-temporal Information,Stereoscopic Video Object Segmentation Based on Disparity Map,Stereoscopic Video Object Segmentation Based on SVM and Mean-Shift,An efficient recursive shortest spanning tree algorithm using linking properties
Situational object boundary detection,"J. R. R. Uijlings, V. Ferrari, ",2015,5,Weakly Supervised Object Boundaries,Object Contour Detection with a Fully Convolutional Encoder-Decoder Network,Convolutional Oriented Boundaries: From Image Segmentation to High-Level Tasks,Texture region detection by trained neural network
Fa&ccedil;ade Segmentation in a Multi-view Scenario,"Michal Recky, Andreas Wendel, Franz Leberl, ",2011,5,Vision-Based Differential GPS: Improving VSLAM / GPS Fusion in Urban Environment with 3D Building Models,Local Regularity-Driven City-Scale Facade Detection from Aerial Images,Efficient Structured Parsing of Facades Using Dynamic Programming,Towards Bundle Adjustment with GIS Constraints for Online Geo-Localization of a Vehicle in Urban Center,Automatic facades segmentation using detected lines and vanishing points
Unsupervised multimodal feature learning for semantic image segmentation,"Deli Pei, Huaping Liu, Yulong Liu, Fuchun Sun, ",2013,5,RGB-D Scene Labeling with Multimodal Recurrent Neural Networks,Unsupervised Joint Feature Learning and Encoding for RGB-D Scene Labeling,Sparse Multigraph Embedding for Multimodal Feature Representation,Unsupervised feature learning based on sparse coding and spectral clustering for segmentation of synthetic aperture radar images
Object-Based Unsupervised Classification of VHR Panchromatic Satellite Images by Combining the HDP and IBP on Multiple Scenes,"Yang Shu, Hong Tang, Jing Li, Ting Mao, Shi He, Adu Gong, Yunhao Chen, Hongyue Du, ",2015,5,Spatiotemporal scene interpretation of space videos via deep neural network and tracklet analysis,A Generalized Metaphor of Chinese Restaurant Franchise to Fusing Both Panchromatic and Multispectral Images for Unsupervised Classification,Computationally Efficient Hyperspectral Data Learning Based on the Doubly Stochastic Dirichlet Process
Automatic object-based video analysis and interpretation: A step toward systematic video understanding,"Jenq-Neng Hwang, Ying Luo, ",2002,5,Video sequence modeling by dynamic Bayesian networks: a systematic approach from coarse-to-fine grains,Video Segmentation and Semantics Extraction from the Fusion of Motion and Color Information,Semantic analysis of soccer video using dynamic Bayesian network,An energy-aware IP core design for the variable-length DCT/IDCT targeting at MPEG4 shape-adaptive transforms,Cheating video description based on sequences of gestures
New image retrieval paradigm: logical composition of region categories,"J. Fauqueur, N. Boujemaa, ",2003,5,A model-based discriminative framework for sets of positive vectors classification: Application to object categorization,A Thousand Words in a Scene,Symbol Grounding for Semantic Image Interpretation: From Image Data to Semantics,Hierarchical visual thesaurus building for satellite image retrieval based on semantic region labelling,Video Search Using a Visual Dictionary,User driven systems to bridge the semantic gap
A legend-driven geographic symbol recognition system,"H. Samet, A. Soffer, ",1994,5,MARCO: MAp retrieval by COntent,Indian topographic map symbols understanding system,A map acquisition storage indexing and retrieval system,The Whole Story: Building the Complete History of a Place
Semantic Channels for Fast Pedestrian Detection,"Arthur Daniel Costea, Sergiu Nedevschi, ",2016,5,Fast Boosting Based Detection Using Scale Invariant Multimodal Multiresolution Filtered Features,CityPersons: A Diverse Dataset for Pedestrian Detection,Fully Convolutional Region Proposal Networks for Multispectral Person Detection,Vehicle taillight detection and tracking using deep learning and thresholding for candidate generation,Enhanced pedestrian detection using deep learning based semantic image segmentation,Semantic image segmentation for pedestrian detection,Traffic scene segmentation based on boosting over multimodal low intermediate and high order multi-range channel features,Towards Reaching Human Performance in Pedestrian Detection,Fuzzy treatment of surroundedness based object detection,Pedestrian Detection by Feature Selected Self-Similarity Features,Multi-label Learning of Part Detectors for Heavily Occluded Pedestrian Detection,An Extended Filtered Channel Framework for Pedestrian Detection
Markup SVG&mdash;An Online Content-Aware Image Abstraction and Annotation Tool,"Edward Kim, Xiaolei Huang, Gang Tan, ",2011,5,Finding VIPs - A visual image persons search using a content property reasoner and web ontology,Tagging Driven by Interactive Image Discovery: Tagging-Tracking-Learning,Parallel abstraction of images with applications in image retrieval,An Unified Image Tagging System Driven by Image-Click-Ads Framework
Modularity-Based Image Segmentation,"Shijie Li, Dapeng Oliver Wu, ",2015,5,A Multi-Objective Decision Making Approach for Solving the Image Segmentation Fusion Problem
Temporal classification of events in cricket videos,"N. Harikrishna, Sanjeev Satheesh, S. Dinesh Sriram, K. S. Easwarakumar, ",2011,5,The extraction of events and replay in cricket video,Cricket activity detection,Automated highlight generation from cricket broadcasts using ORB
From Sense to Print: Towards Automatic 3D Printing from 3D Sensing Devices,"Nadia Figueroa, Haiwei Dong, Abdulmotaleb El Saddik, ",2013,5,Development of 3D shadow mask using 3D printer,Development of a handheld human head scanner based on an RGB-D sensor,Evaluating and Improving the Depth Accuracy of Kinect for Windows v2,Towards consistent reconstructions of indoor spaces based on 6D RGB-D odometry and KinectFusion
Segmentation of image sequences for object oriented coding,"S. Siggelkow, R. -R. Grigat, A. Ibenthal, ",1996,5,Adaptive coding of moving objects for very low bit rates,Video segmentation based on multiple features for interactive multimedia applications,A low-complexity region-based video coder using backward morphological motion field segmentation,Image sequence segmentation using 3-D structure tensor and curve evolution,Image sequence analysis for emerging interactive multimedia services-the European COST 211 framework
Object Boundary Detection in Images using a Semantic Ontology,"A. Hoogs, R. Collins, ",2006,5,Brief survey on image semantic analysis and understanding,80 Million Tiny Images: A Large Data Set for Nonparametric Object and Scene Recognition
Combining Semantic and Geometric Features for Object Class Segmentation of Indoor Scenes,"Farzad Husain, Hannes Schulz, Babette Dellen, Carme Torras, Sven Behnke, ",2017,5,Indoor object recognition using pre-trained convolutional neural network,A Use-Case Study on Multi-view Hypothesis Fusion for 3D Object Classification,NimbRo picking: Versatile part handling for warehouse automation,Cascaded Feature Network for Semantic Segmentation of RGB-D Images
Fused DNN: A Deep Neural Network Fusion Approach to Fast and Robust Pedestrian Detection,"Xianzhi Du, Mostafa El-Khamy, Jungwon Lee, Larry Davis, ",2017,4,Semantic image segmentation for pedestrian detection,Region of Interest Autoencoders with an Application to Pedestrian Detection,Image Super Resolution Based on Fusing Multiple Convolution Neural Networks,Semantic labeling for improved vehicle detection in aerial imagery,Embedded vision system for pedestrian detection based on HOG+SVM and use of motion information implemented in Zynq heterogeneous device,Pedestrian Detection by Feature Selected Self-Similarity Features,Semantic Labeling Based Vehicle Detection in Aerial Imagery
A Novel Approach for Soccer Video Summarization,"Emna Fendri, Hanene Ben-Abdallah, Abdelmajid Ben Hamadou, ",2010,4,The importance of audio descriptors in automatic soccer highlights generation
Annotating Image Regions Using Spatial Context,"Zhiyong Wang, David D. Feng, Zheru Chi, Tian Xia, ",2006,4,Semi-supervised object recognition using flickr images,Probabilistic combination of spatial context with visual and co-occurrence information for semantic image analysis,Semantic image segmentation using the ICM algorithm,Concept Constrained Image Region Annotation
Semantic image retrieval and auto-annotation by converting keyword space to image space,"E. Celebi, A. Alpkocak, ",2006,4,Semantic-based image retrieval: A fuzzy modeling approach,A Novel Semantic-Based Image Retrieval Method,Semantic image retrieval system based on object relationships,A novel salient region extraction based on color and texture features
ReSeg: A Recurrent Neural Network-Based Model for Semantic Segmentation,"Francesco Visin, Adriana Romero, Kyunghyun Cho, Matteo Matteucci, Marco Ciccone, Kyle Kastner, Yoshua Bengio, Aaron Courville, ",2016,4,Gated Feedback Refinement Network for Dense Image Labeling,The One Hundred Layers Tiramisu: Fully Convolutional DenseNets for Semantic Segmentation,From convolutional to recurrent: Case study in Nasopharyngeal Carcinoma segmentation,LinkNet: Exploiting encoder representations for efficient semantic segmentation,Joint Prediction of Activity Labels and Starting Times in Untrimmed Videos,Multi-view Stereo with Single-View Semantic Mesh Refinement,Mesh-based 3D textured urban mapping,Deep semantic segmentation for automated driving: Taxonomy roadmap and challenges,Combining Convolutional and Recurrent Neural Networks for Human Skin Detection,Shape Inpainting Using 3D Generative Adversarial Network and Recurrent Convolutional Networks,Exploiting Spatial Structure for Localizing Manipulated Image Regions,Scene Segmentation with DAG-Recurrent Neural Networks,Multi-Organ Plant Classification Based on Convolutional and Recurrent Neural Networks
Image understanding using fuzzy isomorphism of fuzzy structures,"C. Demko, E. Zahzah, ",1995,4,Landscape image analysis using fuzzy adaptive resonance theory,A bi-level hierarchical fuzzy object based approach to natural scene classification
