Phoneme recognition using time-delay neural networks,"A. Waibel, T. Hanazawa, G. Hinton, K. Shikano, K. J. Lang, ",1989,882,Automatic disease diagnosis using optimised weightless neural networks for low-power wearable devices,Detection of characteristic waves of sleep EEG by neural network analysis,Timing and chunking in processing temporal order,Anticipation-based temporal pattern generation,A new macromodeling approach for nonlinear microwave circuits based on recurrent neural networks,Robustness against SEU of an artificial neural network space application,Modularity and scaling in large phonemic neural networks,A systolic neural network architecture for hidden Markov models,On the problem of local minima in backpropagation,The Meta-Pi network: building distributed knowledge representations for robust multisource pattern recognition,Isolated word recognition by neural network models with cross-correlation coefficients for speech dynamics,Large vocabulary recognition of on-line handwritten cursive words,Links between Markov models and multilayer perceptrons,Neural network-based face detection,Are multilayer perceptrons adequate for pattern recognition and verification?,Multiobject behavior recognition by event driven selective attention method,Detecting faces in images: a survey,Toward the border between neural and Markovian paradigms,Multi-associative neural networks and their applications to learning and retrieving complex spatio-temporal sequences,Identification of a two-link flexible manipulator using adaptive time delay neural networks,Constructing hysteretic memory in neural networks,A recurrent fuzzy-neural model for dynamic system identification,A CCD programmable image processor and its neural network applications,An analog neural network processor with programmable topology,A CCD programmable signal processor,Hardware requirements for neural network pattern classifiers: a case study and implementation,Artificial convolution neural network techniques and applications for lung nodule detection,Engineering applications of the self-organizing map,30 years of adaptive neural networks: perceptron Madaline and backpropagation,The self-organizing map
Training support vector machines: an application to face detection,"E. Osuna, R. Freund, F. Girosit, ",1997,866,Gabor feature based face recognition using kernel methods,Face detection based on Kernel Fisher Discriminant analysis,Classification-based face detection using Gabor filter features,Real-time face and head detection using four directional features,A fast and robust face detection based on module switching network,Face detection using one-class-based support vectors,A robust elliptical head tracker,Human tracking using multiple-camera-based head appearance modeling,Oriented filters for object recognition: an empirical study,Modeling face appearance with nonlinear independent component analysis,Automatic 3D face reconstruction from single images or video,Training high dimension ternary features with GA in boosting cascade detector for object detection,Multi-speaker voice cryptographic key generation,Sonar image segmentation based on statistical modeling of wavelet subbands,A Face Recognition System Using Support Vector Machines and Elastic Graph Matching,Automatic target detection using multispectral imaging,An improved SNoW based classification technique for head-pose estimation and face detection,A system for change detection and human recognition in voxel space using the Microsoft Kinect sensor,Face Detecting Using Artificial Neural Network Approach,Human tracking method based on improved HOG+Real AdaBoost,Improving the performance of a keyword spotting system by using support vector machines,Hypovigilance detection by calculating and analyzing a spatio-temporal features of the face components based on 3D head orientation,Automatic face region tracking for highly accurate face recognition in unconstrained environments,Boosting object detection using feature selection,A hybrid technique for face detection in color images,Face detection in color images,Learning gender with support faces,A Ball Vector Machine based on improved enclosing ball iterative solution strategies,Fault classification using SVM,Quantitative estimation of the strength of agreements in goal-oriented meetings
Neural-network-based fuzzy logic control and decision system,"C. -T. Lin, C. S. G. Lee, ",1991,851,Three machine learning techniques for automatic determination of rules to control locomotion,Derived fuzzy knowledge model for estimating the depth of anesthesia,Fuzzy rules extraction directly from numerical data for function approximation,A neural-network-based fuzzy classifier,Fuzzy B-spline membership function (BMF) and its applications in fuzzy-neural control,A handwritten numeral character classification using tolerant rough set,On the optimization aspects of parameterized neurocontrol (PNC) design,Dynamically focused fuzzy learning control,Simplification of fuzzy-neural systems using similarity analysis,Fuzzy inference neural network for fuzzy model tuning,A neural fuzzy system with fuzzy supervised learning,An adaptive neural fuzzy filter and its applications,On-line tuning of fuzzy-neural network for adaptive control of nonlinear dynamical systems,Decentralized adaptive fuzzy control of robot manipulators,A parallel fuzzy inference model with distributed prediction scheme for reinforcement learning,Fuzzy classifications using fuzzy inference networks,An adaptive fuzzy neural network for MIMO system model approximation in high-dimensional spaces,A new method for constructing membership functions and fuzzy rules from training examples,Observer-based adaptive fuzzy-neural control for unknown nonlinear dynamical systems,Fuzzy function approximators with ellipsoidal regions,On generating FC/sup 3/ fuzzy rule systems from data using evolution strategies,POPFNN-AAR(S): a pseudo outer-product based fuzzy neural network,Membership function modification of fuzzy logic controllers with histogram equalization,Integrated feature analysis and fuzzy rule-based system identification in a neuro-fuzzy paradigm,Tuning certainty factor and local weight of fuzzy production rules by using fuzzy neural network,Autonomous control reconfiguration,Using a neural/fuzzy system to extract heuristic knowledge of incipient faults in induction motors. Part I-Methodology,Using a neural/fuzzy system to extract heuristic knowledge of incipient faults in induction motors: Part II-Application,An accurate and cost-effective fuzzy logic controller with a fast searching of moment equilibrium point,Fuzzy neural networks for identification and control of ultrasonic motor drive with LLCC resonant technique
Fully convolutional networks for semantic segmentation,"Jonathan Long, Evan Shelhamer, Trevor Darrell, ",2015,835,HS-Nets: Estimating Human Body Shape from Silhouettes with Convolutional Neural Networks,Deeper Depth Prediction with Fully Convolutional Residual Networks,CNN-Based Object Segmentation in Urban LIDAR with Missing Points,Joint Semantic Segmentation and Depth Estimation with Deep Convolutional Networks,V-Net: Fully Convolutional Neural Networks for Volumetric Medical Image Segmentation,Room Layout Estimation with Object and Material Attributes Information Using a Spherical Camera,3D Human Pose Estimation via Deep Learning from 2D Annotations,Multimodal Gesture Recognition Using 3-D Convolution and Convolutional LSTM,Tree-Wise Discriminative Subtree Selection for Texture Image Labeling,An Improved Faster R-CNN for Same Object Retrieval,Image Segmentation-Based Multi-Focus Image Fusion Through Multi-Scale Convolutional Neural Network,Gaze-Assisted Multi-Stream Deep Neural Network for Action Recognition,Efficient Stereo Matching Leveraging Deep Local and Context Information,An Ensemble Deep Learning Method for Vehicle Type Classification on Visual Traffic Surveillance Sensors,Development of Home Intelligent Fall Detection IoT System Based on Feedback Optical Flow Convolutional Neural Network,Automatic Magnetic Resonance Image Prostate Segmentation Based on Adaptive Feature Learning Probability Boosting Tree Initialization and CNN-ASM Refinement,BundleNet: Learning with Noisy Label via Sample Correlations,Fast Fourier Transform Networks for Object Tracking Based on Correlation Filter,Quality Assessment of Retargeted Images Using Hand-Crafted and Deep-Learned Features,Martian Fetch: Finding and retrieving sample-tubes on the surface of mars,Training and evaluating object detection pipelines with connected components,Size-Invariant Fully Convolutional Neural Network for vessel segmentation of digital retinal images,Raw waveform-based speech enhancement by fully convolutional networks,Non-native speech conversion with consistency-aware recursive network and generative adversarial network,An effective segmentation algorithm of apple watercore disease region using fully convolutional neural networks,Multi-resolution for disparity estimation with convolutional neural networks,Training a convolutional neural network for multi-class object detection using solely virtual world data,Semantic labeling for improved vehicle detection in aerial imagery,A study on detecting drones using deep convolutional neural networks,Convolutional Neural Network for Combined Classification of Fluorescent Biomarkers and Expert Annotations using White Light Images
Neural networks for short-term load forecasting: a review and evaluation,"H. S. Hippert, C. E. Pedreira, R. C. Souza, ",2001,826
Expected value of fuzzy variable and fuzzy expected value models,"Baoding Liu, Yian-Kui Liu, ",2002,785,Two-Step Interactive Satisfactory Method for Fuzzy Multiple Objective Optimization With Preemptive Priorities,The Approximation Method for Two-Stage Fuzzy Random Programming With Recourse,Reliability and Mean Time to Failure of Unrepairable Systems With Fuzzy Random Lifetimes,Entropy of Credibility Distributions for Fuzzy Variables,Fuzzy Particle Filtering for Uncertain Systems,Principal-Agent Problem in a Fuzzy Environment,Modeling Random Fuzzy Renewal Reward Processes,An Interactive Satisfying Method Based on Alternative Tolerance for Multiple Objective Optimization With Fuzzy Parameters,Train Timetable Problem on a Single-Line Railway With Fuzzy Passenger Demand,Mean-Entropy Models for Fuzzy Portfolio Selection,Building Confidence-Interval-Based Fuzzy Random Regression Models,Fuzzy-Portfolio-Selection Models With Value-at-Risk,Fuzzy Chance-Constrained Multiobjective Portfolio Selection Model,Principal-Agent Problems Based on Credibility Measure,A Numerical-Integration-Based Simulation Algorithm for Expected Values of Strictly Monotone Functions of Ordinary Fuzzy Variables,Fuzzy Multiobjective Modeling and Optimization for One-Shot Multiattribute Exchanges With Indivisible Demand,Mean-Semi-Entropy Models of Fuzzy Portfolio Selection,Fuzzy Approaches to Option Price Modeling,Value-at-Risk-Based Two-Stage Fuzzy Facility Location Problems,The Shortest Path Problem on a Time-Dependent Network With Mixed Uncertainty of Randomness and Fuzziness,Power System Operation Risk Assessment Using Credibility Theory,Supply Reliability and Generation Cost Analysis Due to Load Forecast Uncertainty in Unit Commitment Problems,Two-Stage Multi-Objective Unit Commitment Optimization Under Hybrid Uncertainties,Flexible Robust Optimization Dispatch for Hybrid Wind/Photovoltaic/Hydro/Thermal Power System,A Credibilistic Approach to Assumption-Based Truth Maintenance,Recourse-Based Facility-Location Problems in Hybrid Uncertain Environment,Fuzzy Optimal Control for Multistage Fuzzy Systems,Study on multi-attribute group decision making under the information of linguistic fuzzy numbers,Intelligent hybrid temperature control of the BSTR based on the SIMATIC PCS7,A Fuzzy Rough Approximation Approach for Clustering User Access Patterns
Pruning algorithms-a survey,"R. Reed, ",1993,771,Face recognition based on perceived facial images and multilayer perceptron neural network using constructive training algorithm,Detection and classification of partial discharge using a feature decomposition-based modular neural network,Towards the realization of an artificial tactile system: fine-form discrimination by a tensorial tactile sensor array and neural inversion algorithms,Device and circuit-level modeling using neural networks with faster training based on network sparsity,Knowledge-based neural models for microwave design,Structural determination of multilayered large-signal neural-network HEMT model,Neural-network-based demand forecasting in a deregulated environment,Learning texture discrimination masks,Analysis of class separation and combination of class-dependent features for handwriting recognition,A neural network classifier based on Dempster-Shafer theory,Functional graph model of a neural network,On robust nonlinear modeling of a complex process with large number of inputs using m-QRcp factorization and C/sub p/ statistic,Evolving fuzzy neural networks for supervised/unsupervised online knowledge-based learning,Analytical device modeling for MOS analog IC's based on regularization and Bayesian estimation,Feed-forward neural networks,Neural networks for classification: a survey,Experience with FNN models for medium term power demand predictions,Neural networks for short-term load forecasting: a review and evaluation,Advances in feedforward neural networks: demystifying knowledge acquiring black boxes,Similarities of error regularization sigmoid gain scaling target smoothing and training with jitter,Neural modeling for time series: A statistical stepwise method for weight elimination,Predicting sun spots using a layered perceptron neural network,Use of bias term in projection pursuit learning improves approximation and convergence properties,A multilayered perceptron approach to prediction of the SEC's investigation targets,An analysis of noise in recurrent neural networks: convergence and generalization,Principal feature classification,An iterative pruning algorithm for feedforward neural networks,Constructive algorithms for structure learning in feedforward neural networks for regression problems,A new evolutionary system for evolving artificial neural networks,Objective functions for training new hidden units in constructive neural networks
Which model to use for cortical spiking neurons?,"E. M. Izhikevich, ",2004,748,eBSP: Managing NoC traffic for BSP workloads on the 16-core Adapteva Epiphany-III processor,Approximate computing for spiking neural networks,Asynchronous Cellular Automaton-Based Neuron: Theoretical Analysis and On-FPGA Learning,HRLSim: A High Performance Spiking Neural Network Simulator for GPGPU Clusters,On the Capabilities and Computational Costs of Neuron Models,Artificial Electrical Morris–Lecar Neuron,An Asynchronous Recurrent Network of Cellular Automaton-Based Neurons and Its Reproduction of Spiking Neural Network Activities,Neuromorphic Artificial Touch for Categorization of Naturalistic Textures,SpikeTemp: An Enhanced Rank-Order-Based Learning Approach for Spiking Neural Networks With Adaptive Structure,Propagation of Collective Temporal Regularity in Noisy Hierarchical Networks,CONE: Convex-Optimized-Synaptic Efficacies for Temporally Precise Spike Mapping,Model-Driven Analysis of Eyeblink Classical Conditioning Reveals the Underlying Structure of Cerebellar Plasticity and Neuronal Activity,Mapping Learning Visualization Classification and Understanding of fMRI Data in the NeuCube Evolving Spatiotemporal Data Machine of Spiking Neural Networks,Investigating Synchronous Oscillation and Deep Brain Stimulation Treatment in A Model of Cortico-Basal Ganglia Network,HFirst: A Temporal Approach to Object Recognition,Optimizing Extended Hodgkin-Huxley Neuron Model Simulations for a Xeon/Xeon Phi Node,How do we make future neurally integrated prosthetic devices speak the same language as the nervous system,On Neuro-inspired Wireless Sensor Networks,The effect of inhibitory feedback on temporal regularity in neural networks,Iterative learning control of a minimal half-center oscillator,A comprehensive mechanotransduction model for tactile feedback based on multi-axial stresses at the fingertip-contact interface,FPGA Implementation of Izhikevich Spiking Neural Networks for Character Recognition,Evaluation of GPU Architectures Using Spiking Neural Networks,The step size impact on the computational cost of spiking neuron simulation,An analysis of dynamics of CA3b in Hippocampus,Emergence of Neuronal Groups on a Self-Organized Spiking Neurons Network Based on Genetic Algorithm,Localization of Salient Objects in Scenes through Visual Attention,Compass: A scalable simulator for an architecture for cognitive computing,Beats as the origin of slow fluctuations in the brain's default-mode network,On the filtering mechanism of spontaneous signaling causality of brain's default mode network
CNN Features Off-the-Shelf: An Astounding Baseline for Recognition,"Ali Sharif Razavian, Hossein Azizpour, Josephine Sullivan, Stefan Carlsson, ",2014,474,Object Recognition Using Deep Convolutional Features Transformed by a Recursive Network Structure,Mobile Augmented Reality Survey: From Where We Are to Where We Go,A Fast Feature Fusion Algorithm in Image Classification for Cyber Physical Systems,An Improved Faster R-CNN for Same Object Retrieval,Age Group and Gender Estimation in the Wild With Deep RoR Architecture,Personalized Image Annotation Using Deep Architecture,Retargeted Multi-View Feature Learning With Separate and Shared Subspace Uncovering,Action Recognition in Video Sequences using Deep Bi-Directional LSTM With CNN Features,Robust Covariance Representations With Large Margin Dimensionality Reduction for Visual Classification,Fast and Lightweight Object Detection Network: Detection and Recognition on Resource Constrained Devices,Enhancing RGB CNNs with depth,Stacked partial least squares regression for image classification,Recent advances in biometrie security: A case study of liveness detection in face recognition,Data-augmentation for reducing dataset bias in person re-identification,Fast CNN surveillance pipeline for fine-grained vessel classification and detection in maritime scenarios,Supervised hashing binary code with deep CNN for image retrieval,Determining feature extractors for unsupervised learning on satellite images,Categorizing Big Video Data on the Web: Challenges and Opportunities,Fusing Deep Convolutional Networks for Large Scale Visual Concept Classification,You Will Succeed or Not? Matching Prediction in a Marriage Consulting Service,Pill Recognition Using Minimal Labeled Data,Effective training of convolutional networks using noisy Web images,Learned features versus engineered features for semantic video indexing,Static and dynamic autopsy of deep networks,Fusion of transfer learning features and its application in image classification,Learning semantic segmentation score in weakly supervised convolutional neural network,DLNE: A hybridization of deep learning and neuroevolution for visual control,A new fast object detection architecture combing manually-designed feature and CNN,Big/little deep neural network for ultra low power inference,Synthetic Viewpoint Prediction
Comparing support vector machines with Gaussian kernels to radial basis function classifiers,"B. Scholkopf, Kah-Kay Sung, C. J. C. Burges, F. Girosi, P. Niyogi, T. Poggio, V. Vapnik, ",1997,470,Adaptive multiuser receiver using a support vector machine technique,Machine Learning-Based Primary Exclusive Region Update for Database-Driven Spectrum Sharing,Automatic Liver Diseases Diagnosis for CT Images Using Kernel-Based Classifiers,Fuzzy Support Vector Learning Algorithm for Mixed Attributes Data,A muti-SVMs design for cancer diagnosis using DNA microarray data,A novel nonlinear combination model based on Support Vector Machine for stock market prediction,Biased confidence classification algorithm for faculty subject allocation in education domain,Data classification with radial basis function networks based on a novel kernel density estimation algorithm,Fusing images with different focuses using support vector machines,Neuron selection for RBF neural network classifier based on data structure preserving criterion,Support Vector Networks in Adaptive Friction Compensation,Local Classifier Weighting by Quadratic Programming,Super-Resolution Method for Face Recognition Using Nonlinear Mappings on Coherent Features,Reduced HyperBF Networks: Regularization by Explicit Complexity Reduction and Scaled Rprop-Based Training,Kernel Map Compression for Speeding the Execution of Kernel-Based Methods,Real AdaBoost With Gate Controlled Fusion,Feature Combiners With Gate-Generated Weights for Classification,Kernel Association for Classification and Prediction: A Survey,Support vector machines for texture classification,Texture-based approach for text detection in images using support vector machines and continuously adaptive mean shift algorithm,Determination of Wireless Networks Parameters through Parallel Hierarchical Support Vector Machines,Robust Relevance Vector Machine With Variational Inference for Improving Virtual Metrology Accuracy,Fuzzy System Learned Through Fuzzy Clustering and Support Vector Machine for Human Skin Color Segmentation,Experiments with repeating weighted boosting search for optimization signal processing applications,Fast Support Vector Machines for Continuous Data,Therapeutic Drug Monitoring of Kidney Transplant Recipients Using Profiled Support Vector Machines,A Machine Learning-Based Framework for Automatic Visual Inspection of Microdrill Bits in PCB Production,Support vector method for robust ARMA system identification,A Parzen-window classifier architecture for massively-integrated nanoscale resonant devices,Robust Pattern Recognition by Interpolating Vectors
Fiber-based optical parametric amplifiers and their applications,"J. Hansryd, P. A. Andrekson, M. Westlund, Jie Li, P. -O. Hedekvist, ",2002,464,Quantitative evaluation of standard deviations of group velocity dispersion in optical fibre using parametric amplification,W-type highly erbium-doped active soft-glass fibre with high nonlinearity,Optical phase conjugation using high nonlinearity chalcogenide planar waveguides for dispersion compensation,In-band OSNR monitoring using cascaded four-wave mixing in a fibre optical parametric amplifier,Fundamental noise limit in dual-pump fiber-optic parametric amplifiers and wavelength converters,Phase-sensitive amplification produced by degenerate four-wave mixing in a fiber,An ultra low jitter pulse source based on coupled optoelectronic oscillators with an intracavity fiber parametric amplifier,Broad-bandwidth optical gain and efficient wavelength conversion in silicon waveguides,Toward in-line phase-sensitive fiber-parametric amplification of multichannel signals,A novel design for polarization-independent single-pump fiber-optic parametric amplifiers,Fiber optic parametric amplifiers - properties applications and challenges,Towards on-chip net-gain in CMOS-compatible waveguides,Improving the performance of fiber optic parametric amplifiers with optical phase conjugation,Analysis of the signal polarization evolution with pump power in a fibre optical parametric amplifier,High-frequency RIN transfer in fibre optic parametric amplifiers,Parametric Processes in Fibers for Quantum and Classical Communications Applications,Widely-tunable high-conversion-efficiency chi(3) parametric oscillator,Narrow bandpass optical filter design with defected ternary photonic crystal under p-Polarized incidence,Experimental demonstration of a 180nm wavelength conversion based on a potentially noise-free Bragg scattering process,Fiber-optic parametric amplifiers and their applications,Design of uniform power transfer functions for tunable optical parametric regenerator,Phase-sensitive fiber-optic parametric amplifiers and their applications,Parametric amplification and wavelength conversion of a 2.048-Tbit/s WDM PDM 16-QAM signal,Transmission systems with low noise phase sensitive parametric amplifiers,Non-reciprocal gain due to counter-propagating pumps in a polarization-independent FOPA with diversity loop,Gain profile analysis in fiber optical parametric amplifiers using SBS technique,Performance analysis of the photoparametric up-converter using harmonic balance techniques,Analytical computation of transmittivity of double-defected layer 1D photonic crystal for bandpass filter applications,The influence of fiber parameters to the fiber optical parametric amplifier gain spectrum,The Improvement of Fiber Parametric Amplifier Pulse Source via Phase Modulation of Pump Light
Diagonal recurrent neural networks for dynamic systems control,"Chao-Chee Ku, K. Y. Lee, ",1995,458,Adaptive control and identification using one neural network for a class of plants with uncertainties,Model reference robust speed control for induction-motor drive with time delay based on neural network,Simplification of fuzzy-neural systems using similarity analysis,Model-based recurrent neural network for modeling nonlinear dynamic systems,A discrete-time multivariable neuro-adaptive control for nonlinear unknown dynamic systems,Design of adaptive fuzzy logic controller based on linguistic-hedge concepts and genetic algorithms,Recurrent-fuzzy-neural-network sliding-mode controlled motor-toggle servomechanism,Reinforcement learning based self-constructing fuzzy neural network controller for AC motor drives,The fuzzy neural network control with adaptive algorithm for a PM synchronous motor drive,A Novel Functional-Link ANN and its Application on Intelligent Sensors Dynamic Modeling,A minimum variance predictive controller for nonlinear systems,Identification and control of dynamical system by one neural network,Adaptive generalized predictive control for nonlinear systems using neural networks,Constrained motion control of flexible manipulators based on a dynamic neural network,A Research on Chaotic Recurrent Fuzzy Neural Network and Its Convergence,On-line gain-tuning IP controller using RFNN,Adaptive recurrent-neural-network control for linear induction motor,An optimal tracking neuro-controller for nonlinear dynamic systems,Online stabilization of block-diagonal recurrent neural networks,On-line learning algorithms for locally recurrent neural networks,Dynamic neural controllers for induction motor,Learning continuous trajectories in recurrent neural networks with time-dependent weights,Hybrid supervisory control using recurrent fuzzy neural network for tracking periodic inputs,Initial state training procedure improves dynamic recurrent networks with time-dependent weights,Identification and control of rotary traveling-wave type ultrasonic motor using neural networks,A neuro-adaptive variable structure control for partially unknown nonlinear dynamic systems and its application,A diagonal recurrent neural network-based hybrid direct adaptive SPSA control system,A supervisory fuzzy neural network control system for tracking periodic inputs,Identification and control of dynamic systems using recurrent fuzzy neural networks,Hybrid control using recurrent fuzzy neural network for linear induction motor servo drive
Classification of hyperspectral data from urban areas based on extended morphological profiles,"J. A. Benediktsson, J. A. Palmason, J. R. Sveinsson, ",2005,456,Multivariate mathematical morphology based on fuzzy extremum estimation,Edge patch image-based morphological profiles for classification of multispectral and hyperspectral data,Effective supervised multiple-feature learning for fused radar and optical data classification,Weighted Generalized Nearest Neighbor for Hyperspectral Image Classification,Hyperspectral image classification using Gradient Local Auto-Correlations,Fuzzy C-Mean for Unsupervised Spectral-Spatial SVM Classification of Hyperspectral Images,Automated wear label assessment in carpets by using local binary pattern statistics on depth and intensity images,Classification of spectral compressive hyperspectral images using morphological profiles,An Improved Remote Sensing Image Classification Based on K-Means Using HSV Color Feature,Spectral-spatial based super pixel remote sensing image classification,Spectral-Spatial Hyperspectral Image Classification Using Extended Multi Attribute Profiles and Guided Bilateral Filter,Using tri-training to exploit spectral and spatial information for hyperspectral data classification,Autoencoder with Extended Morphological Profile for Hyperspectral Image Classification,Built-up area detection of remote sensing images using static clustering technique,Segmentation as postprocessing for hyperspectral image classification,GLCM features and fuzzy nearest neighbor classifier for emotion recognition from face,Approches and challenges in classification for hyperspectral data: A review,Spectral-spatial classification of high dimensional images using morphological filters and regression model,Applying Reject Region to Adaptive Feature extraction for hyperspectral image classification,Joint Dimensionality Reduction Classification and Segmentation of Hyperspectral Images,Adaptive pixel neighborhood definition for the classification of hyperspectral images with support vector machines and composite kernel,A fast iterative kernel PCA feature extraction for hyperspectral images,An end-member based ordering relation for the morphological description of hyperspectral images,Hyperspectral image interpretation based on partial least squares,Hyperspectral classification via learnt features,Tensor morphological profile for hyperspectral image classification,Multiple features learning via rotation strategy,Structured binary feature extraction for hyperspectral imagery classification,Robust joint sparsity model for hyperspectral image classification,Integrating spectral and spatial features for hyperspectral image classification using low-rank representation
High-order neural network structures for identification of dynamical systems,"E. B. Kosmatopoulos, M. M. Polycarpou, M. A. Christodoulou, P. A. Ioannou, ",1995,454,Runge-Kutta neural network for identification of dynamical systems in high accuracy,Neural networks for identification of nonlinear systems under random piecewise polynomial disturbances,Learning continuous trajectories in recurrent neural networks with time-dependent weights,A recurrent self-organizing neural fuzzy inference network,Nonlinear adaptive trajectory tracking using dynamic neural networks,Some new results on system identification with dynamic neural networks,Initial state training procedure improves dynamic recurrent networks with time-dependent weights,Training trajectories by continuous recurrent multilayer networks,Some stability properties of dynamic neural networks,Structural properties of gradient recurrent high-order neural networks,Stable adaptive neural control scheme for nonlinear systems,Robustifying nonlinear systems using high-order neural network controllers,Stable adaptive control for a class of nonlinear systems using a modified Lyapunov function,A TSK-type recurrent fuzzy network for dynamic systems processing by neural network and genetic algorithms,Stable adaptive neural control of nonlinear systems,Direct-reinforcement-adaptive-learning neural network control for nonlinear systems,Neural-based adaptive control design for general nonlinear systems and its application to process control,Adaptive control of two-link manipulator via dynamic neural network,Robust adaptive control for a class of nonlinear systems with generalized Prandtl-Ishlinskii hysteresis,Adaptive neural network compensation of pivot nonlinearity in hard disk drives,Neural networks for disturbance and friction compensation in hard disk drives,Nonlinear observer design for discrete MIMO systems with unknown time delay,Dynamic neural network-based robust identification and control of a class of nonlinear systems,Neural passivity control of nonlinear multivariable systems,An adaptive control scheme for non-canonical discrete-time neural network systems,FPGA Based LIRA Neural Classifier,Continuous-Time Neural Identification for a 2 DOF Vertical Robot Manipulator,Adaptive neural network state predictor for nonlinear time-delay systems,Quadratic neural unit is a good compromise between linear models and neural networks for industrial applications,An improved on-line neuro-identification scheme
Neuromorphic electronic systems,"C. Mead, ",1990,442,Optimization using neural networks,Compact integrated motion sensor with three-pixel interaction,A modular T-mode design approach for analog neural network hardware implementations,Current-mode subthreshold MOS implementation of the Herault-Jutten autoadaptive network,Neuro chips with on-chip back-propagation and/or Hebbian learning,A fractal analysis of interconnection complexity,Multidimensional tomographic imaging using volume holography,Capacity and energy cost of information in biological and silicon photoreceptors,Common principles of image acquisition systems and biological vision,Adaptive CMOS: from biological inspiration to systems-on-a-chip,Current-mode subthreshold MOS circuits for analog VLSI neural systems,Analog CMOS integration and experimentation with an autoadaptive independent component analyzer,Point-to-point connectivity between neuromorphic chips using address events,A foveated silicon retina for two-dimensional tracking,An improved BJT-based silicon retina with tunable image smoothing capability,Low-power speech processing based upon floating-gate circuits,A supervised neural network layer of continuously adapting analog floating-gate nodes,Electronic Implementation of Biologically Inspired Neuromorphic Vision Sensor,A 590000 transistor 48000 pixel contrast sensitive edge enhancing CMOS imager-silicon retina,A VLSI architecture for modeling intersegmental coordination,On the advantages of serial architectures for low-power reliable computations,Long Live Small Fan-in Majority Gates Their Reign Looks Like Coming!,Adaptation learning and storage in analog VLSI,Bio-inspired semiconductors for early detection and therapy,Address-Event Communication Using Token-Ring Mutual Exclusion,A Digital Neurosynaptic Core Using Event-Driven QDI Circuits,Ultra low power analog design and technology for artificial neurons,Improved dynamic shape representation using a biologically-inspired vision sensor with a synchronous arbitration,Analog Logic Automata,Chemical bionics - a novel design approach using Ion Sensitive Field Effect Transistors
Sold!: auction methods for multirobot coordination,"B. P. Gerkey, M. J. Mataric, ",2002,441,Fuzzy cooperative control of automated ground passenger vehicles,Petri Nets based coordination of flexible autonomous guided vehicles in flexible manufacturing systems,Simulation-based risk assessment of robot fleets in flooded environments,Decision making based on localized auctions in wireless sensor networks,Layered Task Allocation in Multi-robot Systems,Decentralised cooperative aerial surveillance for harbour security: A formal verification approach,Concurrent Moving-Based Connection Restoration Scheme between Actors to Ensure the Continuous Connectivity in WSANs,Short paper adapting the contract net protocol for publish/subscribe messaging,Achievement of ‘Mikoshi’ with multiple humanoid robots as coordinated navigation problem based on real-time 3D space recognition in a dynamic environment,A Novel Strategy for Distributed Multi-robot Coordination in Area Exploration,Multi-Robot Task Allocation Using Abandoned-Undertaking Algorithm,Evolutionary Computation Approach to Decentralized Multi-robot Task Allocation,Cooperative task execution between modular robots based on tight-loose cooperation strategies,Multi-robot assignment algorithm for tasks with set precedence constraints,An efficient stochastic clustering auction for heterogeneous robot teams,Ensemble synthesis of distributed control and communication strategies,Competitive analysis of repeated greedy auction algorithm for online multi-robot task assignment,xBots: An approach to generating and executing optimal multi-robot plans with cross-schedule dependencies,Distributed algorithm design for multi-robot task assignment with deadlines for tasks,Model-predictive target defense by team of unmanned surface vehicles operating in uncertain environments,Hierarchical auction-based mechanism for real-time resource retrieval in cloud mobile robotic system,Algorithm for optimal chance constrained linear assignment,Dynamic complex task allocation in multisensor surveillance systems,Taxonomy of cooperative robotic systems,A behavior-based collaborative multi-agent system,Multirobot task allocation in lunar mission construction scenarios,Planning to fail — Reliability needs to be considered a priori in multirobot task allocation,Cooperative behavior generation method using local communication for distributed multi-agent systems,Market-based task allocation by using assignment problem,Toward a real-time heterogeneous mobile robotic swarm: Robot platform and agent architecture
