Further developments in LP-based optimal power flow,"O. Alsac, J. Bright, M. Prais, B. Stott, ",1990,272,Optimal power flow based on successive linear approximation of power flow equations,Optimal active OPF with FACTS devices by an innovative load-equivalent approach,Real-time implementation of optimal reactive power flow,The implementation of an energy brokerage system using linear programming,Optimal power flow emulation of interchange brokerage systems using linear programming,Features of a hybrid expert system for security enhancement,Network constrained security control using an interior point algorithm,Sensitivity-based reactive power control for voltage profile improvement,Implementation of the import optimizer function for Florida Power and Light,Reactive power optimization using fuzzy load representation,A direct nonlinear predictor-corrector primal-dual interior point algorithm for optimal power flows,Application of fuzzy sets to optimal reactive power planning with security constraints,Active-reactive coupling in optimal reactive dispatch: a solution via Karush-Kuhn-Tucker optimality conditions,Application of decomposition techniques to VAr planning: methodological and computational aspects,A simple two stage optimization algorithm for constrained power economic dispatch,A load flow and fuzzy linear programming based external network modeling approach,Static security in power system operation with fuzzy real load conditions,AI approach to optimal VAr control with fuzzy reactive loads,Effect of EMF on minimum cost power transmission,A hybrid tool to assist the operator in reactive power/voltage control and optimization,Linear programming based optimal power flow using second order sensitivities,Short-term generation scheduling with transmission and environmental constraints using an augmented Lagrangian relaxation,Optimization method for reactive power planning by using a modified simple genetic algorithm,OPF for reactive pricing studies on the NGC system,Fuzzy constraint enforcement and control action curtailment in an optimal power flow,A hybrid decoupled approach to optimal power flow,Application of interior point methods to power flow unsolvability,A methodology for probabilistic simultaneous transfer capability analysis,Critical cases in the optimal power flow,Remote cranking of steam electric stations
Line-break prediction of hanmun text using recurrent neural networks,"Dong Hoon Oh, Zahra Shah, Gil-Jin Jang, ",2017,0
CorpoMate: A framework for building linguistic corpora from the web,"Aniruddha Adhikary, Silvia Ahmed, ",2016,0
Expected Likelihood: Not a Good Metric for Gaussian Embeddings,"Yiding Tian, Lin Qiu, Kewei Tu, Yong Yu, ",2017,0
Preface of the AINL FRUCT 2016 Conference,,2016,0
A hybrid method for extracting Turkish part-whole relation pairs from corpus,"G&uuml;rkan Şahin, Banu Diri, Tuğba Yıldız, ",2016,0
Methods for mining and summarizing text conversations,"Giuseppe Carenini, Gabrial Murray, ",2012,0
MedKiosk: An embodied conversational intelligence via deep learning,"Pui Huang Leong, Ong Sing Goh, Yogan Jaya Kumar, ",2017,0
The Arabic Knowledge Graph: Opportunities and Challenges,"Ahmed Ktob, Zhoujun Li, ",2017,0
CBE: Corpus-based of emotion for emotion detection in text document,"Fika Hastarita Rachman, Riyanarto Sarno, Chastine Fatichah, ",2016,0
Semantic node embeddings of distributed graphs using apache spark,"V. Suriya Narayanan, Vijeth Bidare Vijayakumar, Sai Raam Venkatraman, Pallav Kumar Baruah, ",2016,0
Alignment classification for professional writing assistance,"Mai Duong, Minh-Quoc Nghiem, Ngan Luu-Thuy Nguyen, ",2016,0
Towards facts extraction from text in Polish language,"Tomasz Boiński, Adam Chojnowski, ",2017,0
Characterizing discussions in the Spanish Wikipedia,"Johnny Torres, Alfonsina Ochoa, Alberto Jimenez, Sixto Garc&iacute;a, Enrique Pel&aacute;ez, Xavier Ochoa, ",2017,0
Solving fractional optimal control problems with fixed or free final states by Haar wavelet collocation method,"Soleiman Hosseinpour, Alireza Nazemi, ",2016,0
Combination POS taggers on Amazigh texts,"Samir Amri, Lahbib Zenkouar, Mohamed Outahajala, ",2017,0
An Industrial Study of Natural Language Processing Based Test Case Prioritization,"Yilin Yang, Xinhai Huang, Xuefei Hao, Zicong Liu, Zhenyu Chen, ",2017,0
Spatial intelligence from hindi language text for scene generation,"Priyanka Jain, Hemant Darbari, Virendrakumar C. Bhavsar, ",2017,0
Incident detection using data from social media,"Angelica Salas, Panagiotis Georgakis, Yannis Petalas, ",2017,0
A Web Metric Collection and Reporting System,"Ruchika Malhotra, Anjali Sharma, ",2015,0
GATE: Classification and clustering of text for semi-vowel/j/-morphophonemic approach,"K. Sairam Reddy, K. Sasanka, S. Prasanna, R. Venkatesan, ",2016,0
Visual Context Learning with Big Data Analytics,"Mayanka Chandrashekar, Yugyung Lee, ",2016,0
Improving Quality of Use Case Documents through Learning and User Interaction,"Shuang Liu, Jun Sun, Hao Xiao, Bimlesh Wadhwa, Jin Song Dong, Xinyu Wang, ",2016,0
Employing natural language processing to analyse grammatical error in a simple Japanese sentence,"Aji Nugraha Santosa Kasmaji, Ayu Purwarianti, ",2015,0
Building Information Extraction System Based on Computing Domain Ontology,"Chien D. C. Ta, Tuoi Phan Thi, ",2014,0
A case study on experimental-data validation for natural language processing,"Dongli Han, Takahiro Ohno, ",2016,0
Visualizing patient journals by combining vital signs monitoring and natural language processing,"Adnan Vilic, John Asger Petersen, Karsten Hoppe, Helge B. D. Sorensen, ",2016,0
SMS spam detection and comparison of various machine learning algorithms,"Paras Sethi, Vaibhav Bhandari, Bhavna Kohli, ",2017,0
Social media and NLP tasks: Challenges in crowdsourcing linguistic information,"Eirini Takoulidou, Vilelmini Sosoni, Katia Kermanidis, Menno van Zaanen, ",2016,0
Developing Indonesian corpus of pornography using simple NLP-text mining (NTM) approach to support government anti-pornography program,"Miftah Andriansyah, Imam Purwanto, Muhammad Subali, Antonius Irianto Sukowati, Marshal Samos, Ali Akbar, ",2017,0
Amplifier design and optimization using Non Linear Programming,"Paromita Bhattacharjee, Abir J Mondal, Alak Majumder, Sanjeev K Metya, ",2016,0
Linked Lexical Knowledge Bases:Foundations and Applications,"Iryna Gurevych, Judith Eckle-Kohler, Michael Matuschek, ",2016,0
An NLP-based cognitive system for disease status identification in electronic health records,"Homa Alemzadeh, Murthy Devarakonda, ",2017,0
Automated Geoparsing of Paris Street Names in 19th Century Novels,"Ludovic Moncla, Mauro Gaio, Thierry Joliveau, Yves-Fran&ccedil;ois Le Lay, ",2017,0
Exploring Bilingual Word Vectors for Hindi-English Cross-Language Information Retrieval,"Vijay Kumar Sharma, Namita Mittal, ",2016,0
Identifying Chinese lexical inference using probabilistic soft logic,"Wei-Chung Wang, Lun-Wei Ku, ",2016,0
A context-related vocabulary trainer in the integrated intelligent computer-assisted language learning (iiCALL) environment,"Harald Wahl, Werner Winiwarter, ",2012,0
Event &amp; event actor identification with event-sentiment relation,"Subham Sengupta, Indranil Das, Rohit Sarkar, Anup Kumar Kolya, ",2015,0
Unsupervised detection of morpheme boundaries,"Ahmed Khorsi, Abeer Alsheddi, ",2016,0
Feature set for unicode based word processor supporting urdu and arabic scripts,"S. Tahir Ali Jan, Uzair Muhammad, Usman Rauf, Adeel Zafar, ",2016,0
Comparison Study on Critical Components in Composition Model for Phrase Representation,"Shaonan Wang, Chengqing Zong, ",2017,0
CFXGBoost: Topic phrase extraction based on context features and XGBoost for knowledge base question answering,"Han Han, Fengyu Yang, Jiuming Huang, Bin Zhou, ",2017,0
Automatic Microblog-Oriented Unknown Word Recognition with Unsupervised Method,"Degen Huang, Jing Zhang, Kaiyu Huang, ",2018,0
Convolutional neural network with pair-wise pure dependence for sentence classification,"Lingling Song, Yazhou Zhang, Yuexian Hou, ",2018,0
A Practical Approach for Term and Relationship Extraction for Automatic Ontology Creation from Agricultural Text,"Neha Kaushik, Niladri Chatterjee, ",2016,0
Cyberbullying Detection: A Survey on Multilingual Techniques,"Batoul Haidar, Maroun Chamoun, Fadi Yamout, ",2016,0
Semantic video search by automatic video annotation using TensorFlow,"Kithmi Ashangani, K. U. Wickramasinghe, D. W. N. De Silva, V. M. Gamwara, Anupiya Nugaliyadde, Yashas Mallawarachchi, ",2016,0
A stochastic optimization model for a gas sale company,"E. Allevi, M. I. Bertocchi, M. Innorta, M. T. Vespucci, ",2008,0
A rich OPAC user interface with AJAX,"Jesse Prabawa Gozali, Min-Yen Kan, ",2007,0
Towards a syntactically and semantically enriched lexicon for Vietnamese processing,"Thi Huyen Nguyen, Thi Minh Huyen Nguyen, The Quyen Ngo, Minh Hai Nguyen, ",2016,0
GreenOCR: An Energy-Efficient Optimal Clustering Routing Protocol,"Jin Liu, Juan Li, Xiaoguang Niu, Xiaohui Cui, Yunchuan Sun, ",2015,0
Optimal control of irrigation canals based on control vector parametrization,"Ziqiang Wu Wu, Lihui Cen, Shaohui Zhang, Xiaofang Chen, Shu Lin, ",2016,0
Answering diabetic patients' questions using expert-vetted online resources: A case study,"Yuqun Zeng, Xusheng Liu, Liwei Wang, Hongfang Liu, Yanshan Wang, ",2016,0
A novel approach to extract new words from large-scale user-generated data,"Wuyang Wu, Yusong Tan, Lu Si, Qingbo Wu, Yi Chen, ",2016,0
A Proposed Approach for Arabic Language Segmentation,"Adnan Souri, Mohammed Al Achhab, Badr Eddine El Mouhajir, ",2015,0
SIGIR 2016 Workshop WebQA II: Web Question Answering Beyond Factoids,"Alessandro Moschitti, Llui&iacute;s M&aacute;rquez, Preslav Nakov, Eugene Agichtein, Charles Clarke, Idan Szpektor, ",2016,0
TextRWeb: Large-Scale Text Analytics with R on the Web,"Guangchen Ruan, Hui Zhang, Eric Wernert, Beth Plale, ",2014,0
An affix removal stemmer for Gujarati text,"Nikita Desai, Bijal Dalwadi, ",2016,0
A Deep Learning Framework for Coreference Resolution Based on Convolutional Neural Network,"Jheng-Long Wu, Wei-Yun Ma, ",2017,0
Towards Execution Time Prediction for Manual Test Cases from Test Specification,"Sahar Tahvili, Mehrdad Saadatmand, Markus Bohlin, Wasif Afzal, Sharvathul Hasan Ameerjan, ",2017,0
Tovel: Distributed Graph Clustering for Word Sense Disambiguation,"Alessio Guerrieri, Fatemeh Rahimian, Sarunas Girdzijauskas, Alberto Montresor, ",2016,0
Computational Linguistics and Language Physiology: Insights from Arabic NLP and Cooperative Editing,"Vito Pirrelli, Ouafae Nahli, Federico Boschetti, Riccardo Del Gratta, Claudia Marzi, ",2014,0
Extraction of ingredient names from recipes by combining linguistic annotations and CRF selection,"Thierry Hamon, Natalia Grabar, ",2013,0
Topic Classification Based on Improved Word Embedding,"Liangliang Sheng, Lizhen Xu, ",2017,0
Energy-Aware Task Scheduling with Precedence and Deadline Constraints on MPSoCs,"Suhaimi Abd Ishak, Hui Wu, ",2016,0
"If You Can't Measure It, You Can't Manage It: Towards Quantification of Privacy Policies","Manar Alohaly, Hassan Takabi, ",2016,0
A framework of Urdu topic modeling using latent dirichlet allocation (LDA),"Khadija Shakeel, Ghulam Rasool Tahir, Irsha Tehseen, Mubashir Ali, ",2018,0
Knowledge will propel machine understanding of content: extrapolating from current examples,"Amit Sheth, Sujan Perera, Sanjaya Wijeratne, Krishnaprasad Thirunarayan, ",2017,0
Optimal voltage regulation of a distribution network by output power management of DGs,"Akanksha Shukla, Kusum Verma, Shahbaz A. Siddiqui, ",2015,0
Vector representation of words for sentiment analysis using GloVe,"Yash Sharma, Gaurav Agrawal, Pooja Jain, Tapan Kumar, ",2017,0
Online reviews evaluation system for higher education institution: An aspect based sentiment analysis tool,"Luxchippiriya Balachandran, Abarnah Kirupananda, ",2017,0
Application of Arabic language processing in language learning,"Anoual El Kah, Imad Zeroual, Abdelhak Lakhouaja, ",2017,0
Emotion based social media text classification using optimized improved ID3 classifier,"Vivek Kumar Soni, Satish Pawar, ",2017,0
Construction of news headline from detailed news article,"Urmila Shrawankar, Kranti Wankhede, ",2016,0
Human&ndash;Robot Communications of Probabilistic Beliefs via a Dirichlet Process Mixture of Statements,"Rina Tse, Mark Campbell, ",2018,0
Morphosyntactic Parser and Textual Corpora: Processing Uncommon Phenomena of Tibetan Language,"Aleksei Dobrov, Anastasia Dobrova, Pavel Grokhovskiy, Nikolay Soms, ",2017,0
Nonlinear programming for multi-vehicle motion planning with homotopy initialization strategies,"Bai Li, Zhijiang Shao, Youmin Zhang, Pu Li, ",2017,0
A Statistical Learning Approach to Detect Abusive Twitter Accounts,"Ehab A. Abozinadah, James H. Jones, ",2017,0
Indonesian shift-reduce constituent parser,"Mario Filino, Ayu Purwarianti, ",2016,0
Revenue and ancillary benefit maximisation of multiple non-collocated wind power producers considering uncertainties,"Subir Majumder, Shrikrishna A. Khaparde, ",2016,0
IR meets NLP: On the Semantic Similarity between Subject-Verb-Object Phrases,"Dmitrijs Milajevs, Mehrnoosh Sadrzadeh, Thomas Roelleke, ",2015,0
NLP-based approaches for malware classification from API sequences,"Trung Kien Tran, Hiroshi Sato, ",2017,0
Text readability for Arabic as a foreign language,"Hind Saddiki, Karim Bouzoubaa, Violetta Cavalli-Sforza, ",2015,0
Practical Inner Codes for Batched Sparse Codes,"Zhiheng Zhou, Congduan Li, Xuan Guang, ",2017,0
Sindhi Language Processing: A survey,"Wazir Ali Jamro, ",2017,0
A Deep Relevance Matching Model for Ad-hoc Retrieval,"Jiafeng Guo, Yixing Fan, Qingyao Ai, W. Bruce Croft, ",2016,0
Dynamic sorted convolutional neural networks for drug-drug interaction extraction,"Zhou Yiwen, Kan Guixia, Liu Peizhi, ",2017,0
Breathing life into digital archives: use of natural language processing to revitalize the grey literature of public health,"Anne M. Turner, Elizabeth D. Liddy, Jana Bradley, ",2002,0
"Twitter vigilance: A multi-user platform for cross-domain Twitter data analytics, NLP and sentiment analysis","Daniele Cenni, Paolo Nesi, Gianni Pantaleo, Imad Zaza, ",2017,0
Design of robust PID controller for an interval plant,"A. Ferheen, M. Chidambaram, ",2017,0
Semantico-automatic Evaluation of Scientific Papers: State of the Art,"Sara Mifrah, El Habib Ben Lahmar, ",2017,0
An Activity-Embedding Approach for Next-Activity Prediction in a Multi-User Smart Space,"Younggi Kim, Jihoon An, Minseok Lee, Younghee Lee, ",2017,0
Dynamic optimization using control vector parameterization with state transition algorithm,"Miao Huang, Xiaojun Zhou, Chunhua Yang, Weihua Gui, ",2017,0
Cognitive systems in human resources,"Robert Chwastek, ",2017,0
Semantic annotation of Bangla news stream to record history,"Md. Hanif Seddiqui, Md. Nesarul Hoque, Md. Hasan Hafizur Rahman, ",2015,0
"SwissLink: High-Precision, Context-Free Entity Linking Exploiting Unambiguous Labels","Roman Prokofyev, Michael Luggen, Djellel Eddine Difallah, Philippe Cudr&eacute;-Mauroux, ",2017,0
Chinese Weibo sentiment analysis based on character embedding with dual-channel convolutional neural network,"Sisi Chen, Youdong Ding, Zhifeng Xie, Shenkai Liu, Huiming Ding, ",2018,0
Analyzing social media marketing in the high-end fashion industry using named entity recognition,"Jorge Al&eacute; Chilet, Cuicui Chen, Yusan Lin, ",2016,0
Social media data sensitivity and privacy scanning an experimental analysis with hadoop,"Ashish Lokhande, Sanjay Bansal, ",2017,0
Joint learning of contextal and global features for named entity disambiguation,"Bo Ma, Tonghai Jiang, Yating Yang, Xi Zhou, Lei Wang, ",2017,0
Complexities in developing multilingual on-line courses in the Indian context,"Kolla Bhanu Prakash, Arun RajaRaman, M. Lakshmi, ",2017,0
Extracting Business Process Models Using Natural Language Processing (NLP) Techniques,"Konstantinos Sintoris, Kostas Vergidis, ",2017,0
Implementation of Walker algorithm in Word Sense Disambiguation for Assamese language,"Purabi Kalita, Anup Kumar Barman, ",2015,0
Information Retrieval from a Structured KnowledgeBase,"Avani Chandurkar, Ajay Bansal, ",2017,0
AD3: A Fast Decoder for Structured Prediction,"Sebastian Nowozin, Peter V. Gehler, Jeremy Jancsary, Christoph H. Lampert, ",2014,0
A prototype application for real-time recognition and disambiguation of clinical abbreviations,"Yonghui Wu, Joshua Denny, S. Trent Rosenbloom, Randolph A. Miller, Dario A. Giuse, Min Song, Hua Xu, ",2013,0
Deep learning for stock market prediction from financial news articles,"Manuel R. Vargas, Beatriz S. L. P. de Lima, Alexandre G. Evsukoff, ",2017,0
Towards an authorship analysis of two religious documents,"Hassina Hadjadj, Halim Sayoud, ",2016,0
Sixth workshop on exploiting semantic annotations in information retrieval (ESAIR'13),"Paul. N. Bennett, Evgeniy Gabrilovich, Jaap Kamps, Jussi Karlgren, ",2013,0
Comparative study on recent text line segmentation methods of unconstrained handwritten scripts,"Ayush Pradhan, Sidharth Behera, Pushpalata Pujari, ",2017,0
Digital identity based recommendation system using social media,"Nikhil Jaywant, Sanjay Shetty, Vinayak Musale, ",2016,0
Event detection in Hungarian texts with dependency and constituency parsing and WordNet,"Zolt&aacute;n Subecz, ",2017,0
A fast LP approach for enhanced utilization of variable impedance based FACTS devices,"Mostafa Sahraei-Ardakani, Kory Hedman, ",2016,0
Parsing Clinical Text: How Good are the State-of-the-Art Parsers?,"Min Jiang, Yang Huang, Jun-wei Fan, Buzhou Tang, Josh C. Denny, Hua Xu, ",2014,0
Phase-compensator design using convex-programming scheme,"Tian-Bo Deng, ",2016,0
MultiConVis: A Visual Text Analytics System for Exploring a Collection of Online Conversations,"Enamul Hoque, Giuseppe Carenini, ",2016,0
Exploring medical curricula using social network analysis methods,"Martin V&iacute;ta, Martin Komenda, Andrea Pokorn&aacute;, ",2015,0
Convolutional Neural Network with SDP-Based Attention for Relation Classification,"Ning Li, Hui Zhang, Yong Chen, ",2018,0
Efficient author community generation on Nlp based relevance feature detection,"M. Revathy, Minu Lalitha Madhavu, ",2017,0
Knowledge representation system for copula sentence in Bahasa Indonesia based on Web Ontology Language (OWL),"Denis Eka Cahyani, Ruli Manurung, Rahmad Mahendra, ",2015,0
Demonstration of the generic software framework for the integrated intelligent computer-assisted language learning (iiCALL) environment,"Harald Wahl, Rudolf Galler, Werner Winiwarter, ",2015,0
Conceptual schema extraction using POS annotations and weighted edit distance algorithm,"Rohit Shinde, Rohini Kulkarni, Manasi Patwardhan, Suresh Sarda, Pooja Mantri, ",2015,0
CaPaR: A Career Path Recommendation Framework,"Bharat Patel, Varun Kakuste, Magdalini Eirinaki, ",2017,0
A Deep Convolutional Network Demodulator for Mixed Signals with Different Modulation Types,"Xuming Lin, Ruifang Liu, Wenmei Hu, Yameng Li, Xin Zhou, XiaoXin He, ",2017,0
Efficient parallelization for big data collaborative recommendation decisions,"E. O. Aboagye, Gao Jianbin, Ampoma Affum Emmanuel, ",2018,0
Real time road traffic event detection using Twitter and spark,"Ketan R. Pandhare, Medha A. Shah, ",2017,0
Knowledge representation of natural language in high performance linguistics scheme,"D. Suryanarayana, Prathyusha Kanakam, S Mahaboob Hussain, Sumit Gupta, ",2016,0
Proposed Model for Natural Language ABAC Authoring,"Ronald C. Turner, ",2017,0
FACTS devices allocation via sparse optimization,"Chao Duan, W. Fang, Lin Jiang, Shuanbao Niu, ",2016,0
IQAS: Inference question answering system for handling temporal inference,"Zeineb Neji, Marieme Ellouze, Lamia Hadrich Belguith, ",2016,0
Simultaneous trajectory optimization framework for lunar ascent with terrain,"Lin Ma, Zhengyu Song, Zhijiang Shao, ",2016,0
An algorithm for resolution of Anaphora in English text,"Malabika Sen, Neeti Shah, Lakshmi Kurup, ",2017,0
Artificial logic-based personality,"A. Louise Perkins, ",2017,0
Salton Award Lecture - Information retrieval and computer science: an evolving relationship,"W. Bruce Croft, ",2003,0
Extended ADMMs for RPO of large-scale power systems with discrete controls,"Jiabin Zheng, Mingbo Liu, Wentian Lu, Min Xie, Jianquan Zhu, ",2018,0
Semi natural language algorithm to programming language interpreter,"Sharvari Nadkarni, Parth Panchmatia, Tejas Karwa, Swapnali Kurhade, ",2016,0
Feature extraction and analysis of MISING speech vowels,"Rizwan Rehman, Gopal Chandra Hazarika, Devid Kardong, ",2016,0
Building a Chinese Dependency GraphBank,"Bin Li, Yuan Wen, Cuijuan Xing, Yichu Zhou, Dekuan Xu, ",2016,0
Professional chat application based on natural language processing,"S. Karthick, R John Victor, S. Manikandan, Bhargavi Goswami, ",2018,0
Voice controlled home automation system using Natural Language Processing (NLP) and Internet of Things (IoT),"Paul Jasmin Rani, Jason Bakthakumar, B. Praveen Kumaar, U. Praveen Kumaar, Santhosh Kumar, ",2017,0
Conditional random fields with semantic enhancement for named-entity recognition,"Sonia Bergamaschi, Andrea Cappelli, Antonio Circiello, Marco Varone, ",2017,0
Computational curation of a digitized record series of WWII Japanese-American Internment,"William Underwood, Richard Marciano, Sandra Laib, Carl Apgar, Luis Beteta, Waleed Falak, Marisa Gilman, Riss Hardcastle, Keona Holden, Yun Huang, David Baasch, Brittni Ballard, Tricia Glaser, Adam Gray, Leigh Plummer, Zeynep Diker, Mayanka Jha, Aakanksha Singh, Namrata Walanj, ",2017,0
A Temporal Sequence Learning for Action Recognition and Prediction,"Sangwoo Cho, Hassan Foroosh, ",2018,0
NARCIA: an automated tool for change impact analysis in natural language requirements,"Chetan Arora, Mehrdad Sabetzadeh, Arda Goknil, Lionel C. Briand, Frank Zimmer, ",2015,0
Tunisian Dialect-Modern Standard Arabic Bilingual Lexicon,"Mohamed Ali Sghaier, Mounir Zrigui, ",2017,0
Entity Recognition in Bengali language,"Sujit Kumar Das, Sourish Dhar, ",2015,0
A Study of Chinese Document Representation and Classification with Word2vec,"Lei Zhu, Guijun Wang, Xiancun Zou, ",2016,0
Integrating StockTwits with sentiment analysis for better prediction of stock price movement,"Rakhi Batra, Sher Muhammad Daudpota, ",2018,0
Target oriented tweets monitoring system during natural disasters,"Si Si Mar Win, Than Nwe Aung, ",2017,0
Natural language based constraints for web services,"Dur e Sameen Tabasswn, Habiba Siddiqui, Shabana Ramzan, ",2016,0
Search result summarization and disambiguation via contextual dimensions,"Krishna P Chitrapura, Sachindra Joshi, Raghu Krishnapuram, ",2006,0
Extraction of protein-protein interactions using natural language processing based pattern matching,"Kaixian Yu, Tingting Zhao, Peixiang Zhao, Jinfeng Zhang, ",2017,0
Linked data for toponym linking in French literary texts,"Carmen Brando, Francesca Frontini, Jean-Gabriel Ganascia, ",2015,0
Automated crime report analysis and classification for e-government and decision support,"Chih-Hao Ku, Gondy Leroy, ",2013,0
Modeling UIMA type system using web ontology language: towards interoperability among UIMA-based NLP tools,"Hongfang Liu, Stephen Wu, Cui Tao, Christopher Chute, ",2012,0
Chinese Natural Language Processing Based on Semantic Structure Tree,"Qi-Jin Yin, Shao-Ping Wang, Yi-Nan Miao, Dou Xin, ",2015,0
Research on extracting subject from Chinese text (poster session),"Han Kesong, Wang Yongcheng, Wu Fangfang, ",2000,0
Improving distributed representation by feature selection of Wikipedia,"Dao Van Tuan, Hiroshi Sato, ",2017,0
RESTFul POS tagging WEB service for Sinhala language,"A. J. P. M. P. Jayaweera, N. G. J. Dias, ",2015,0
Distilling and exploring nuggets from a corpus,"Vittorio Castelli, Hema Raghavan, Radu Florian, Ding-Jung Han, Xiaoqiang Luo, Salim Roukos, ",2012,0
"Ethical implications of analyzing opinions, emotions and interactions in social media","Viviana Patti, Rossana Damiano, Cristina Bosco, ",2017,0
Jaccard coefficient-based word sense disambiguation using hybrid knowledge resources,"Su Mu Tyar, Thanda Win, ",2015,0
Discover trending domains using fusion of supervised machine learning with natural language processing,"Shilpa Lakhanpal, Ajay Gupta, Rajeev Agrawal, ",2015,0
Virtual reality markup framework for generating interactive indoor environment,"W. A. U. Y. S. Wickramasinghe, P. S. R. S. De Saram, C. P. Liyanage, L. N. R. Rangika, L. Ranathunga, ",2017,0
Recognition and disambiguation of polysemy words in entered hindi documents,"G. Sajini, Jagadish S. Kallimani, ",2017,0
Sarcasm detection of tweets: A comparative study,"Tanya Jain, Nilesh Agrawal, Garima Goyal, Niyati Aggrawal, ",2017,0
Advancing NLP via a distributed-messaging approach,"Ilaria Bordino, Andrea Ferretti, Marco Firrincieli, Francesco Gullo, Marcello Paris, Stefano Pascolutti, Gianluca Sabena, ",2016,0
Sentiment Classification Based on Information Geometry and Deep Belief Networks,"Meng Wang, Zhen-Hu Ning, Chuangbai Xiao, Tong Li, ",2018,0
Optimal scheduling of energy storage system using NLP approach,"Bhaskarjyoti Das, Ashwani Kumar, ",2017,0
Concepts extraction in ontology learning using language patterns for better accuracy,"Rohana Ismail, Nurazzah Abd. Rahman, Zainab Abu Bakar, Mokhairi Makhtar, ",2018,0
Using synthetic clinical data to train an HMM-based POS tagger,"Benjamin C. Knoll, Genevieve B. Melton, Hongfang Liu, Hua Xu, Serguei V. S. Pakhomov, ",2016,0
Deep learning based parts of speech tagger for Bengali,"Md. Fasihul Kabir, Khandaker Abdullah-Al-Mamun, Mohammad Nurul Huda, ",2016,0
Sentence matrix normalization using most likely n-grams vector,"Mohamad Abdolahi, Moreza Zahedh, ",2017,0
Field based case studies on overcurrent relay coordination optimization using GA-NLP approach,"Jagdish Madhukar Ghogare, V. N. Bapat, ",2015,0
A language identification system for code-mixed English-Manipuri Social Media text,"Priyadarshini Lamabam, Kunal Chakma, ",2016,0
Towards Kurdish Information Retrieval,"Kyumars Sheykh Esmaili, Shahin Salavati, Anwitaman Datta, ",2014,0
An NLP based Information Extraction System for Patents,"Naima Vahab, K. V. Neethu, R. Binu, Sinoy Mathew, Lokanath Khamari, ",2016,0
New Word Extraction From Chinese Financial Documents,"Liwei Yan, Bo Bai, Wei Chen, Dapeng Oliver Wu, ",2017,0
Semantic textual relatedness: A hybrid method,"Muhammad Fauzan Razandi, Moch Arif Bijaksana, Danang Junaedi, Eldita Febrian Selfiendi, Rakhmad Indra Permadi, ",2016,0
Ridiculously Expensive Watches and Surprisingly Many Reviewers: A Study of Irony,"Pavel Savov, Radoslaw Nielek, ",2016,0
PTokenizer: POS tagger Tokenizer,"Saeed Rahmani Seyyed, Mostafa Fakhrahmad, Mohammad Hadi Sadredini, ",2015,0
PHIs (Protected Health Information) identification from free text clinical records based on machine learning,"Kunal Rajput, Girija Chetty, Rachel Davey, ",2017,0
Semi-Automatic De-identification of Hospital Discharge Summaries with Natural Language Processing: A Case-Study of Performance and Real-World Usability,"Ioan Calapodescu, David Rozier, Svetlana Artemova, Jean-Luc Bosson, ",2017,0
Vector representation of internet domain names using a word embedding technique,"Waldemar Lopez, Jorge Merlino, Pablo Rodriguez-Bocca, ",2017,0
Closing the loop &mdash; Finding lung cancer patients using NLP,"Bipin Karunakaran, Debdipto Misra, Kyle Marshall, Dhruv Mathrawala, Shravan Kethireddy, ",2017,0
Keeping Apace with Progress in Natural Language Processing,"Claire Cardie, ",2017,0
Efficient total least squares state and parameter estimation for differentially flat systems,"Ji Liu, Sergio Mendoza, Guang Li, Hosam Fathy, ",2016,0
Exploring NLP web APIs for building Arabic systems,"Sharefah A. Al-Ghamdi, Joharah Khabti, Hend S. Al-Khalifa, ",2017,0
Neural Ranking Models with Weak Supervision,"Mostafa Dehghani, Hamed Zamani, Aliaksei Severyn, Jaap Kamps, W. Bruce Croft, ",2017,0
Investigating NLP-Based Approaches for Predicting Manual Test Case Failure,"Hadi Hemmati, Fatemeh Sharifi, ",2018,0
Combining click-stream data with NLP tools to better understand MOOC completion,"Scott Crossley, Luc Paquette, Mihai Dascalu, Danielle S. McNamara, Ryan S. Baker, ",2016,0
Research on question classification for Automatic Question Answering,"Shihua Xu, Gang Cheng, Fang Kong, ",2016,0
Beyond linear chain: a journey through conditional random fields for information extraction from text,"Diego Marcheggiani, ",2014,0
Data Readiness Level For Unstructured Data With A Focus On Unindexed Text Data,"Yang Lu, Xing Fang, Justin Zhan, ",2014,0
Named entity classification using dependency grammar,"Faruk Ahmad, Md-Mizanur Rahoman, ",2017,0
A Survey on Efficient Extraction of Named Entities from New Domains Using Big Data Analytics,"C. Janarish Saju, A. S. Shaja, ",2017,0
Understanding of a convolutional neural network,"Saad Albawi, Tareq Abed Mohammed, Saad Al-Azawi, ",2017,0
An automated method for constructing ontology,"Yang Shu, Yao HaiLun, You XiangRun, Wang Ye, ",2016,0
An Efficient Parallel Sequential Approach for Transient Stability Emergency Control of Large Scale Power System,"Guoxiao Gan, Zexiang Zhu, Guangchao Geng, Quanyuan Jiang, ",2018,0
Language Identification in Mixed Script,"Nagesh Bhattu Sristy, N. Satya Krishna, B. Shiva Krishna, Vadlamani Ravi, ",2017,0
Automatic extraction of drug-drug interaction from literature through detecting clause dependency and linguistic-based negation,"Behrouz Bokharaeian, Alberto Diaz, ",2015,0
Distributed Representation for Neighborhood-Based Collaborative Filtering,"Yi Yang, Guigang Zhang, Jian Wang, Weixing Huang, ",2017,0
