Energy-efficient communication protocol for wireless microsensor networks,"W. R. Heinzelman, A. Chandrakasan, H. Balakrishnan, ",2000,4478,Improving actuator-sensor-actuator communication performance in WSANs using a multicast approach based on bloom filters,Energy efficient multi-target clustering algorithm for WSN-based distributed consensus filter,An energy-efficient LEACH algorithm for wireless sensor networks,Opportunities for transmission power control protocols in wireless sensor networks,Cluster management in the known area of deployment for wireless sensor network,A constrained shortest-path energy-aware routing algorithm for wireless sensor networks,Energy-aware wireless microsensor networks,Intelligent medium access for mobile ad hoc networks with busy tones and power control,Utility-based decision-making in wireless sensor networks,An architecture for building self-configurable systems,Energy-scalable algorithms and protocols for wireless microsensor networks,Dynamic voltage scaling techniques for distributed microsensor networks,E-LEACH: Improving the LEACH protocol for privacy preservation in secure data aggregation in Wireless Sensor Networks,Target Tracking via Crowdsourcing: A Mechanism Design Approach,Performance Evaluation of a Synchronization Protocol for Rechargeable Sensor Networks,TEECH-ME: Threshold Sensitive Energy Efficient Cluster Heads Based on Maximum Energy Routing Protocol for WSNs,MEET: Multi-hop Energy Efficient Protocol for Energy Hole Avoidance Using Variable Transmission Range in Wireless Sensor Networks,MASEHA: Multi-hop Communication Using Active and Sleep Nodes for Energy Hole Avoidance in Wireless Sensor Networks,REEC: Reliable Energy Efficient Critical Data Routing in Wireless Body Area Networks,Mobility Model for WBANs,SEARCH: A Stochastic Election Approach for Heterogeneous Wireless Sensor Networks,QoS based energy efficient key management in body sensor networks,Secured data integrity routing for Wireless Sensor Networks,A new LEACH-based routing protocol for energy optimization in wireless sensor network,Two stage fuzzy logic based clustering approach wireless sensor network LEACH protocol,Fault tolerant and mobility aware routing protocol for mobile wireless sensor network,Low-latency energy-balanced data collection in wireless sensor networks,A Flow-Weighted Scale-Free Topology for Wireless Sensor Networks,Large Scale Environmental Monitoring and Maintaining Sensing Coverage in Sensor Networks,Energy Efficient Clustering Scheme for Prolonging the Lifetime of Wireless Sensor Network With Isolated Nodes
"Demand Side Management: Demand Response, Intelligent Energy Systems, and Smart Loads","Peter Palensky, Dietmar Dietrich, ",2011,733,Demand side management with consumer clusters in cyber-physical smart distribution system considering price-based and reward-based scheduling programs,Operation of battery energy storage system using extensional information model based on IEC 61850 for micro-grids,Investigation and mathematical modelling of the impact of incentive signals to consumers on their consumption load forecast and network operation,Cost effective utility-solar photovoltaic based hybrid scheme for institutional buildings: a case study,Appliances considered demand response optimisation for smart grid,Demand response aggregator coordinated two-stage responsive load scheduling in distribution system considering customer behaviour,Bidding strategy analysis of virtual power plant considering demand response and uncertainty of renewable energy,Dynamic demand response in smart buildings using an intelligent residential load management system,Coordinated residential energy resource scheduling with vehicle-to-home and high photovoltaic penetrations,Distributed game-based pricing strategy for energy sharing in microgrid with PV prosumers,Assessment of the impact of demand-side management on distribution network voltage stability,Testing and validation of the ACCESS system,Demand-Side Energy Management: FTTH-based mode for Smart homes,A hybrid dynamic system model for the assessment of transportation electrification,Real-Time Control Based on Multi-Agent Systems for the Operation of Large Ports as Prosumer Microgrids,Trusted Interconnections Between a Centralized Controller and Commercial Building HVAC Systems for Reliable Demand Response,Security-Based Active Demand Response Strategy Considering Uncertainties in Power Systems,Cognitive Radio Based Sensor Network in Smart Grid: Architectures Applications and Communication Technologies,A Learning Automaton-Based Scheme for Scheduling Domestic Shiftable Loads in Smart Grids,Elastic Energy Distribution of Local Area Packetized Power Networks to Mitigate Distribution Level Load Fluctuation,Impact of Data Quality in Home Energy Management System on Distribution System State Estimation,An optimal treatment assignment strategy to evaluate demand response effect,Electric spring for power quality improvement,Simultaneous voltage and current compensation of the 3-phase electric spring with decomposed voltage control,Voltage and frequency control of electric spring based smart loads,Enhanced digital PI control with state-variable feedback loop for DC electric springs,Generalized demand side resources for microgrid energy management,Power management strategy combining energy storage and demand response for microgrid emergency autonomous operation,Threshold based scheduling of residential distributed energy resources for demand response,Enhanced distributed MPC design for efficiency utility of autonomous multi-microgrids
Modeling and Analysis of K-Tier Downlink Heterogeneous Cellular Networks,"Harpreet S. Dhillon, Radha Krishna Ganti, Francois Baccelli, Jeffrey G. Andrews, ",2012,719,Qualitative analysis for coverage probability and energy efficiency in cognitive-femtocell networks under macrocell infrastructure,User association with jointly maximising downlink sum rate and minimising uplink sum power for heterogeneous cellular networks,Load-aware user association with quality of service support in heterogeneous cellular networks,Resource management for interference mitigation in device-to-device communication,On the performance of the Poisson-point-process-based networks with no channel state information feedback,Edge aware cross-tier base station cooperation in heterogeneous wireless networks with non-uniformly-distributed nodes,Generalised benders decomposition-based load optimisation in cellular and public WLAN interworking network,Analysis of dedicated and shared device-to-device communication in cellular networks over Nakagami-m fading channels,Pushing the Limits of LTE: A Survey on Research Enhancing the Standard,A Tele-Traffic-Aware Optimal Base-Station Deployment Strategy for Energy-Efficient Large-Scale Cellular Networks,What is the Best Spatial Distribution to Model Base Station Density? A Deep Dive into Two European Mobile Networks,Public Safety Priority-Based User Association for Load Balancing and Interference Reduction in PS-LTE Systems,Optimum Biasing for Cell Load Balancing Under QoS and Interference Management in HetNets,Adaptive Resource Management Strategy in Practical Multi-Radio Heterogeneous Networks,Stochastic Geometric Analysis of Energy-Efficient Dense Cellular Networks,Full-Duplex Small Cells for Next Generation Heterogeneous Cellular Networks: A Case Study of Outage and Rate Coverage Analysis,Energy-Efficient User Association and Power Control in the Heterogeneous Network,Stochastic Geometry-Based Modeling and Analysis of Citizens Broadband Radio Service System,Analysis of Load Balancing and Interference Management in Heterogeneous Cellular Networks,Base Station Ordering for Emergency Call Localization in Ultra-Dense Cellular Networks,Performance Analysis of Dense Small Cell Networks With Practical Antenna Heights Under Rician Fading,Quality of Service Provisions for Maritime Communications Based on Cellular Networks,3-D Spatial Modeling of Network Interference in Two-Tier Heterogeneous Networks,Effects of range expansion and interference coordination on capacity and fairness in heterogeneous networks,Downlink coverage probability in MIMO HetNets,On decoding the kth strongest user in poisson networks with arbitrary fading distribution,A general approach to SINR-based performance metrics with application to D2D and carrier aggregation,Coverage by pairwise base station cooperation under adaptive geometric policies,Downlink coverage analysis of n-tier heterogeneous cellular networks based on clustered stochastic geometry,Optimal resource allocation in ultra-dense networks with many carriers
Robust adaptive beamforming using worst-case performance optimization: a solution to the signal mismatch problem,"S. A. Vorobyov, A. B. Gershman, Zhi-Quan Luo, ",2003,716,A sequential constraint relaxation algorithm for rank-one constrained problems,A novel adaptive wideband frequency invariant beamforming algorithm for conformal arrays,Opportunistic Spectrum Sharing in Relay-Assisted Cognitive Systems With Imperfect CSI,Secrecy Rate Optimizations for a MIMO Secrecy Channel With a Cooperative Jammer,Robust Stochastic Optimization for MISO Broadcast Channel With Delayed CSIT and Limited Transmitting Antennas,Distributed CSI Acquisition and Coordinated Precoding for TDD Multicell MIMO Systems,Robust MMSE Beamforming for Multiantenna Relay Networks,A Robust and Efficient Algorithm for Coprime Array Adaptive Beamforming,Robust Adaptive Beamforming Against Mutual Coupling Based on Mutual Coupling Coefficients Estimation,Optimal Multicell Coordinated Beamforming for Downlink High-Speed Railway Communications,Robust blind multiuser detection for synchronous CDMA systems using worst-case performance optimization,Robust Downlink Beamforming Based on Outage Probability Specifications,A State-Space Approach to Robust Multiuser Detection,Maximum-Likelihood Array Signal Decoding in the Presence of Block-Wise Stationary Cochannel Interference,Robust cognitive beamforming with partial channel state information,On multicast beamforming for minimum outage,Robust beamforming in cognitive radio,A Probabilistic Approach for Robust Leakage-Based MU-MIMO Downlink Beamforming with Imperfect Channel State Information,Precoding in Multigateway Multibeam Satellite Systems,Transmit Precoding in Underlay MIMO Cognitive Radio With Unavailable or Imperfect Knowledge of Primary Interference Channel,Robust minimum variance beamforming,Robust downlink beamforming based upon outage probability criterion [cellular radio],Robust transmit beamforming based on imperfect channel feedback,A Minimax Regret Approach to Robust Beamforming,Uplink to downlink spatial covariance matrix transformation methods for downlink beamforming of a UMTS-FDD system,A computationally efficient method for robust minimum variance beamforming,Robust Linear Transceiver Design in MIMO Ad Hoc Cognitive Radio Networks,A Suboptimal User Maximization Algorithm for an OFDMA Based Cognitive Radio Network,Cooperative Cognitive Radio Beamforming in the Presence of Location Errors,MMSE V-BLAST for Imperfect MIMO Channels
Efficient fair queuing using deficit round-robin,"M. Shreedhar, G. Varghese, ",1996,712,Fundamental trade-offs between resource separation and resource share for quality of service guarantees,Hardware implementation of fair queuing algorithms for asynchronous transfer mode networks,QoS support for integrated services over CATV,A terabit multiservice switch,TCP switching: exposing circuits to IP,On the relationship between absolute and relative fairness bounds,Toward best-effort services over WDM networks with fair access and minimum bandwidth guarantee,Linear-complexity algorithms for QoS support in input-queued switches with no speedup,Priority queue schedulers with approximate sorting in output-buffered switches,Implementing scheduling algorithms in high-speed networks,Scheduling algorithms in broadband wireless networks,Scheduling multimedia services in a low-power MAC for wireless and mobile ATM networks,Scalable services via egress admission control,Fair and efficient packet scheduling using Elastic Round Robin,Efficient fair queuing using deficit round-robin,Generalized guaranteed rate scheduling algorithms: a framework,Hierarchical packet fair queueing algorithms,Start-time fair queueing: a scheduling algorithm for integrated services packet switching networks,Real-time block transfer under a link-sharing hierarchy,Rate-proportional servers: a design methodology for fair queueing algorithms,Efficient fair queueing algorithms for packet-switched networks,Latency-rate servers: a general model for analysis of traffic scheduling algorithms,Carry-over round robin: a simple cell scheduling mechanism for ATM networks,Understanding and improving TCP performance over networks with minimum rate guarantees,Router plugins: a software architecture for next-generation routers,Credit-based fair queueing (CBFQ): a simple service-scheduling algorithm for packet-switched networks,Proportional Nested Deficit Round Robin: Improving the Latency of Packet Scheduler with an O(1) Complexity,Design and Evaluation of Diffserv Functionalities in the MPLS Edge Router Architecture,Extending WF^2 Q+ to Support a Dynamic Traffic Mix,Delay Analysis of Scheduling Algorithms for Real-Time Traffic in Packet Switched Networks
Contiki - a lightweight and flexible operating system for tiny networked sensors,"A. Dunkels, B. Gronvall, T. Voigt, ",2004,712,Survey on security in Internet of Things: State of the art and challenges,Securing networked embedded systems code through distributed systems analysis,Securing RPL-based Internet of Things applied for water pipeline monitoring,MoX-MAC: A low power and efficient access delay for mobile wireless sensor networks,A multi-layer architecture for wireless sensor network virtualization,Improving the network lifetime with energy-balancing routing: Application to RPL,Fast Information Exchange in Proximity-Based Multichannel Wireless Networks,SNOMC: An overlay multicast protocol for Wireless Sensor Networks,A test environment for phase-based ranging and localization,Congestion-aware RPL for 6L0WPAN networks,Congestion analysis for low power and lossy networks,Cross-Component Power Management in Wireless Sensor Network,DT-WBAN: Disruption tolerant wireless body area networks in healthcare applications,Adding value to WSN simulation using the IoT-LAB experimental platform,A framework for cooperative intranet of Things wireless sensor network applications,Bluetooth smart: An enabling technology for the Internet of Things,Low overhead loop-free routing in wireless sensor networks,Enabling composite metrics in collection protocols for WSNs,Cloud assisted performance enhancement of smart applications in Wireless Sensor Networks,Energy aware software evolution for Wireless Sensor Networks,Design and analysis of virtualization framework for Wireless Sensor Networks,Proxy support for service discovery using mDNS/DNS-SD in low power networks,Trickle-L<sup>2</sup>: Lightweight link quality estimation through Trickle in RPL networks,Adaptive broadcast suppression for Trickle-based protocols,An integrated simulation environment for Wireless Sensor Networks,Energy efficiency impact of transient node failures when using RPL,Implementing dynamic address changes in ContikiOS,Modeling of Starter/Generator Based on Three-stage Brushless Synchronous Machines,Fault Diagnosis of the Blast Furnace Based on the Bayesian Network Model,An OPC UA Sleepy Proxy Mechanism for Wireless Field Devices
Static-noise margin analysis of MOS SRAM cells,"E. Seevinck, F. J. List, J. Lohstroh, ",1987,706,SRAM cell with asymmetric pass-gate nMOSFETs for embedded memory applications,Design and analysis of 6T SRAM cell with NBL write assist technique using FinFET,A Low Power Area Efficient Full Custom 3-Read 3-Write General Purpose Register in 65nm Technology,Power Energy and SNM Optimization of 6TSRAM Cell Using Power Gating Technique,A sub-10nm U-shape FinFET design with suppressed leakage current and DIBL effect,A family of cells to reduce the soft-error-rate in ternary-CAM,Value-conscious cache: simple technique for reducing cache access power,Static and dynamic stability improvement strategies for 6T CMOS low-power SRAMs,Robustness analysis of 6T SRAMs in memory retention mode under PVT variations,Stability optimization of embedded 8T SRAMs using Word-Line Voltage modulation,Analytical model for SRAM dynamic write-ability degradation due to gate oxide breakdown,Stability and yield-oriented ultra-low-power embedded 6T SRAM cell design optimization,Statistical analysis of 6T SRAM data retention voltage under process variation,Impact of Resistive-Bridging Defects in SRAM Core-Cell,Modeling SRAM start-up behavior for Physical Unclonable Functions,On the correlation between Static Noise Margin and Soft Error Rate evaluated for a 40nm SRAM cell,High-yield design of high-density SRAM for low-voltage and low-leakage operations,Analyzing ECL's noise margin,Low-power and high-stability SRAM technology using a laser-recrystallized p-channel SOI MOSFET,A stacked-CMOS cell technology for high-density SRAM's,A new analytical model of SRAM cell stability in low-voltage operation,An asymmetric memory cell using a C-TFT for single-bit-line SRAM's,Theoretical considerations for SRAM total-dose hardening,A 1-V operating 256-kb full-CMOS SRAM,A 14 ns 256 K*1 CMOS SRAM with multiple test modes,A source sensing technique applied to SRAM cells,An experimental 220-MHz 1-Gb DRAM with a distributed-column-control architecture,A current direction sense technique for multiport SRAM's,Soft-defect detection (SDD) technique for a high-reliability CMOS SRAM,Design of 4-kbit*4-layer optically coupled three-dimensional common memory for parallel processor system
Power Management Strategies for a Microgrid With Multiple Distributed Generation Units,"F. Katiraei, M. R. Iravani, ",2006,693,Operation of battery energy storage system using extensional information model based on IEC 61850 for micro-grids,Decentralised coordinated control of microgrid based on multi-agent system,Self-consumption and storage as a way to facilitate the integration of renewable energy in low voltage distribution networks,Dynamic equivalencing of an active distribution network for large-scale power system frequency stability studies,Simple and efficient method for steady-state voltage stability analysis of islanded microgrids with considering wind turbine generation and frequency deviation,Hierarchical hybrid control strategy for micro-grid switching stabilisation during operating mode conversion,Seamless control scheme for distributed energy resources in microgrids,Real-time verification of new controller to improve small/large-signal stability and fault ride-through capability of multi-DER microgrids,Power sharing in parallel inverters with different types of loads,Decentralised control for reactive power sharing using adaptive virtual impedance,Fundamental impedance identification method for grid-connected voltage source inverters,Voltage droop control at point of common coupling with arm current and capacitor voltage analysis for distribution static synchronous compensator based on modular multilevel converter,Adaptive decoupled power control method for inverter connected DG,Power sharing control strategies for a three-phase microgrid in different operating condition with droop control and damping factor investigation,Modelling analysis and control design of a two-stage photovoltaic generation system,Distributed finite-time cooperative control of droop-controlled microgrids under switching topology,Assessment of overvoltage mitigation techniques in low-voltage distribution networks with high penetration of photovoltaic microgeneration,A distributed control for multiple photovoltaic generators in distribution networks,Efficiency-driven control of dispatchable sources and storage units in hybrid energy systems,State of the Art in Research on Microgrids: A Review,Unit commitment by dynamic programming for microgrid operational planning optimization and emission reduction,Effect of disconnection of generation units on the rate of change of frequency in distributed power systems,A new islanding method for distributed generation and its application in power system restoration,Development of Communicationless Hot-Swap Paralleling for Single-Phase UPS Inverters based on Adaptive Droop Method,State-space modeling analysis and implementation of paralleled inverters for microgrid applications,Droop controller design methods for isolated DC-DC converter in DC grid battery energy storage applications,A fully autonomous power management strategy for DC microgrid bus voltages,Two-layer distributed cooperative control of multi-inverter microgrids,Real-time integrated model of a micro-grid with distributed clean energy generators and their power electronics,Research of Multi-Level Inverter in PVMS of Micro-Grid
"Analysis, Experimental Results, and Range Adaptation of Magnetically Coupled Resonators for Wireless Power Transfer","Alanson P. Sample, David T. Meyer, Joshua R. Smith, ",2011,684,Theoretical evaluation of bifurcation in dependence on resonance frequency in two-coil inductive power transfer,Wireless power transfer: Are children more exposed than adults?,A novel coupling factor independent highly efficient resonant based wireless power transfer,Multiple-folded antenna design for maximizing power transfer efficiency at 6.78 MHz,Asymmetric strongly coupled printed resonators for wireless charging applications,Analysis and modeling of Conformal Strongly Coupled Magnetic Resonant devices,Study on frequency control technology of resonant wireless power transmission system,Analysis of coils' transmission effect for magnetic resonance wireless power transmission system,Long-term throughput optimization in WPCN with battery-powered devices,Long-term throughput optimization in WPCN with battery-powered devices,Evaluation of inductive coupling and RF-DC for Wireless Power Transmission,Experimental analysis of double spiral resonator for wireless power transmission,To improve wireless power transmission efficiency by using coil arrays,3-Coil resonance-based wireless power transfer system for implantable electronic,A new design of wireless power transfer system using hellical resonators applicapable to multi-channel power transmission,Optimization of geometric parameters for circular loop antenna in magnetic coupled wireless power transfer,Multi-band design of matched wireless power transfer links,System level power control algorithm in wireless power transmission for reducing EMF,Wireless power transfer techniques for cell balancing of battery management systems,Optimal load analysis for a two-receiver wireless power transfer system,Development of the optimization framework for wireless power transfer systems,Experimental investigation of 3D metamaterial for mid-range wireless power transfer,The feasibility of using resonant inductive power transfer to recharge wireless sensor network nodes,Behavior of resonant electrical coupling in terms of range and relative orientation,Misalignment-compensated resonant power transfer system,A particle swarm optimizer for tuning a software-defined highly configurable wireless power transfer platform,Underwater wireless power transfer,Wireless power transfer for mobile devices with consideration of ground effect,Optimization of a magnetically coupled resonators system for Power Line Communication integration,Wireless power transfer in human tissue via Conformal Strongly Coupled Magnetic Resonance
Power amplifiers and transmitters for RF and microwave,"F. H. Raab, P. Asbeck, S. Cripps, P. B. Kenington, Z. B. Popovic, N. Pothecary, J. F. Sevic, N. O. Sokal, ",2002,683,HF VHF and UHF systems and technology,A Design Strategy for AM/PM Compensation in GaN Doherty Power Amplifiers,Design and nonlinear analysis of a dual-band Doherty power amplifier for ISM and LMDS applications,Three-level buck converter for envelope tracking in RF power amplifiers,Efficiency optimization of WCDMA driven two-way Doherty power amplifiers over wide power range,Energy efficiency maxima for wireless communications: 5G IoT and massive MIMO,A Highly Efficient Feed-Forward Doherty Amplifier with Improved Group-delay performance,Microwave solid state power amplifier technology,Device characterization and modeling for the design of UHF Class-E inverters and synchronous rectifiers,A novel compact composite power cell for high linearity power amplifiers in InGaP HBTs,A High Efficiency 780 MHz GaN Envelope Tracking Power Amplifier,DARPA's Microscale Power Conversion Program,A 40W GaN HEMT Doherty Power Amplifier with 48% Efficiency for WiMAX Applications,IB-DFE based equalizer for constant envelop OFDM systems,A linear assisted DC/DC converter for Envelope Tracking and Envelope Elimination and Restoration applications,High efficiency power amplifier based on envelope elimination and restoration technique,Enhancements of the multiple input buck converter used for Envelope Tracking applications by improved output filter design and multiphase operation,Buck derived converters based on gallium nitride devices for envelope tracking applications,High efficiency power amplifier applying envelope elimination and restoration technique with a single stage envelope amplifier with ripple cancellation network,High-efficiency high-bandwidth switch-linear hybrid envelope-tracking power supply with slew rate split-band method,Mutual information of OFDM systems with nonlinear power amplifier,Nonlinearity effect of high power amplifiers in communication systems,GaN Doherty Amplifier With Compact Harmonic Traps,Modeling a buck-based switching amplifier for sinusoid wide band tracking by using a nonlinear time varying map,Enhancing the bandwidth of the Multiple Input Buck Converter by means of filter design,Resonant pulse-shaping power supply for radar transmitters,A design-oriented optimization framework for envelope trackers: Application to a sliding-mode control buck converter for EDGE,Power supply modulation for RF applications,A 2.4-GHz 24-dBm SOI CMOS power amplifier with on-chip tunable matching network for enhanced efficiency in back-off,A 29.5 dBm class-E outphasing RF power amplifier with performance enhancement circuits in 45nm CMOS
A particle swarm optimization for reactive power and voltage control considering voltage security assessment,"H. Yoshida, K. Kawata, Y. Fukuyama, S. Takayama, Y. Nakanishi, ",2000,678,Parallel multi-population differential evolutionary particle swarm optimization for voltage and reactive power control in electric power systems,A particle swarm optimization approach for optimum design of PID controller in AVR system,Complex Locations of Equivalent Dipoles for Improved Characterization of Radiated Emissions,Searching for Costas Arrays Using General Particle Swarm Optimization,Stability analysis of the particle dynamics in particle swarm optimizer,A Survey of Particle Swarm Optimization Applications in Electric Power Systems,Particle Swarm Optimization: Basic Concepts Variants and Applications in Power Systems,A Cluster and Gradient-Based Artificial Immune System Applied in Optimization Scenarios,Efficient Self-Evolving Evolutionary Learning for Neurofuzzy Inference Systems,A Salient Region Detection and Pattern Matching-Based Algorithm for Center Detection of a Partially Covered Tropical Cyclone in a SAR Image,Intelligent Optimal Recurrent Wavelet Elman Neural Network Control System for Permanent-Magnet Synchronous Motor Servo Drive,Solving the Power Economic Dispatch Problem With Generator Constraints by Random Drift Particle Swarm Optimization,Optimal Allocation of Measurement Devices for Distribution State Estimation Using Multiobjective Hybrid PSO–Krill Herd Algorithm,Optimal Switch Placement in Distribution Systems Using Trinary Particle Swarm Optimization Algorithm,Maximizing Available Delivery Capability of Unbalanced Distribution Networks for High Penetration of Distributed Generators,A hybrid particle swarm optimization for distribution state estimation,Particle swarm optimization to solving the economic dispatch considering the generator constraints,Reinforcement learning for reactive power control,A particle swarm optimization for economic dispatch with nonsmooth cost functions,A multiagent-based particle swarm optimization approach for optimal reactive power dispatch,A particle swarm optimization to identifying the ARMAX model for short-term load forecasting,Ant colony system-based algorithm for constrained load flow problem,Determining generator contributions to transmission system using parallel vector evaluated particle swarm optimization,A novel approach for unit commitment problem via an effective hybrid particle swarm optimization,The Formulation of the Optimal Strategies for the Electricity Producers Based on the Particle Swarm Optimization Algorithm,A Comparative Study on Particle Swarm Optimization for Optimal Steady-State Performance of Power Systems,Parallel Optimal Reactive Power Flow Based on Cooperative Co-Evolutionary Differential Evolution and Power System Decomposition,Memory-Bounded Ant Colony Optimization With Dynamic Programming and $A^{ast}$  Local Search for Generator Planning,A Novel Coding Scheme for Practical Economic Dispatch by Modified Particle Swarm Approach,A PSO Method With Nonlinear Time-Varying Evolution for Optimal Design of Harmonic Filters
"Development of a microcontroller-based, photovoltaic maximum power point tracking control system","E. Koutroulis, K. Kalaitzakis, N. C. Voulgaris, ",2001,675
Nonintrusive appliance load monitoring,"G. W. Hart, ",1992,665,Real-time load disaggregation algorithm using particle-based distribution truncation with state occupancy model,Approach for home appliance recognition using vector projection length and Stockwell transform,Correcting dependent errors in sequences generated by finite-state processes,Transient event detection in spectral envelope estimates for nonintrusive load monitoring,A multiprocessor for transient event detection,Event-based information-theoretic privacy: A case study of smart meters,A Privacy-Friendly Gaming Framework in Smart Electricity and Water Grids,Web interactive non intrusive load disaggregation system for energy consumption awareness,Active power residential non-intrusive appliance load monitoring system,Selective control model of DSM in residential area based on load monitoring system,A new transient feature extraction method of power signatures for Nonintrusive Load Monitoring Systems,Transient event detection for nonintrusive load monitoring and demand side management using voltage distortion,Fault detection and diagnostics for non-intrusive monitoring using motor harmonics,The Investigation of Residential Load Identification Technologies,Non-Intrusive Load Identification by Fuzzy Cluster Analysis Based on Active Power,Inspiring energy conservation through open source metering hardware and embedded real-time load disaggregation,An innovative non-intrusive load monitoring system for commercial and industrial application,Hardware and software architecture of a smart meter based on electrical signature analysis,Non-intrusive load monitoring and supplementary techniques for home energy management,Noncontact sensors and Nonintrusive Load Monitoring (NILM) aboard the USCGC spencer,Differentially private Kalman filtering,A collaborative framework for annotating energy datasets,Leveraging cloud computing to convert the non-intrusive load monitor into a powerful framework for grid-responsive buildings,Identification of running household appliances by a state-of-the-art energy meter for a change in consumption pattern,A method for recognizing electrical appliances based on active load demand in a house/office environment,Load monitoring of residential elecrical loads based on switching transient analysis,New method for non-intrusive data extraction and classification of residential appliances,The cognitive power meter: Looking beyond the smart meter,A novel feature extraction and classification algorithm based on power components using single-point monitoring for NILM,Application of wavelet-based classification in non-intrusive load monitoring
Series elastic actuators,"G. A. Pratt, M. M. Williamson, ",1995,659,Legged robots at MIT: what's new since Raibert?,Humanoid robots: a new kind of tool,Leg-like motion with an under-actuated two DOF linkage using differential flatness,Closed loop control of an intentionally adjustable compliant actuator,Maneuver based design of a passive-assist device for augmenting linear motion drives,Robust control of compliant actuators using positive real ℋ2-controller synthesis,Online calibration of a compact series elastic actuator,Motion control of series-elastic actuators,Augmenting Variable Stiffness Actuation Using Reaction Wheels,Working Together: A Review on Safe Human-Robot Collaboration in Industrial Environments,Robonaut 2 — Initial activities on-board the ISS,Series elastic actuator development for a biomimetic walking robot,Inverse dynamics control for series damper actuator based on MR fluid damper,Force control for spring-mass walking and running,PANTOE 1: Biomechanical design of powered ankle-foot prosthesis with compliant joints and segmented foot,Dynamic simulation and experimental validation of an upper extremity powered orthosis,AVSER — Active variable stiffness exoskeleton robot system: Design and application for safe active-passive elbow rehabilitation,Power-optimized stiffness and nonlinear position control of an actuator with Variable Torsion Stiffness,On the stiffness design of intrinsic compliant manipulators,A teleoperation system with an exoskeleton interface,Dimensioning and evaluation of the elastic element in a Variable Torsion Stiffness actuator,Analytical study on increasing isotropy of intrinsic stiffness in manipulators through biarticular structure,Design and torque-mode control of a cable-driven rotary series elastic actuator for subject-robot interaction,A Concept for a robot arm with adjustable series clutch actuators and passive gravity compensation for enhanced safety,Hysteresis modeling of a hybrid magneto-rheological actuator,Experimental validation of forward- and back-drivable characteristics on series clutch actuators using acceleration control,Design and control of a recovery system for legged robots,Robust trajectory tracking control for an ultra lightweight tendon driven series elastic robot arm,Design and characterization of a novel high-compliance spring for robots with soft joints,Thermally-controlled coiled polymeric wire as a novel variable elastic element
Control of permanent-magnet generators applied to variable-speed wind-energy systems connected to the grid,"M. Chinchilla, S. Arnaltes, J. C. Burgos, ",2006,654,Stabilisation of grid assistance for a renewable hydrogen generation system by min-projection strategy,PMSG-based wind energy conversion systems: survey on power converters and controls,Affine projection algorithm based adaptive control scheme for operation of variable-speed wind generator,Hybrid operation strategy of wind energy storage system for power grid frequency regulation,Modelling control and stability analysis of quasi-Z-source matrix converter as the grid interface of a PMSG-WECS,A compositive control method of low-voltage ride through for PMSG-based wind turbine generator system,Intelligent sensor fault-tolerant control for variable speed wind electrical systems,Active and reactive power regulation in grid connected wind energy systems with permanent magnet synchronous generator and matrix converter,Linear parameter-varying control of permanent magnet synchronous generators for wind power systems,Power electronic interface with de-coupled control for wind-driven PMSG feeding utility grid and DC load,Power oscillation damping using wind turbines with energy storage systems,Improved sliding mode model reference adaptive system speed observer for fuzzy control of direct-drive permanent magnet synchronous generator wind power generation system,Control of variable pitch and variable speed direct-drive wind turbines in weak grid systems with active power balance,Power balancing and dc fault ride through in DC grids with dc hubs and wind farms,Improved use of WT kinetic energy for system frequency support,Design of a novel field controlled constant voltage axial flux permanent magnet generator for enhanced wind power extraction,Numerical stability analysis of PMSG-based wind energy conversion system: a simple example of drive system,Coordinated control strategy of reactive power for large-scale wind power transmission by LCC-HVDC links,Frequency control capability of wind turbine under different operation status,Control of IPM Synchronous Generator for Maximum Wind Power Generation Considering Magnetic Saturation,A Novel Control Strategy for a Variable Speed Wind Turbine with a Permanent Magnet Synchronous Generator,Fuzzy sliding mode-based control for PMSG maximum wind energy capture with compensated pitch angle,Sliding mode control of a permanent magnet synchronous generator for variable speed wind energy conversion systems,Per unit modeling of wind energy conversion system based on PMSG,Control strategy of permanent magnet synchronous generator for stand alone wind power generation system,Dc-link voltage control of full power converter for wind generator operating in weak grid systems,A Novel Sensorless Unity Power Factor Control Method for Six-phase PMSG in Direct Drive Wind Energy Conversion Systems,An Improved DC-Link Voltage Control Method for Multiple Grid Connected Converter in Direct Drive Wind Power Generation System,RTDS-based real time simulations of grid-connected wind turbine generator systems,Dynamic operation and control of a hybrid wind-diesel stand alone power systems
