Particle swarm optimization,"J. Kennedy, R. Eberhart, ",1995,14195,Ultra wideband antenna design using discrete Green's functions in conjunction with binary particle swarm optimisation,Multi-static radar power allocation for multi-stage stochastic task of missile interception,Control of IPM Synchronous Generator for Maximum Wind Power Generation Considering Magnetic Saturation,Real Time Implementation of an Artificial Immune System Based Controller for a DSTATCOM in an Electric Ship Power System,Hardware Implementation of an AIS-Based Optimal Excitation Controller for an Electric Ship,Particle swarm optimization - mass-spring system analogon,Use of intelligent-particle swarm optimization in electromagnetics,A novel ecological-biological-behavior praticle swarm optimization for Ackley's function,Improved Particle Swarm Optimization approach of PID controller design for machine tool positioning,A proposal for improved Particle Swarm Optimization,A novel building cooling load prediction based on SVR and SAPSO,Real-Time Face Reconstruction from a Single Depth Image,Learning to Navigate the Energy Landscape,Convergence of Vectors in Paired Comparison-based Interactive Differential Evolution for Creating Scent,Generation of Appropriate User Chord Development Based on Interactive Genetic Algorithm,Parallel Swarm Intelligence for VANETs Optimization,Improving Particle Swarm Optimization Algorithm for Distributed Sensing and Search,The particle swarm - explosion stability and convergence in a multidimensional complex space,A particle swarm optimization for reactive power and voltage control considering voltage security assessment,A modified DE: Population or generation based levy flight differential evolution (PGLFDE),Development of a Grey Wolf Optimizer Toolkit in LabVIEW<sup>™</sup>,Optimization of PID controller with first order noise filter,Training feedforward neural networks using hybrid flower pollination-gravitational search algorithm,Test case selection and prioritization using cuckoos search algorithm,Modeling identification of power plant thermal process based on PSO algorithm,Hammerstein and Wiener nonlinear models identification using a multimodal particle swarm optimizer,A particle swarm optimization approach for automatic diagnosis of PMSM stator fault,Modified particle swarm optimization algorithm for steelmaking charge plan with unknown charge number,A novel training algorithm in ANFIS structure,Adaptive Particle Swarm Optimization Algorithm for Power System Reactive Power Optimization
Fast algorithms for the discrete W transform and for the discrete Fourier transform,"Zhongde Wang, ",1984,345,Inspecting lens collars for defects using discrete cosine transformation based on an image restoration scheme,Fast Fourier transforms over finite groups by multiprocessor systems,A fast recursive algorithm for the discrete sine transform,Input and output index mappings for a prime-factor-decomposed computation of discrete cosine transform,DCT algorithms for VLSI parallel implementations,Efficient computation of the discrete pseudo-Wigner distribution,Lapped transforms for efficient transform/subband coding,Recursive generation of the DIF-FFT algorithm for 1-D DFT,An expanded 2D DCT algorithm based on convolution,A low ROM distributed arithmetic implementation of the forward/inverse DCT/DST using rotations,Fractal image coding using cosine-modulated filter banks,A fast and memory efficient algorithm for down-conversion of an HDTV bitstream to an SDTV signal,On the algorithms for the computation of even discrete cosine transform-2 (EDCT-2) of real sequences,Algorithm-based low-power and high-performance multimedia signal processing,Low-power architectures for compressed domain video coding co-processor,Efficient architecture and design of an embedded video coding engine,Real-time parallel and fully pipelined two-dimensional DCT lattice structures with application to HDTV systems,Optimal unified architectures for the real-time computation of time-recursive discrete sinusoidal transforms,High throughput CORDIC-based systolic array design for the discrete cosine transform,A regressive structure for on-line computation of arbitrary length DCT-IV and DST-IV transforms,Performance of software-based MPEG-2 video encoder on parallel and distributed systems,System architecture of an adaptive reconfigurable DSP computing engine,A new class of fast shape-adaptive orthogonal transforms and their application to region-based image compression,Shape-adaptive discrete wavelet transforms for arbitrarily shaped visual object coding,Arbitrarily shaped transform coding based on a new padding technique,Cosine-modulated FIR filter banks satisfying perfect reconstruction,A prime factor fast W transform algorithm,Unified parallel lattice structures for time-recursive discrete cosine/sine/Hartley transforms,Symmetric convolution and the discrete sine and cosine transforms,Restructured recursive DCT and DST algorithms
Penalized weighted least-squares image reconstruction for positron emission tomography,"J. A. Fessler, ",1994,345,Spatiotemporal reconstruction of list-mode PET data,Globally convergent image reconstruction for emission tomography using relaxed ordered subsets algorithms,Iterative tomographic image reconstruction using Fourier-based forward and back-projectors,Analysis of lesion detectability in Bayesian emission reconstruction with nonstationary object variability,Regularized image reconstruction algorithms for positron emission tomography,Theoretical study of penalized-likelihood image reconstruction for region of interest quantification,Penalized weighted least-squares approach to sinogram noise reduction and image reconstruction for low-dose X-ray computed tomography,Fast Predictions of Variance Images for Fan-Beam Transmission Tomography With Quadratic Regularization,Quadratic Regularization Design for 2-D CT,Dynamic PET Reconstruction Using Wavelet Regularization With Adapted Basis Functions,${K}$ -Space and Image-Space Combination for Motion-Induced Phase-Error Correction in Self-Navigated Multicoil Multishot DWI,Effects of Different Imaging Models on Least-Squares Image Reconstruction Accuracy in Photoacoustic Tomography,Optimal Rebinning of Time-of-Flight PET Data,Generalized EM-Type Reconstruction Algorithms for Emission Tomography,Full-Wave Iterative Image Reconstruction in Photoacoustic Tomography With Acoustically Inhomogeneous Media,Bayesian Image Reconstruction in Quantitative Photoacoustic Tomography,Theoretical Analysis of Penalized Maximum-Likelihood Patlak Parametric Image Reconstruction in Dynamic PET for Lesion Detection,Relaxed Linearized Algorithms for Faster X-Ray CT Image Reconstruction,Low-Dose CBCT Reconstruction Using Hessian Schatten Penalties,PET kinetic modeling of /sup 13/N-ammonia from sinograms in rats,Noise propagation from attenuation correction into PET reconstructions,Effect of noise in the probability matrix used for statistical reconstruction of PET data,Nonlinear sinogram smoothing for low-dose X-ray CT,Comparison of statistical reconstructions with isotropic and anisotropic resolution in PET,Numerical observer studies comparing FORE+AWOSEM FORE+NECOSEM and NEC based fully 3-D OSEM for 3-D whole-body PET imaging,Spatially Adaptive Temporal Smoothing for Reconstruction of Dynamic Image Sequences,A Bayesian MAP-EM Algorithm for PET Image Reconstruction Using Wavelet Transform,Quantitative Accuracy of Penalized-Likelihood Reconstruction for ROI Activity Estimation,Iterative PET Image Reconstruction Using Translation Invariant Wavelet Transform,Positively Constrained Multiplicative Iterative Algorithm for Maximum Penalized Likelihood Tomographic Reconstruction
"Utility-Based Cache Partitioning: A Low-Overhead, High-Performance, Runtime Mechanism to Partition Shared Caches","Moinuddin K. Qureshi, Yale N. Patt, ",2006,345
Hidden Markov processes,"Y. Ephraim, N. Merhav, ",2002,345,A novel shape based batching and prediction approach for sunspot data using HMMs and ANNs,Dynamic Bayesian networks for machine diagnostics: hierarchical hidden Markov models vs. competitive learning,Hierarchical HMMs for Autonomous Diagnostics and Prognostics,ECG segmentation in a body sensor network using Hidden Markov Models,Supervised machine learning for modeling human recognition of vehicle-driving situations,Probabilistic landmark based localization of rail vehicles in topological maps,A novel shape based batching and prediction approach for time series using HMMs and FISs,On the entropy of a Hidden Markov process,Discrete universal filtering via hidden Markov modelling,Asymptotic filtering and entropy rate of a hidden Markov process in the rare transitions regime,Approximations for the entropy rate of a hidden Markov process,Symmetric Characterization of Finite State Markov Channels,Upper Bound Kullback-Leibler Divergence for Hidden Markov Models with Application as Discrimination Measure for Speech Recognition,Parameter Estimation of a Convolutional Encoder from Noisy Observations,Joint Universal Lossy Coding and Identification of Stationary Mixing Sources,Universal lossless compression-based denoising,On the capacity of a communication system with energy harvesting and a limited battery,Concavity of mutual information rate of finite-state channels,Universal decoding using a noisy codebook,Rényi entropy rate of hidden Markov processes,Improved estimation of the exponential stability of the predictive filter in hidden Markov models,Model reduction for reduced order estimation in traffic models,Discrete Multi-Tone Digital Subscriber Loop Performance in the Face of Impulsive Noise,Fundamental performance limits of chaotic-map random number generators,Multi-function radar emitter modelling: a stochastic discrete event system approach,Probabilistic distances between finite-state finite-alphabet hidden Markov models,Regime switching stochastic approximation algorithms with switched ODE limit,Least mean square algorithms with switched Markov ODE limit,Finite horizon robust state estimation for uncertain finite-alphabet hidden Markov models with conditional relative entropy constraints,Stability of the nonlinear filter for slowly switching HMM
High-throughput LDPC decoders,"M. M. Mansour, N. R. Shanbhag, ",2003,345,A Reconfigurable Fabric and Associated CAD Algorithms for Multirate LDPC Decoding,Structured Interleavers and Decoder Architectures for Zigzag Codes,Distributed Decoding in Cooperative Communications,A low-complexity rate-compatible LDPC decoder,Achieving flexibility in LDPC code design by absorbing set elimination,Reduced complexity implementation of quasi-cyclic LDPC decoders by parity-check matrix reordering,A 5.7Gbps row-based layered scheduling LDPC decoder for IEEE 802.15.3c applications,Novel types of cyclically-coupled quasi-cyclic LDPC block codes,How far are LDPC codes from fundamental limits on total power consumption?,Serial scheduling algorithm of LDPC decoding for multimedia transmission,High throughput LDPC code and decoder design for HINOC 2.0 systems,Spatially coupled QC-LDPC for the tradeoff between MIMO BICM and BICM-ID schemes,Research on LDPC code decoding algorithm based on scheduling strategy,Advanced coding schemes for a multiband OFDM ultrawideband system towards 1 Gbps,Design of Low-Complexity Well-Structured LDPC Codes Based on Iterative-Filled Approach,Design of a New Kind of LDPC Decoder,Data conflict resolution for layered LDPC decoding algorithm by selective recalculation,High-Throughput Turbo-Sum-Product Decoding of QC LDPC Codes,Fundamental bounds on the interconnect complexity of decoder implementations,Alternate Iteration of Shuffled Belief Propagation Decoding,Performance analysis of sphere detection combined with the LDPC decoding,A new optimization of group shuffled LDPC decoding,Interconnection framework for high-throughput flexible LDPC decoders,Low Complexity LDPC Code Decoders for Next Generation Standards,Minimum-Energy LDPC Decoder for Real-Time Mobile Application,A novel LDPC decoder for DVB-S2 IP,High Throughput Parallel Scalable LDPC Encoder/Decoder Architecture for OFDM Systems,VLSI design of a high-throughput multi-rate decoder for structured LDPC codes,Layered Decoding of Non-Layered LDPC Codes,Low-Complexity Architectures of a Decoder for IEEE 802.16e LDPC Codes
Independent component approach to the analysis of EEG and MEG recordings,"R. Vigario, J. Sarela, V. Jousmiki, M. Hamalainen, E. Oja, ",2000,345,Analysis of auditory fMRI recordings via ICA: a study on consistency,Blotch removal in degraded digital video using independent component analysis,ICA and a gauge of filter for the automatic filtering of an EEG signal,Classifying Single-Trial ERPs from Visual and Frontal Cortex during Free Viewing,FPGA Implementation of FastICA based on Floating-Point Arithmetic Design for Real-Time Blind Source Separation,Statistical process monitoring using independent component analysis based disturbance separation scheme,Decimation filter with Common Spatial Pattern and Fishers Discriminant Analysis for motor imagery classification,A wavelet based algorithm for Ocular Artifact detection In the EEG signals,A low power independent component analysis processor in 90nm CMOS technology for portable EEG signal processing systems,A highly integrated biomedical multiprocessor SoC design for a wireless bedside monitoring system,Spatial weighted averaging for ERP denoising in EEG data,Categorizing Heartbeats by Independent Component Analysis and Support Vector Machines,A Comparative Approach to ECG Feature Extraction Methods,Mental EEG analysis based on independent component analysis,Detecting sensorimotor rhythms from the EEG signals using the independent component analysis and the coefficient of determination,Identifying cortical sources of corticomuscle coherence during bimanual muscle contraction by temporal decorrelation,A robust approach to ERP denoising,RDWT/ICA for image authentication,Real-time motion artifact detection and removal for ambulatory BCI,Removal of Ocular Artifacts in EEG—An Improved Approach Combining DWT and ANC for Portable Applications,A Three-Step Multimodal Analysis Framework for Modeling Corticomuscular Activity With Application to Parkinson’s Disease,Planar Electromagnetic Sensor Based Estimation of Nitrate Contamination in Water Sources Using Independent Component Analysis,Removing Muscle Artifacts From EEG Data: Multichannel or Single-Channel Techniques?,A Study on the Effectiveness of Different Independent Component Analysis Algorithms for Hyperspectral Image Classification,Optical Diffuse Imaging of an Ex Vivo Model Cancerous Human Breast Using Independent Component Analysis,Blind Source Separation for Unimodal and Multimodal Brain Networks: A Unifying Framework for Subspace Modeling,Independent component approach to the analysis of EEG and MEG recordings,Cardiac artifact subspace identification and elimination in cognitive MEG data using time-delayed decorrelation,Imaging brain dynamics using independent component analysis,A Novel Framework for Estimating Viewer Interest by Unsupervised Multimodal Anomaly Detection
Fast and globally convergent pose estimation from video images,"C. -P. Lu, G. D. Hager, E. Mjolsness, ",2000,344,The Formation Control Testbed Celestial Sensor: Overview Modelling and Calibrated Performance,Shadow-based matching for precise and robust absolute self-localization during lunar landings,Robust Extended Kalman Filtering for camera pose tracking using 2D to 3D lines correspondences,Low-cost vision-based 6-DOF MAV localization using IR beacons,Uncertainty Estimation in a Vision-Based Tracking System,Fast People Counting Using Head Detection from Skeleton Graph,Fast People Counting Using Head Detection From Skeleton Graph,People re-identification across multiple non-overlapping cameras system by appearance classification and silhouette part segmentation,Polyhedral object detection and pose estimation for augmented reality applications,Passivity-based visual motion observer: From theory to distributed algorithms,A vision system with multiple cameras designed for humanoid robots to play table tennis,Sensitivity analysis of EKF and iterated EKF pose estimation for position-based visual servoing,Identification of a parallel manipulator's pose using a parallelogram,Pose estimation from visual measurements using the epipolar constraint,Drogue detection and tracking method for monocular-vision-based autonomous aerial refueling,Fast tracking and accurate pose estimation of space flying target based on monocular vision,Evaluation of a method to solve the perspective-two-point problem using a three-axis orientation sensor,Tracking 3D free form object in video sequence,Mobile-Target Tracking via Highly-Maneuverable VTOL UAVs with EO Vision,A Framework for 2D Model-Based Pose Estimation,Provably-convergent iterative methods for projective structure from motion,Efficient model-based linear head motion recovery from movies,Real-time Image-Based Guidance Method for Lung-Cancer Assessment,AAM based face tracking with temporal matching and face segmentation,Matching 2D image lines to 3D models: Two improvements and a new algorithm,Very Fast Solution to the PnP Problem with Algebraic Outlier Rejection,Vision-based method of kinematic calibration and image tracking of position and posture for 3-RPS parallel robot,A novel structure-from-motion strategy for refining depth map estimation and multi-view synthesis in 3DTV,Stable Pose Estimation with a Motion Model in Real-Time Application,An UAV precision landing method based on virtual control point on the high voltage transmission line
A decomposition approach to CPM,"B. E. Rimoldi, ",1988,344,Energy efficient continuous phase modulation signals for satellite intelligent transportation systems,Distributed space-time trellis codes with continuous phase modulation for amplify and forward relaying,Block Markov superposition transmission of convolutional codes with minimum shift keying signalling,Carrier synchronisation for multiple symbol Trellis-coded CPFSK in burst-mode transmission,Better rate 1/2 coded continuous phase modulation schemes and the M-algorithm,Catastrophic continuous phase modulation schemes and their noncatastrophic equivalents,Trellis-coded continuous-phase frequency-shift keying with ring convolutional codes,Multiple-symbol trellis-coded modulation applied to noncoherent continuous-phase frequency shift keying,Bandwidth-efficient constant-energy trellis-coded modulation schemes with prescribed decoding delay,Nonlinear continuous phase frequency shift keying,Data-aided synchronization of coherent CPM-receivers,Noncoherent block demodulation of MSK with inherent and enhanced encoding,Decision feedback sequence estimation for continuous phase modulation on a linear multipath channel,Correlatively encoded multi-h signals,Combined modulation and coding for continuous-phase FSK with nonuniform alphabet,Trellis codes for 4-ary continuous phase frequency shift keying,Design of coded CPFSK modulation systems for bandwidth and energy efficiency,Nonlinear PSK and combined nonlinear PSK/FSK modulation,Nonlinear multi-h phase codes for CPFSK signaling,Nonlinear multipulse block coding of CPFSK signals,Coded continuous phase modulation using ring convolutional codes,A simple derivation of the power spectrum of full-response CPM and some of its properties,Multiple symbol trellis coding of CPFSK,Trellis-coded constant-envelope modulations with linear receivers,Reduced-complexity detection and phase synchronization of CPM signals,Generalized concatenation of encoded tamed frequency modulation,Coding CPFSK for differential demodulation,A quasi-optimum receiver for continuous phase modulation,Suboptimum detection of trellis-coded CPM for transmission on bandwidth- and power-limited channels,Performance of trellis-coded CPM with iterative demodulation and decoding
Capacity and delay tradeoffs for ad hoc mobile networks,"M. J. Neely, E. Modiano, ",2005,344,The Effect of Popularity Rule on Capacity and Delay in Multi-Sink WSNs,Impact of mobility on energy consumption in mobile ad hoc networks,Ad Hoc Networks with Topology-Transparent Scheduling Schemes: Scaling Laws and Capacity/Delay Tradeoffs,Capacity Region Minimum Energy and Delay for a Mobile Ad-Hoc Network,Coding Achieves the Optimal Delay-Throughput Trade-off in Mobile Ad-Hoc Networks: Two-Dimensional I.I.D. Mobility Model with Fast Mobiles,Delay analysis for real-time streaming media in multi-hop ad hoc networks,Impact of DSRC information content and transmission rate for highway vehicle platoons,On the application of pipelining in aggregation convergecast scheduling,Delay and Capacity in Ad Hoc Mobile Networks with f-Cast Relay Algorithms,On the Dissemination Latency of Cognitive Radio Networks under General Node Mobility,Epidemic-Based Information Dissemination in Wireless Mobile Sensor Networks,The Multicast Capacity of Large Multihop Wireless Networks,Network Capacity Region and Minimum Energy Function for a Delay-Tolerant Mobile Ad Hoc Network,On the Price of Security in Large-Scale Wireless Ad Hoc Networks,Delay and Capacity Tradeoff Analysis for MotionCast,Impact of Correlated Mobility on Delay–Throughput Performance in Mobile Ad Hoc Networks,Multicast Performance With Hierarchical Cooperation,Generalized Two-Hop Relay for Flexible Delay Control in MANETs,Scheduling Mobile Nodes for Cooperative Data Transport in Sensor Networks,On the Critical Delays of Mobile Networks Under Lévy Walks and Lévy Flights,Asymptotic Analysis on Secrecy Capacity in Large-Scale Wireless Networks,Approximation Algorithms for Throughput Maximization in Wireless Networks With Delay Constraints,Bounds of Asymptotic Performance Limits of Social-Proximity Vehicular Networks,Delay Characterization of Multihop Transmission in a Poisson Field of Interference,Content-Centric Wireless Networks With Limited Buffers: When Mobility Hurts,Backpressure Delay Enhancement for Encounter-Based Mobile Networks While Sustaining Throughput Optimality,Optimal Secrecy Capacity-Delay Tradeoff in Large-Scale Mobile Ad Hoc Networks,Mobility Weakens the Distinction Between Multicast and Unicast,Asymptotic Analysis on Content Placement and Retrieval in MANETs,Throughput and Delay Scaling of Content-Centric Ad Hoc and Heterogeneous Wireless Networks
A mobility-based framework for adaptive clustering in wireless ad hoc networks,"A. B. McDonald, T. F. Znati, ",1999,344,Toward self-organized mobile ad hoc networks: the terminodes project,A access-based clustering protocol for multihop wireless ad hoc networks,Mobile Ad Hoc Networks in Bandwidth-Demanding Mission-Critical Applications: Practical Implementation Insights,Energy aware routing in high capacity overlays in wireless sensor networks,A Grid-Based Stable Routing Algorithm in Mobile Ad Hoc Networks,Clustering multi-hop information dissemination method in vehicular ad hoc networks,Cellular-ad hoc network interoperation for coverage extension,Associativity-based stable cluster formation in mobile ad hoc networks,A mobility based metric for clustering in mobile ad hoc networks,Cost Based Scalable Clustering in MANET,Algorithmic Aspects for Independent and Dominating Sets in Mobile Ad Hoc Networks,SCAM: Scenario-based Clustering Algorithm for Mobile ad hoc networks,A survey of clustering schemes for mobile ad hoc networks,Routing in intermittently connected mobile ad hoc networks and delay tolerant networks: overview and challenges,On Access-Based Self-Organized Clustering in Ad hoc Mobile Wireless Networks,Stable Clustering with Efficient Routing in Wireless Ad Hoc Networks,Approximation of a confidence interval for link distances in Mobile Ad hoc Networks,Adaptive Location Update with Location Free Topology in Mobile Ad Hoc Networks,Performance of AODV Routing Protocol with Increasing the MANET Nodes and Its Effects on QoS of Mobile Ad Hoc Networks,Improved RTS-CTS algorithm to solve mobile hidden station problem in MANET,Concatenation-assisted symbol-level combining scheme based on LR for MIMO systems with ARQ,QoS by Multiple Cluster Head Gateway Approach in Mobile Ad Hoc Network,Reducing group management overhead in group-based location management,Scenario-Based Diameter-Bounded Algorithm for Cluster Creation and Management in Mobile Ad hoc Networks,A framework for trust-based cluster head election in wireless sensor networks,The Research of Reconfiguration Technology in Mobile Ad Hoc Network,Impact of Mobility Models on Clustering Based Routing Protocols in Mobile WSNs,Energy-efficient self-organization for wireless sensor networks: a fully distributed approach,Mobility-aware pro-active low energy (MAPLE) clustering in ad hoc mobile wireless networks,Loop-based topology maintenance and route discovery for wireless sensor networks
SSM/I instrument evaluation,"J. P. Hollinger, J. L. Peirce, G. A. Poe, ",1990,344,A Parameterization of the Microwave Land Surface Emissivity Between 19 and 100 GHz Anchored to Satellite-Derived Estimates,A Comparison of the Impact of QuikScat and WindSat Wind Vector Products on Met Office Analyses and Forecasts,Intercalibration Between Special Sensor Microwave Imager/Sounder and Special Sensor Microwave Imager,Analysis of the Special Sensor Microwave Imager/Sounder (SSMIS) Fields-of-View on DMSP F16,Special Sensor Microwave Imager Sounder (SSMIS) Radiometric Calibration Anomalies—Part I: Identification and Characterization,The Assimilation of SSMIS Radiances in Numerical Weather Prediction Models,Design and Evaluation of the First Special Sensor Microwave Imager/Sounder,The GSMaP Precipitation Retrieval Algorithm for Microwave Sounders—Part I: Over-Ocean Algorithm,Inversion of a Snow Emission Model Calibrated With In Situ Data for Snow Water Equivalent Monitoring,Wind-Vector Retrievals Under Rain With Passive Satellite Microwave Radiometers,Atmospheric Water Vapor and Cloud Liquid Water Retrieval Over the Arctic Ocean Using Satellite Passive Microwave Sensing,Solar Biases in Microwave Imager Observations Assimilated at ECMWF,Floating Dropsondes With DGPS Receiver for Real-Time Typhoon Monitoring,The FengYun-3 Microwave Radiation Imager On-Orbit Verification,The Emissivity of the Ocean Surface Between 6 and 90 GHz Over a Large Range of Wind Speeds and Earth Incidence Angles,Improved Geolocation and Earth Incidence Angle Information for a Fundamental Climate Data Record of the SSM/I Sensors,Toward an Intercalibrated Fundamental Climate Data Record of the SSM/I Sensors,Intercalibration of Microwave Radiometer Brightness Temperatures for the Global Precipitation Measurement Mission,A Probability Distribution Method for Detecting Radio-Frequency Interference in WindSat Observations,Common Mathematical Framework for Real and Synthetic Aperture by Interferometry Radiometers,Intercomparisons of Brightness Temperature Observations Over Land From AMSR-E and WindSat,Quantifying Uncertainties in Land-Surface Microwave Emissivity Retrievals,Two-Dimensional TSVD to Enhance the Spatial Resolution of Radiometer Data,Extension of Vicarious Cold Calibration to 85–92 GHz for Spaceborne Microwave Radiometers,Comparison of SSM/I and AMSR-E Sea Ice Concentrations With ASPeCt Ship Observations Around Antarctica,Band-Limited Signal Reconstruction From Irregular Samples With Variable Apertures,Optimum Image Formation for Spaceborne Microwave Radiometer Products,Statistical processing of large image sequences,TWO Microwave Imaging radiometers for MetOp Second Generation,PIn. II. Comparative evaluation of SSM/I and TMI precipitable water estimate for the Mediterranean Sea
Limitations of Imaging with First-Order Diffraction Tomography,"M. Slaney, A. C. Kak, L. E. Larsen, ",1984,343,An electromagnetic imaging approach using a multi-illumination technique,An active microwave imaging system for reconstruction of 2-D electrical property distributions,A model-driven approach to microwave diagnostics in biomedical applications,Image reconstruction of a complex cylinder illuminated by TE waves,Two-dimensional microwave imaging by a numerical inverse scattering solution,A pseudospectral technique for the discrete reconstruction of the three-dimensional equivalent-current density,Microwave tomography of lossy objects from monostatic measurements,A multiview microwave imaging system for two-dimensional penetrable objects,An approach to microwave imaging using a multiview moment method solution for a two-dimensional infinite cylinder,Numerical assessment concerning a focused microwave diagnostic method for medical applications,Two-dimensional dielectric profile reconstruction based on spectral-domain moment method and nonlinear optimization,Microwave imaging-complex permittivity reconstruction-by simulated annealing,On a linearized inverse scattering model for a three-dimensional flaw embedded in anisotropic advanced composite materials,Nonlinear two-dimensional velocity profile inversion using time domain data,Electromagnetic imaging of underground targets using constrained optimization,Inverse scattering of dielectric cylinders by a second-order Born approximation,Novel diffraction tomographic algorithm for imaging two-dimensional targets buried under a lossy Earth,Multifrequency dielectric profile inversion for a cylindrically stratified medium,Inverse scattering of two-dimensional dielectric objects buried in a lossy earth using the distorted Born iterative method,Electromagnetic inverse scattering of two-dimensional perfectly conducting objects by real-coded genetic algorithm,On the local minima in a tomographic imaging technique,Maximum entropy image reconstruction in X-ray and diffraction tomography,Reconstruction of dielectric permittivity distributions in arbitrary 2-D inhomogeneous biological bodies by a multiview microwave numerical method,Reconstruction of two-dimensional permittivity distribution using the distorted Born iterative method,Microwave imaging using the finite-element method and a sensitivity analysis approach,Consistency conditions and linear reconstruction methods in diffraction tomography,Microwave image reconstruction utilizing log-magnitude and unwrapped phase to improve high-contrast object recovery,An iterative method for optical reconstruction of graded index profiles in planar dielectric waveguides,Ultrasonic inverse scattering of multidimensional objects buried in multilayered elastic background structures,Experimental investigation of a diffraction tomography technique in fluid ultrasonics
Vertical handoffs in fourth-generation multinetwork environments,"J. McNair, Fang Zhu, ",2004,343,Analysis of handover blocking probability based packet loss for adaptive vertical handover,A Dynamic Channel Allocation Algorithm Based on Back-Propagation Neural Network for Vertical Handover in HetNets,Ping-Pong Avoidance Algorithm for Vertical Handover in Wireless Overlay Networks,A Two-Step Vertical Handoff Algorithm in Heterogeneous Traffic and Systems,Takeover: a new vertical handover concept for next-generation heterogeneous networks,Multi-mode Access System with Anchor Layer 2/3 Protocol for Beyond 3G Wireless Networks,Comparison between Vertical Handoff Decision Algorithms for Heterogeneous Wireless Networks,Network Selection with Joint Vertical and Horizontal Handoff in Heterogeneous WLAN and Mobile WiMax Systems,Mobility-Based Network Selection Scheme in Heterogeneous Wireless Networks,Dynamic Dwell Timer for Hybrid Vertical Handover in 4G Coupled Networks,Vertical Handoff Strategy on Achieving Throughput in Vehicular Heterogeneous Network,An adaptive fuzzy logic based vertical handoff decision algorithm for wireless heterogeneous networks,Achieving always Best Connected service for a mobile user in VANET,A Vertical Handoff Decision Algorithm for Heterogeneous Wireless Networks,Balancing CRRM Performance Goals with Load Shared Packet Services,Markov Decision Process-Based Adaptive Vertical Handoff with RSS Prediction in Heterogeneous Wireless Networks,Novel WLAN Coverage Area Estimation Leveraging Transition of Cellular Signal Using Multi-Mode Mobile Terminal for Heterogeneous Networks,Adaptive Energy Centric Radio Access Selection for Vertical Handover in Heterogeneous Networks,A dynamic load-balancing scheme for heterogeneous wireless networks,QoE-based network interface selection for heterogeneous wireless networks: A survey and e-Health case proposal,A power threshold based policy for vertical handoff in heterogeneous networks,Utilizing Weighted Rating of Multiple Attributes scheme to enhance handoff efficiency in heterogeneous wireless networks,A mobile-controlled handover management scheme in a loosely-coupled 3G-WLAN interworking architecture,Practical handover optimization solution using autonomic agent-based piloting system,Media streaming cost optimization for heterogeneous three-tier wireless networks,Enhanced Application-Driven Vertical Handoff Decision Scheme for 4G Wireless Networks,A Review of Vertical Handoff Algorithms for Cross-Domain Mobility,A Vertical Handoff Decision Algorithm Based on Fuzzy Control in WiMAX and TD-SCDMA Heterogeneous Wireless Networks,A Scheme for Graceful Vertical Handover in Heterogeneous Overlay Networks,MADM-based network selection in heterogeneous wireless networks: A simulation study
Social information filtering: algorithms for automating &ldquo;word of mouth&rdquo;,"Upendra Shardanand, Pattie Maes, ",1995,343
New fast algorithms for the estimation of block motion vectors,"B. Liu, A. Zaccarin, ",1993,343,Modifications and performance improvements of 3-step search block-matching algorithm for video coding,Re-evaluating MPEG motion compensation search criteria,A novel vario-power architecture of motion estimation using a content based subsample algorithm,An ASIP approach for motion estimation reusing resources for H.264 intra prediction,A Control Unit for a Motion Detector based on Histograms,Image stabilization and registration for tracking cells in the microvasculature,Power and performance analysis of motion estimation based on hardware and software realizations,On fast firmware/software-based video coding,Coarse-to-fine frame interpolation for frame rate up-conversion using pyramid structure,A Vario-power ME architecture using content-based subsample algorithm,An Efficient Frame Rate Up-Conversion Method for Mobile Phone with Projection Functionality,Variable step search fast motion estimation for H.264/AVC video coder,An efficient early-termination mode decision algorithm for H.264,Adaptive two-step edge-based partial distortion search algorithm using motion vector prediction,A content-based methodology for power-aware motion estimation architecture,Power-minimized bit allocation for video communication over wireless channels,A novel all-binary motion estimation (ABME) with optimized hardware architectures,Computation reduction for motion search in low rate video coders,Algorithmic and architectural co-design of a motion-estimation engine for low-power video devices,Adjustable partial distortion search algorithm for fast block motion estimation,A statistical adaptive block-matching motion estimation,Subblock matching-based conditional motion estimation with automatic threshold selection for video compression,A hierarchical N-Queen decimation lattice and hardware architecture for motion estimation,Global elimination algorithm and architecture design for fast block matching motion estimation,Motion estimation using spatio-temporal contextual information,Multi-resolution block matching algorithm and its VLSI architecture for fast motion estimation in an MPEG-2 video encoder,New sorting-based lossless motion estimation algorithms and a partial distortion elimination performance analysis,DCT-based adaptive thresholding algorithm for binary motion estimation,Two-bit transform for binary block motion estimation,A fast adaptive motion estimation algorithm
