Particle swarm optimization,"J. Kennedy, R. Eberhart, ",1995,14195,Ultra wideband antenna design using discrete Green's functions in conjunction with binary particle swarm optimisation,Multi-static radar power allocation for multi-stage stochastic task of missile interception,Control of IPM Synchronous Generator for Maximum Wind Power Generation Considering Magnetic Saturation,Real Time Implementation of an Artificial Immune System Based Controller for a DSTATCOM in an Electric Ship Power System,Hardware Implementation of an AIS-Based Optimal Excitation Controller for an Electric Ship,Particle swarm optimization - mass-spring system analogon,Use of intelligent-particle swarm optimization in electromagnetics,A novel ecological-biological-behavior praticle swarm optimization for Ackley's function,Improved Particle Swarm Optimization approach of PID controller design for machine tool positioning,A proposal for improved Particle Swarm Optimization,A novel building cooling load prediction based on SVR and SAPSO,Real-Time Face Reconstruction from a Single Depth Image,Learning to Navigate the Energy Landscape,Convergence of Vectors in Paired Comparison-based Interactive Differential Evolution for Creating Scent,Generation of Appropriate User Chord Development Based on Interactive Genetic Algorithm,Parallel Swarm Intelligence for VANETs Optimization,Improving Particle Swarm Optimization Algorithm for Distributed Sensing and Search,The particle swarm - explosion stability and convergence in a multidimensional complex space,A particle swarm optimization for reactive power and voltage control considering voltage security assessment,A modified DE: Population or generation based levy flight differential evolution (PGLFDE),Development of a Grey Wolf Optimizer Toolkit in LabVIEW<sup>™</sup>,Optimization of PID controller with first order noise filter,Training feedforward neural networks using hybrid flower pollination-gravitational search algorithm,Test case selection and prioritization using cuckoos search algorithm,Modeling identification of power plant thermal process based on PSO algorithm,Hammerstein and Wiener nonlinear models identification using a multimodal particle swarm optimizer,A particle swarm optimization approach for automatic diagnosis of PMSM stator fault,Modified particle swarm optimization algorithm for steelmaking charge plan with unknown charge number,A novel training algorithm in ANFIS structure,Adaptive Particle Swarm Optimization Algorithm for Power System Reactive Power Optimization
Efficient fair queuing using deficit round-robin,"M. Shreedhar, G. Varghese, ",1996,712,Fundamental trade-offs between resource separation and resource share for quality of service guarantees,Hardware implementation of fair queuing algorithms for asynchronous transfer mode networks,QoS support for integrated services over CATV,A terabit multiservice switch,TCP switching: exposing circuits to IP,On the relationship between absolute and relative fairness bounds,Toward best-effort services over WDM networks with fair access and minimum bandwidth guarantee,Linear-complexity algorithms for QoS support in input-queued switches with no speedup,Priority queue schedulers with approximate sorting in output-buffered switches,Implementing scheduling algorithms in high-speed networks,Scheduling algorithms in broadband wireless networks,Scheduling multimedia services in a low-power MAC for wireless and mobile ATM networks,Scalable services via egress admission control,Fair and efficient packet scheduling using Elastic Round Robin,Efficient fair queuing using deficit round-robin,Generalized guaranteed rate scheduling algorithms: a framework,Hierarchical packet fair queueing algorithms,Start-time fair queueing: a scheduling algorithm for integrated services packet switching networks,Real-time block transfer under a link-sharing hierarchy,Rate-proportional servers: a design methodology for fair queueing algorithms,Efficient fair queueing algorithms for packet-switched networks,Latency-rate servers: a general model for analysis of traffic scheduling algorithms,Carry-over round robin: a simple cell scheduling mechanism for ATM networks,Understanding and improving TCP performance over networks with minimum rate guarantees,Router plugins: a software architecture for next-generation routers,Credit-based fair queueing (CBFQ): a simple service-scheduling algorithm for packet-switched networks,Proportional Nested Deficit Round Robin: Improving the Latency of Packet Scheduler with an O(1) Complexity,Design and Evaluation of Diffserv Functionalities in the MPLS Edge Router Architecture,Extending WF^2 Q+ to Support a Dynamic Traffic Mix,Delay Analysis of Scheduling Algorithms for Real-Time Traffic in Packet Switched Networks
VSC-Based HVDC Power Transmission Systems: An Overview,"Nikolas Flourentzou, Vassilios G. Agelidis, Georgios D. Demetriades, ",2009,712,PMSG-based wind energy conversion systems: survey on power converters and controls,Method for controlling voltage and frequency of the local offshore grid responsible for connecting large offshore commercial wind turbines with the rectifier diode-based HVDC-link applied to an external controller,Diagnosis of single-phase open-line fault in three-phase PWM rectifier with LCL filter,Operation of a hybrid modular multilevel converter during grid voltage unbalance,Interaction between the voltage-droop and the frequency-droop control for multi-terminal HVDC systems,Single pole-to-ground fault location method for MMC-HVDC system using active pulse,Capacitor-voltage regulation and linear-range extension of a hybrid cascaded modular multilevel converter,Selective harmonic elimination pulse-width modulation of modular multilevel converters,Improved pulse-width modulation and capacitor voltage-balancing strategy for a scalable hybrid cascaded multilevel converter,Autonomous operation of ac-dc microgrids with minimised interlinking energy flow,Deadbeat direct power control of three-phase pulse-width modulation rectifiers,Phase-shift control and harmonics elimination for H-bridge Z-source inverter,Formulation of phase voltage and calculation of its total harmonic distortion in multilevel Z-source inverter,Complete mathematical model derivation for modular multilevel converter based on successive approximation approach,Stabilisation of asymmetrically structured back-to-back static synchronous compensator system with non-linear damping control,Voltage balancing control of isolated modular multilevel dc–dc converter for use in dc grids with zero voltage switching,High-power modular multilevel converter optimal design for DC/DC converter applications,Review on DC collection grids for offshore wind farms with high-voltage DC transmission system,Modulation control and performance analysis of asymmetric modular multilevel converter (A-MMC),Cost and losses associated with offshore wind farm collection networks which centralise the turbine power electronic converters,Design of backstepping power control for grid-side converter of voltage source converter-based high-voltage dc wind power generation system,Current output hard-switched full-bridge DC/DC converter for wind energy conversion systems,Dynamic analysis of DC–DC converter internal to an offshore wind farm,Decentralised voltage balancing in bipolar dc microgrids equipped with trans-z-source interlinking converter,Operating area for modular multilevel converter based high-voltage direct current systems,Common-mode voltage injection-based nearest level modulation with loss reduction for modular multilevel converters,Study on the dynamic reactive power characteristics of MMC-MTDC for wind farm integration,Influence of back-to-back VSC-HVDC project on the operation characteristics of Hubei power grid,Protection principle for MMC-HVDC DC lines based on boundary signals,Cross-coupling over frequency and sequence in impedance modelling of grid-connected inverter
Contiki - a lightweight and flexible operating system for tiny networked sensors,"A. Dunkels, B. Gronvall, T. Voigt, ",2004,712,Survey on security in Internet of Things: State of the art and challenges,Securing networked embedded systems code through distributed systems analysis,Securing RPL-based Internet of Things applied for water pipeline monitoring,MoX-MAC: A low power and efficient access delay for mobile wireless sensor networks,A multi-layer architecture for wireless sensor network virtualization,Improving the network lifetime with energy-balancing routing: Application to RPL,Fast Information Exchange in Proximity-Based Multichannel Wireless Networks,SNOMC: An overlay multicast protocol for Wireless Sensor Networks,A test environment for phase-based ranging and localization,Congestion-aware RPL for 6L0WPAN networks,Congestion analysis for low power and lossy networks,Cross-Component Power Management in Wireless Sensor Network,DT-WBAN: Disruption tolerant wireless body area networks in healthcare applications,Adding value to WSN simulation using the IoT-LAB experimental platform,A framework for cooperative intranet of Things wireless sensor network applications,Bluetooth smart: An enabling technology for the Internet of Things,Low overhead loop-free routing in wireless sensor networks,Enabling composite metrics in collection protocols for WSNs,Cloud assisted performance enhancement of smart applications in Wireless Sensor Networks,Energy aware software evolution for Wireless Sensor Networks,Design and analysis of virtualization framework for Wireless Sensor Networks,Proxy support for service discovery using mDNS/DNS-SD in low power networks,Trickle-L<sup>2</sup>: Lightweight link quality estimation through Trickle in RPL networks,Adaptive broadcast suppression for Trickle-based protocols,An integrated simulation environment for Wireless Sensor Networks,Energy efficiency impact of transient node failures when using RPL,Implementing dynamic address changes in ContikiOS,Modeling of Starter/Generator Based on Three-stage Brushless Synchronous Machines,Fault Diagnosis of the Blast Furnace Based on the Bayesian Network Model,An OPC UA Sleepy Proxy Mechanism for Wireless Field Devices
Providing quality of service over a shared wireless link,"M. Andrews, K. Kumaran, K. Ramanan, A. Stolyar, P. Whiting, R. Vijayakumar, ",2001,707,Generalised proportional fairness scheduler for broadband orthogonal frequency-division multiple access systems with heterogeneous traffics,Playout buffer and DRX aware scheduling scheme for video streaming over LTE system,Near-optimal packet scheduling scheme in satellite LTE networks,Energy-efficient interference management in LTE-D2D communication,Optimal Downlink Data Transmission Scheduling in Next Generation Wireless Systems.,A prefetching protocol for continuous media streaming in wireless environments,Subcarrier allocation in OFDMA systems: beyond water-filling,On User Selection for Multiple Antenna Wireless Networks with Contention-Based Feedback and Delay Constraints,Interference Mitigation Through Interference Avoidance,Opportunism backpressure and stochastic optimization with the wireless broadcast advantage,A new packet scheduling algorithm in satellite LTE networks,An exponential based packet scheduling scheme for real time traffic in satellite LTE networks,Performance analysis of EXP/PF and M-LWDF in downlink 3GPP LTE system,The Effect of Multiplexing Users in QoS Provisioning Scheduling,Delay analysis for max weight opportunistic scheduling in wireless systems,Performance evaluation for the uplink packet scheduling schemes by latency variation in IEEE 802.16 systems,Delay-aware packet scheduling algorithm for multiple traffic classes in 3GPP LTE system,Efficient carrier selection schemes for dual-carrier HSDPA system,Dynamic resource reallocation for 5G with OFDMA in multiple user MIMO RoF-WDM-PON,Performance comparison of packet scheduling algorithms in LTE-A HetNets,VoIP frame bundling for WiMAX downlink,Scheduling algorithm with delay-limited for VoIP in LTE,Performance analysis of PF M-LWDF and EXP/PF packet scheduling algorithms in 3GPP LTE downlink,MOAR: a multi-channel opportunistic auto-rate media access protocol for ad hoc networks,A traffic load adaptive fair scheduler for MIMO systems,Integrating admission control and packet scheduling for quality controlled streaming services in HSDPA networks,Service Specific Queue Sorting and Scheduling Algorithm for OFDMA-Based LTE-Advanced Networks,Reliable low latency communications in LTE networks,Fair and delay adaptive scheduler for UC and NGN networks,An efficient hybrid scheduling algorithm for high speed cellular networks
Layering as Optimization Decomposition: A Mathematical Theory of Network Architectures,"Mung Chiang, Steven H. Low, A. Robert Calderbank, John C. Doyle, ",2007,701,An explicit solution for the energy-efficient cooperative transmission problem in wireless sensor networks,Frequency planning for clustered jointly processed cellular multiple access channel,Interference-leakage based non-cooperative beamforming with low-dimensional approximation,Network utility maximisation framework with multiclass traffic,Sliding Mode Based Joint Congestion Control and Scheduling in Multi-Hop Ad Hoc Networks with Multi-Class Services,Stability of congestion control schemes with delay sensitive traffic,Krasovskii's method in the stability of network control,On a rate control protocol for networked estimation,Accelerated dual descent for network optimization,A distributed line search for network optimization,Distributed Least Square with intermittent communications,Composite trust in networked multi-agent systems,Layering in networks: The case of biochemical systems,Semismooth equation approach to Network Utility Maximization (NUM),A real-time control framework for smart power networks with star topology,Signal propagation across layered biochemical networks,A distributed PID controller for network congestion control problems,Differentially private cloud-based multi-agent optimization with constraints,A Theory of dynamics control and optimization in layered architectures,Resource Allocation Under Delay-Guarantee Constraints for Visible-Light Communication,Cross-Layer Optimization and Protocol Analysis for Cognitive Ad Hoc Communications,Statistical QoS-Driven Resource Allocation and Source Adaptation for D2D Communications Underlaying OFDMA-Based Cellular Networks,Optimal layered architectures of wireless networks,Weighted sum rate maximization on two user Gaussian interference channels with rate splitting,The cost of using cooperation in a wireless network,A contrasting look at network formation models and their application to the minimum spanning tree,Exploring utility-based optimization and management for Wireless Sensor Networks and Machine-to-Machine communications,Joint transmission scheduling and congestion control for adaptive streaming in wireless device-to-device networks,Simultaneous routing and power allocation using location information,Optimization of distributed estimation for networked manufactuirng
A multiline method of network analyzer calibration,"R. B. Marks, ",1991,700,Easily fabricated 60 GHz WR15/MSL transition to measure apparent reflection coefficient of differentially fed patch antennas,Developing microfluidically controlled SPDT waveguide switch using 3D printing,Closed-form and dispersive model considerations for relative permittivity extraction at millimetre-wave frequencies,Transmission-line parameter approximation for digital simulation,Accuracy of a multiport network analyzer,On-wafer measurements of noise temperature,A semi-automatic 3-port network analyzer,Reciprocity relations in waveguide junctions,LRM probe-tip calibrations using nonideal standards,Micromachined W-band filters,Modeling of coplanar stripline discontinuities,Development of accurate on-wafer cryogenic characterization techniques,Modeling the bias and temperature dependence of a C-class MESFET amplifier,Micromachined microwave transmission lines in CMOS technology,Open- and short-circuit terminated series stubs in finite-width coplanar waveguide on silicon,Multimode TRL. A new concept in microwave measurements: theory and experimental verification,Micromachined thermocouple microwave detector by commercial CMOS fabrication,Characterization of broad-band transmission for coplanar waveguides on CMOS silicon substrates,A new technique for in-fixture calibration using standards of constant length,A 10-60-GHz micromachined directional coupler,RF and mechanical characterization of flip-chip interconnects in CPW circuits with underfill,Low-loss micromachined filters for millimeter-wave communication systems,Characterization and applications of on-wafer diode noise sources,Characterization of balanced transmission line by microwave techniques,On-wafer characterization of millimeter-wave antennas for wireless applications,A measurement-based design equation for the attenuation of MMIC-compatible coplanar waveguides,Multiconductor transmission-line characterization: Representations approximations and accuracy,Analysis of cylindrical transmission lines with the finite-difference time-domain method,W-band finite ground coplanar monolithic multipliers,Conductor loss in superconducting planar structures: calculations and measurements
Axiomatic derivation of the principle of maximum entropy and the principle of minimum cross-entropy,"J. Shore, R. Johnson, ",1980,700,An approximation theoretic approach to maximum entropy spectral analysis,Minimum cross-entropy spectral analysis of multiple signals,Which is the better entropy expression for speech processing: -S log S or log S?,Multisignal minimum-cross-entropy spectrum analysis with weighted initial estimates,A general method of minimum cross-entropy spectral estimation,Multichannel relative-entropy spectrum analysis,Comments on A general method of minimum cross-entropy spectral estimation,An Information Theoretic Approach to Digital Fault Testing,Concise Derivation of Scattering Function from Channel Entropy Maximization,An efficient algorithm for video sequence matching using the modified Hausdorff distance and the directed divergence,Likelihood maximization approach to image registration,Multilabel Image Classification Via High-Order Label Correlation Driven Active Learning,Properties of cross-entropy minimization,Rate-distortion speech coding with a minimum discrimination information distortion measure,Statistical discrimination using inaccurate models,Cross-entropy minimization given fully decomposable subset and aggregate constraints (Corresp.),The acceptance of information its subjective cost and the measurement of distortion (Corresp.),Discrete utterance speech recognition without time alignment,Sequential detection of abrupt changes in spectral characteristics of digital signals,On a relation between maximum likelihood classification and minimum relative-entropy classification (Corresp.),Computation of minimum cross entropy spectral estimates: An unconstrained dual convex programming method,Large sample properties of maximum entropy histograms,Hidden Markov processes,MIMO channel modeling and the principle of maximum entropy,On the existence and characterization of the maxent distribution under general moment inequality constraints,On minimizing distortion and relative entropy,On the Asymptotic Consistency of Minimum Divergence and Least-Squares Principles,An Identity of Chernoff Bounds With an Interpretation in Statistical Physics and Applications in Information Theory,Physics of the Shannon Limits,Optimized Query Forgery for Private Information Retrieval
TEEN: a routing protocol for enhanced efficiency in wireless sensor networks,"A. Manjeshwar, D. P. Agrawal, ",2001,699,Base Station Controlled and Energy Efficient Centralized Hierarchical Routing Protocol (BSEECH),An Energy Efficient Prediction-Based Technique for Tracking Moving Objects in WSNs,A Data Aggregation Transfer Protocol Based on Clustering and Data Prediction in Wireless Sensor Networks,An energy-efficient LEACH algorithm for wireless sensor networks,Multi-periodic Data Aggregation Scheme Based on Interest for Energy Efficiency in Wireless Sensor Network,An Innovative Braille System Keyboard for the Visually Impaired,Smart risk assessment systems using belief-rule-based DSS and WSN technologies,Energy Optimization in Redundant WSNs under Deterministic and Probabilistic Sensing Models,A Survey on Centralised and Distributed Clustering Routing Algorithms for WSNs,Centralized Dynamic Clustering for Wireless Sensor Network,An Energy Efficient Chain-Based Clustering Routing Protocol for Wireless Sensor Networks,A Cluster Allocation and Routing Algorithm Based on Node Density for Extending the Lifetime of Wireless Sensor Networks,Deployment Challenges and Developments in Wireless Sensor Networks Clustering,DYN-NbC-JSM: Dynamic Joint Sink Mobility with Need-Based Clustering in WSNs,A Study of Routing Protocols in Wireless Sensor Networks,An energy-efficient routing protocol for wireless sensor networks,A data gathering algorithm based on swarm intelligence and load balancing strategy for mobile sink,A balanced energy consumption clustering algorithm for heterogeneous energy wireless sensor networks,An integral flow-based energy-efficient routing algorithm for wireless sensor networks,Gossip-based sleep protocol (GSP) for energy efficient routing in wireless ad hoc networks,Analysis of hierarchical algorithms for wireless sensor network routing protocols,The new intrusion prevention and detection approaches for clustering-based sensor networks [wireless sensor networks],Mobile base stations placement and energy aware routing in wireless sensor networks,An Energy-Aware Periodical Data Gathering Protocol Using Deterministic Clustering in Wireless Sensor Networks (WSN),A Hybrid Routing Protocol for Wireless Sensor Networks Based on a Two-Level Clustering Hierarchy with Enhanced Energy Efficiency,Event-to-Sink Directed Clustering in Wireless Sensor Networks,A Lightweight and Robust Routing Protocol for Real-Time Indoor Localization of Emergency Responders,Analytical modeling of spatial variation of energy dissipation in cluster-based wireless sensor networks,Threshold Sensitive Region-Based Hybrid Routing protocol for precision agriculture,Fusion Coding Algorithm of Node Energy in Wireless Sensor Networks
Highly dynamic Destination-Sequenced Distance-Vector routing (DSDV) for mobile computers,"Charles E. Perkins, Pravin Bhagwat, ",1994,698,Comparative performance evaluation of routing protocols for mobile ad hoc networks,An implementational study of certain heuristics for the performance enhancements of AODV,On-demand multipath distance vector routing in ad hoc networks,Positioning range extension gateways in mobile ad hoc wireless networks to improve connectivity and throughput,A survey on position-based routing in mobile ad hoc networks,Integrated cellular and ad hoc relaying systems: iCAR,An efficient table driven routing algorithm for wireless ad hoc networks,Analysis of TCP performance on ad hoc networks using preemptive maintenance routing,The performance of query control schemes for the zone routing protocol,Scenario-based comparison of source-tracing and dynamic source routing protocols for ad-hoc networks,Evaluating the energy-consumption reduction in a MANET by dynamically switching-off network interfaces,Load-balanced wireless ad hoc routing,Route maintenance in a wireless mobile ad hoc network,The multi-agent system for dynamic network routing,Ad hoc on-demand backup node setup routing protocol,Arguments for cross-layer optimizations in Bluetooth scatternets,Geographical routing using partial information for wireless ad hoc networks,On reducing packet latencies in ad hoc networks,New technological vistas for systems and control: the example of wireless networks,An on-demand QoS routing protocol for mobile ad hoc networks,Landmark routing for large ad hoc wireless networks,On-demand routing using directional antennas in mobile ad hoc networks,Domination and its applications in ad hoc wireless networks with unidirectional links,Fisheye state routing: a routing scheme for ad hoc wireless networks,Location aware one-to-many communication in mobile multi-hop wireless networks,Finding available bandwidth in multihop mobile wireless networks,A local/global strategy based on signal strength for message routing in wireless mobile ad-hoc networks,IPv6 flow handoff in ad hoc wireless networks using mobility prediction,A multicast routing protocol for multihop wireless networks,A Survey of Ant Colony Optimization Based Routing Protocols for Mobile Ad Hoc Networks
Topological properties of hypercubes,"Y. Saad, M. H. Schultz, ",1988,697,A fast recognition-complete processor allocation strategy for hypercube computers,Asymptotically optimal broadcasting and gossiping in faulty hypercube multicomputers,Combinatorial analysis of the fault-diameter of the n-cube,Line digraph iterations and connectivity analysis of de Bruijn and Kautz graphs,Deadlock-free fault-tolerant routing in injured hypercubes,Broadcasting on incomplete hypercubes,Efficient resource placement in hypercubes using multiple-adjacency codes,The cost of broadcasting on star graphs and k-ary hypercubes,Embedding of rings and meshes onto faulty hypercubes using free dimensions,Hypercube communication delay with wormhole routing,Embedding graphs onto the Supercube,Contention-free 2D-mesh cluster allocation in hypercubes,Free dimensions-an effective approach to achieving fault tolerance in hypercubes,A limited-global-information-based multicasting scheme for faulty hypercubes,Global commutative and associative reduction operations in faulty SIMD hypercubes,A fault-tolerant tree communication scheme for hypercube systems,The extended cube connected cycles: an efficient interconnection for massively parallel systems,Hardware-assisted software clock synchronization for homogeneous distributed systems,Subcube allocation and task migration in hypercube multiprocessors,All-to-all broadcasting in faulty hypercubes,Adaptive fault-tolerant routing in hypercube multicomputers,K-pairwise cluster fault tolerant routing in hypercubes,Fault tolerance measures for m-ary n-dimensional hypercubes based on forbidden faulty sets,Realizing common communication patterns in partitioned optical passive stars (POPS) networks,Distributed fault-tolerant ring embedding and reconfiguration in hypercubes,Embedding complete binary trees into butterfly networks,Constructing one-to-many disjoint paths in folded hypercubes,Maximum-shortest-path (MSP): an optimal routing policy for mesh-connected multicomputers,Fault tolerance in the Block-Shift Network,Minimax nonredundant channel coding
Neural networks for nonlinear programming,"M. P. Kennedy, L. O. Chua, ",1988,697,Analytical and learning-based spectrum sensing time optimisation in cognitive radio systems,A neuron-weighted learning algorithm and its hardware implementation in associative memories,Recurrent neural networks for phasor detection and adaptive identification in power system control and protection,Analysis of microstrip antennas using neural networks,On the synthesis of nonlinear continuous neural networks,High-order absolutely stable neural networks,Qualitative analysis of neural networks,Nonlinear switched capacitor 'neural' networks for optimization problems,Global optimization: a naive approach,On the analysis of dynamic feedback neural nets,On a class of nonsymmetrical neural networks with application to ADC,Cellular neural networks: theory,Stability and relaxation time of Tank and Hopfield's neural network for solving LSE problems,A stochastic connectionist approach for global optimization with application to pattern clustering,A modular T-mode design approach for analog neural network hardware implementations,Analog neural programmable optimizers in CMOS VLSI technologies,Evolutionary programming techniques for constrained optimization problems,Real-time implementation of 'propagator' bearing estimation algorithm by use of neural network,Programmable switched-capacitor neural network for MVDR beamforming,Analog neural optimization for ATM resource management,Artificial neural networks for real-time estimation of basic waveforms of voltages and currents,Clamped state solution of artificial neural network for real-time economic dispatch,Hydro system scheduling using ANN approach,A noise annealing neural network for hydroelectric generation scheduling with pumped-storage units,Linear and quadratic programming neural network analysis,A two-phase optimization neural network,OSNet: a neural network implementation of order statistic filters,Neural network for quadratic optimization with bound constraints,Inhibitory grids and the assignment problem,Performance and fault-tolerance of neural networks for optimization
Distributed Space-Time Coding in Wireless Relay Networks,"Yindi Jing, Babak Hassibi, ",2006,697,Space-time coding scheme for time-frequency asynchronous two-way relay networks,Outage probability analysis for a cognitive amplify-and-forward relay network with single and multi-relay selection,Design of distributed collaborative space-time block codes for two-way relaying networks,Performance analysis of randomised space-time block codes for amplify-and-forward cooperative relaying,Distributed orthogonal space-time block coding in wireless relay networks,Distributed space-time-frequency block code for cognitive wireless relay networks,Adaptive power allocation strategies for distributed space-time coding in cooperative MIMO networks,Improved maximum a posteriori signal detection for amplify-and-forward relay networks with imperfect channel state information,Opportunistic relaying with analogue and digital network coding for two-way parallel relay network,Diversity achieving schemes for two-way multi-antenna relay networks in Nakagami-m fading,Dual-antenna selection with distributed space–time block codes in two-way relaying networks,Symbol error rate of QO-STBC based decode-and-forward cooperative communication system over generalised ${bi eta }$η–${bi mu }$μ and ${bi kappa }$κ–${bi mu }$μ fading channels,Distributed space-time coding with decode-and-forward-amplify-and-forward selection relaying protocol in cooperative wireless sensor networks,Impact of CSI on Distributed Space-Time Coding in Wireless Relay Networks,Analysis of amplify-and-forward DSTBCs over the random set relay channel,End-to-end antenna selection strategies for multi-hop relay channels,Outage analysis for hybrid relaying in the parallel relay network,Equivalent codes and optimality of orthogonal space-time block codes,Generalized diversity embedded block codes: code construction and PEP analysis in wireless cooperation networks,Opportunistic relaying through amplify-and-forward distributed space-time codes with partial statistical CSI at relays,On the DMT optimality of the rotate-and-forward scheme in a two-hop MIMO relay channel,On the performance of multistage cooperative networks,Finite block length coding for low-latency high-reliability wireless communication,Updatable ARQ protocol for distributed space-time coded relay networks,On performance of cooperative OFDM/TDM with frequency-domain equalization in a multipath wireless channel,A Distributed Space-Time Coding Scheme for Wireless Relay Networks,Jointly optimal precoder and power allocation for an amplify-and-forward half-duplex relay system,Performance analysis of randomized distributed space-time codes in Nakagami-m fading,Distributed Spatially-Modulated Space-Time-Block-Codes,Is Analog Network Coding more energy efficient than TDMA?
Probabilistic routing in intermittently connected networks,"Anders Lindgren, Avri Doria, Olov Schel&eacute;n, ",2003,697,Social-Aware Backbone-Based Multicast Routing in Mobile Opportunistic Networks,Performance Analysis of Routing Protocols in Delay Tolerant Networks,A Relay Selection Strategy Based on Power-Law and Exponentially Distributed Contacts in DTNs,Research on the Routing Algorithm of LEO-Satellite DTN Network Based on Multi-Attribute Decision Making,Study of the energy performance of DTN protocols,A dynamic topological potential and social relationship based routing protocol for mobile social delay tolerant networks,Genetic algorithm and probability based routing protocol for Opportunistic Networks,Contact Duration-Aware Routing in Delay Tolerant Networks,ST-Drop: A novel buffer management strategy for D2D opportunistic networks,Routing algorithm based on ant colony optimization for mobile social network,An anycast routing strategy with time constraint in delay tolerant networks,An anonymous messaging system for Delay Tolerant Networks,A survey on PROPHET based routing protocol in delay tolerant network,Centrality based congestion controlled routing protocol for social opportunistic networks,Multi-rate combination of partial information-based routing and adaptive modulation and coding for space deterministic delay/disruption tolerant networks,Distributed Privacy-Protecting Routing in DTN: Concealing the Information Indispensable in Routing,Home-Based Multi-Copy Routing in Mobile Social Networks,Detecting flooding attack while accommodating burst traffic in delay tolerant networks,A game theory based secure model against Black hole attacks in Opportunistic Networks,A Privacy-Reserved Approach for Message Forwarding in Opportunistic Networks,EA-PRoPHET: An Energy Aware PRoPHET-Based Routing Protocol for Delay Tolerant Networks,Supernova and Hypernova Misbehavior Detection Scheme for Opportunistic Networks,Infrastructure Mode Based Opportunistic Networks on Android Devices,Analysing connectivity patterns and centrality metrics for opportunistic networks,An Efficient Routing Protocol Based on Data Posting in an Opportunistic Network,Group-Purchase Scheme for Content Dissemination in Opportunistic Networks,An energy efficient hybrid routing strategy for delay tolerant networks,A survey of routing algorithms in Delay Tolerant Networks,Opportunistic Sensor Networks: A survey on privacy and secure routing,HITM: A Hybrid Incentive Trade Model for Data Forwarding in DTNs
Internet time synchronization: the network time protocol,"D. L. Mills, ",1991,695
Maximum lifetime routing in wireless sensor networks,"Jae-Hwan Chang, L. Tassiulas, ",2004,695,Maximizing lifetime in wireless sensor networks under opportunistic routing,Energy optimization based path selection algorithm for IEEE 802.11s Wireless Mesh Networks,Lifetime optimization for Wireless Sensor Networks,Cost-effective maximum lifetime routing protocol for wireless sensor networks,Link Quality and Local Load Balancing Routing Mechanisms in Wireless Sensor Networks,A Distributed and Dynamic Data Gathering Protocol for Sensor Networks,An Optimal Approach for Image Transmission in Multi-Rate Wireless Sensor Network,Integrated Design of Grid-based Routing in Wireless Sensor Network,An Effort to Understand the Optimal Routing Performance in Wireless Sensor Network,Non-Uniform Node Deployment for Lifetime Extension in Large-Scale Randomly Distributed Wireless Sensor Networks,Cross Layer Routing for Multihop Cellular Networks,Role Assignment for Data Aggregation in Wireless Sensor Networks,On lifetime centric routing and power allocation in BER constrained cognitive radio ad hoc networks,Resilience of thick-line WSN based surveillance systems under irregular crossings,A Novel Topology Control with Reconfigurable Radio for Sustainable Wireless Ad Hoc Networks,On energy aware routing in wireless networks,Optimal node distribution for achieving a desired lifetime in wireless sensor networks,Simulated Annealing for Maximizing the Lifetime of Sensor Networks under Opportunistic Routing,MAC-aware routing in wireless sensor networks,PCAR: a power-aware chessboard-based adaptive routing protocol for wireless sensor networks,Hybrid genetic algorithm based technique to maximize the network lifetime in WSN,Performance evaluation of lifetime-aware routing in Wireless Sensor Networks with practical design considerations,An energy-efficient data gathering technique using multiple paths in wireless sensor networks,Maximum Lifetime Routing in Wireless Sensor Network by Minimizing Various Chemical Limitations of a Practical Battery,Energy-Aware Routing Based on Runtime Power Consumption Characteristics of Sensor Hardware,Minimum energy cost reliable routing in ad hoc wireless networks,LRNC: Lifetime-aware routing using network coding in wireless sensor network,A Maximum Time Optimal Control Approach to Routing in Sensor Networks,On robust maximum lifetime routing in wireless sensor networks,Joint rate control and routing for energy-constrained wireless sensor networks
