Speech Dereverberation Based on Maximum-Likelihood Estimation With Time-Varying Gaussian Source Model,"Tomohiro Nakatani, Biing-Hwang Juang, Takuya Yoshioka, Keisuke Kinoshita, Marc Delcroix, Masato Miyoshi, ",2008,16,Reverberant speech enhancement by spectral processing with reward-punishment weights,An expectation-maximization algorithm for multichannel adaptive speech dereverberation in the frequency-domain,Reverberation and noise robust feature enhancement using multiple inputs,Perceptually-motivated selective suppression of late reverberation,Mathematical analysis of speech dereverberation based on time-varying Gaussian source model: Its solution and convergence characteristics,Partitioned block frequency domain Kalman filter for multi-channel linear prediction based blind speech dereverberation,Online Dereverberation for Dynamic Scenarios Using a Kalman Filter With an Autoregressive Model,Reverberation Model-Based Decoding in the Logmelspec Domain for Robust Distant-Talking Speech Recognition,Speech Dereverberation Based on Variance-Normalized Delayed Linear Prediction,Robust Speech Recognition Based on Dereverberation Parameter Optimization Using Acoustic Model Likelihood,Generalization of Multi-Channel Linear Prediction Methods for Blind MIMO Impulse Response Shortening,Variational Bayesian Inference for Multichannel Dereverberation and Noise Reduction,A recursive generalized sidelobe canceler for multichannel blind speech dereverberation,On acoustic channel identification in multi-microphone systems via adaptive blind signal enhancement techniques
A multimedia desktop collaboration system,"M. -S. Chen, Z. -Y. Shae, D. D. Kandlur, T. P. Barzilai, H. M. Vin, ",1992,16,Enhancing videoconferencing using spatially varying sensing,Media-intensive data communications in a desk-area network,The VuNet desk area network: architecture implementation and experience,Protocol architecture for multimedia applications over ATM networks,MCMP: a transport/session level distributed protocol for desktop conference setup,Videoconferencing over packet-based networks,Stream conversion to support interactive video playout,Transmission of compressed motion video over computer networks,Centralized versus distributed schemes for videoconferencing,Videoconferencing using spatially varying sensing with multiple and moving foveae,Variable resolution teleconferencing,Experience with the VuNet: A network architecture for a distributed multimedia system,On multipoint control units for videoconferencing,A network architecture for distributed multimedia systems,A video conferencing testbed on ATM: design implementation and optimizations,Downloading and stream conversion: supporting interactive playout of videos in a client station
Bandwidth Extension for Hierarchical Speech and Audio Coding in ITU-T Rec. G.729.1,"Bernd Geiser, Peter Jax, Peter Vary, Herv&Eacute; Taddei, Stefan Schandl, Martin Gartner, Cyril Guillaume, St&Eacute;phane Ragot, ",2007,16,Algebraic codebook search strategy for an algebraic code-excited linear-prediction speech coder by means of reduced candidate mechanism and iteration-free pulse replacement,Steganographic Wideband Telephony Using Narrowband Speech Codecs,Research on audio bandwidth extension codec,A novel frequency domain BWE with relaxed synchronization and associated BWE switching,Enhanced AMR-WB bandwidth extension in 3GPP EVS codec,An embedded variable bit-rate coder based on GSM EFR: EFR-EV,Low-complexity Bandwidth Extension in MDCT domain for low-bitrate speech coding,Voice source estimation for artificial bandwidth extension of telephone speech,Speech bandwidth extension based on in-band transmission of higher frequencies,Speech Bandwidth Extension Using Recurrent Temporal Restricted Boltzmann Machines,ITU-T G.729.1 scalable codec for new wideband services,Bandwidth Extension of Telephone Speech Using a Neural Network and a Filter Bank Implementation for Highband Mel Spectrum,Audio Bandwidth Extension Based on Ensemble Echo State Networks with Temporal Evolution,Joint pre-echo control and frame erasure concealment for VoIP audio codecs,Wide-band speech coding using kernel methods and bandwidth extension based on parametric stereo
An edge-oriented progressive image coding,"Y. Itoh, ",1996,16,Image quality evaluation based on recognition times for fast image browsing applications,VLSI implementation of edge detector and vector quantizer for very low bitrate video encoding,An image compression algorithm based on the Karhunen Loève transform,VLSI implementation of single chip encoder/decoder for low bitrate visual communication,Implementation of very low bitrate video encoder core,Image representation using curvature information in intensity profiles,The extraction and linking of brink points in an image,Contour-based motion estimation and object tracking for real-time applications,Edge-based image synthesis model and its application to image coding,An adaptive DCT coding with edge based classification,Adaptive tracking algorithm based on direction field using ML estimation in angiogram,Representing images using points on image surfaces,Content Adaptive Mesh Representation of Images Using Binary Space Partitions
Rectification of a Sinusoidally Modulated Carrier in the Presence of Noise,"D. Middleton, ",1948,16,A CMOS UWB K-band impulse radar receiver,A CMOS UWB K-band impulse radar receiver,Detection of Asymmetric Sideband Signals in the Presence of Noise,The Second Detector - A Determinant of Fringe-Area Performance,A Systems Approach to Star Trackers,Detection of Asymmetric Sideband Signals in the Presence of Noise,Detection of Television Signals in Thermal Noise,Detection of Modulated Gaussian Signals in Noise,General results in the mathematical theory of random signals and noise in nonlinear devices,Rectification of two signals in random noise,Envelope detector phase loss
Learning a Precedence Effect-Like Weighting Function for the Generalized Cross-Correlation Framework,"K. W. Wilson, T. Darrell, ",2006,16,The Ideal Interaural Parameter Mask: A bound on binaural separation systems,Smart Audio/Video Playback Control Based on Presence Detection and User Localization in Home Environment,Speech Source Separation by Combining Localization Cues with Mixture Models of Speech Spectra,On the role of localization cues in binaural segregation of reverberant speech,Integrating monaural and binaural analysis for localizing multiple reverberant sound sources,Robust direction estimation with convolutional neural networks based steered response power,Approaches and databases for online calibration of binaural sound localization for robotic heads,A precedence effect based far-field DoA estimation algorithm,Robust Time-Delay Estimation for Acoustic Indoor Localization in Reverberant Environments,Multiple active speaker localization based on audio-visual fusion in two stages,Sequential Organization of Speech in Reverberant Environments by Integrating Monaural Grouping and Binaural Localization,Hands-free voice communication with TV,Directional Acoustic Source'S Position and Orientation Estimation Approach by a Microphone Array Network,Localization of RW-UAVs using particle filtering over distributed microphone arrays,Fast accurate time delay estimation based on enhanced accumulated Cross-power Spectrum Phase
On the necessary density for spectrum-blind nonuniform sampling subject to quantization,"M. Gastpar, Y. Bresler, ",2000,16,A sampling theorem for periodic piecewise polynomial signals,Sparse partial derivatives and reconstruction from partial Fourier data,Recovering K-sparse N-length vectors in O(K log N) time: Compressed sensing using sparse-graph codes,Signal Reconstruction From Noisy Random Projections,Sub-linear time compressed sensing using sparse-graph codes,Distortion-rate functions for quantized compressive sensing,Data-Driven Learning of a Union of Sparsifying Transforms Model for Blind Compressed Sensing,A self-referencing level-set method for image reconstruction from sparse Fourier samples,A self-referencing level-set method for image reconstruction from sparse Fourier samples,On the necessary density for spectrum-blind nonuniform sampling,Channel Capacity Under Sub-Nyquist Nonuniform Sampling,Approximate Sparsity Pattern Recovery: Information-Theoretic Lower Bounds,Support Recovery of Sparse Signals in the Presence of Multiple Measurement Vectors,Subspace Methods for Joint Sparse Recovery,MR Image Reconstruction From Highly Undersampled k-Space Data by Dictionary Learning,Number of measurements in sparse signal recovery
"A 0.8 V, 2.6 mW, 88 dB Dual-Channel Audio Delta-Sigma D/A Converter With Headphone Driver","Kyehyung Lee, Qingdong Meng, Tetsuro Sugimoto, Koichi Hamashita, Kaoru Takasuka, Seiji Takeuchi, Un-Ku Moon, Gabor C. Temes, ",2009,16,A stereo 110 dB multi-rate audio ΔΣ DAC with Class-G headphone driver,A 90dB DR audio delta-sigma DAC with headphone driver for hearing aid,A 65nm 1.2V 16-bit audio codec sigma-delta DAC with headphone driver,An ultra low voltage Sigma Delta modulator with inverter based scalable amplifier,A 250mV 7.5μW 61dB SNDR CMOS SC ΔΣ modulator using a near-threshold-voltage-biased CMOS inverter technique,Design of Three-Stage Class-AB 16  $Omega$ Headphone Driver Capable of Handling Wide Range of Load Capacitance,A High-Resolution 2-GHz Fractional-N PLL With Crystal Oscillator PVT-Insensitive Feedback Control,Interpolation by a prime factor other than 2 in low-voltage low-power ΣΔ DAC,System-level power optimization for a ΣΔ D/A converter for hearing-aid application
Multimodal Speaker Diarization,"Athanasios Noulas, Gwenn Englebienne, Ben J. A. Krose, ",2012,16,Soft nonnegative matrix co-factorizationwith application to multimodal speaker diarization,The gesturer is the speaker,Tracking the Active Speaker Based on a Joint Audio-Visual Observation Model,PARAD-R: Speech analysis software for meeting support,An overview of speaker diarization: Approaches resources and challenges,Audio-visual speaker localization via weighted clustering,Speaker Diarization: A Review of Recent Research,Active Learning Based Constrained Clustering For Speaker Diarization,Online Cross-Modal Adaptation for Audio–Visual Person Identification With Wearable Cameras,Multimodal Multi-Channel On-Line Speaker Diarization Using Sensor Fusion Through SVM,Soft Nonnegative Matrix Co-Factorization,Audio-Visual Speaker Diarization Based on Spatiotemporal Bayesian Fusion
Investigating lightly supervised acoustic model training,"L. Lamel, J. L. Gauvain, G. Adda, ",2001,16,Text spotting in large speech databases for under-resourced languages,Leveraging large amounts of loosely transcribed corporate videos for acoustic model training,Detection of precisely transcribed parts from inexact transcribed corpus,Unsupervised acoustic model training,Light supervision in acoustic model training,Unsupervised Training on Large Amounts of Broadcast News Data,Spoken language translation from parallel speech audio: Simultaneous interpretation as SLT training data,Quantifying the value of pronunciation lexicons for keyword search in lowresource languages,Automatic transcription of parliamentary meetings and classroom lectures - A sustainable approach and real system evaluations -,Corpus and transcription system of Chinese Lecture Room,Unsupervised acoustic model training for the Korean language,Unsupervised Acoustic Model Adaptation Based on Ensemble Methods,DNN adaptation for recognition of children speech through automatic utterance selection,Automatic meeting transcription system for the Japanese parliament (diet),Language model transformation applied to lightly supervised training of acoustic model for congress meetings,Unsupervised training of acoustic models for large vocabulary continuous speech recognition
ITU-T standardization of audiovisual communication systems in ATM and LAN environments,"S. Okubo, S. Dunstan, G. Morrison, M. Nilsson, H. Radha, D. L. Skran, G. Thom, ",1997,16,Scheduling multimedia services in a low-power MAC for wireless and mobile ATM networks,Error-propagation prevention technique for real-time video transmission over ATM networks,Congestion control for multipoint videoconferencing,IP telephony vs. ATM: what is there to discuss?,Control and coordination of interactive videoconferencing over hybrid networks,Control and management architecture for multipoint videoconferencing over ATM networks,Modeling of layered video for low-bit-rate video conferencing applications,A congestion control strategy for multipoint videoconferencing,An H.323 gatekeeper prototype: design implementation and performance analysis
Emotion recognition in speech using MFCC and wavelet features,"K. V. Krishna Kishore, P. Krishna Satish, ",2013,16,Classification of emotions from speech signal,An efficient text dependent speaker recognition using fusion of MFCC and SBC,Music genre classification using data mining algorithm,ECG signals classification using MFCC coefficients and ANN classifier,Emotion recognition on the basis of audio signal using Naive Bayes classifier,Emotion recognition on speech signals using machine learning,Stressed speech emotion recognition using feature fusion of teager energy operator and MFCC,An efficient multimodal person authentication system using Gabor and sub band coding,Emotion recognition from speech using MFCC and DWT for security system,A comprehensive survey on features and methods for speech emotion detection,Emotion detection using perceptual based speech features,Combination of Fourier and wavelet transformations for detection of speech emotions,Impact of gender and emotion type in dialogue emotion recognition,Emotion recognition in speech using MFCC with SVM DSVM and auto-encoder,Emotion analysis and speech signal processing
Music Pitch Representation by Periodicity Measures Based on Combined Temporal and Spectral Representations,"G. Peeters, ",2006,16,Testing reliability of Mirtoolbox,A Parametric Method for Pitch Estimation of Piano Tones,Periodic signal modeling for the octave problem in music transcription,Automatic transcription of piano music by sparse representation of magnitude spectra,Signal Processing for Music Analysis,Multipitch Estimation of Piano Sounds Using a New Probabilistic Spectral Smoothness Principle,Spectral and Temporal Periodicity Representations of Rhythm for the Automatic Classification of Music Audio Signal,Combining Spectral and Temporal Representations for Multipitch Estimation of Polyphonic Music,Multipitch Estimation of Piano Music by Exemplar-Based Sparse Representation,Highlighting root notes in chord recognition using cepstral features and multi-task learning,Between homomorphic signal processing and deep neural networks: Constructing deep algorithms for polyphonic music transcription,Robust and adaptive control using measurements of higher order derivatives,Multi-pitch estimation based on sparse representation with pre-screened dictionary,The design of musical instrument tuning system based on stm32f103 microcomputer
Wavelet-Based Approach to Evaluation of Signal Integrity,"Jan T. Bialasiewicz, David Gonz&aacute;lez, Josep Balcells, Javier Gago, ",2013,16,Wavelet packet decomposition for power quality monitoring in smart grid,Inter-chip wireless interconnect system over PCB medium channels,Interaction of concurrent processes in cyber-physical systems,Wireless Inter/Intra-Chip Communication Using an Innovative PCB Channel Bounded by a Metamaterial Absorber,WPD for Detecting Disturbances in Presence of Noise in Smart Grid for PQ Monitoring,Wavelet-Based Approach for Online Fuel Cell Remaining Useful Lifetime Prediction,Discrete Wavelet Transform-Based Feature Extraction of Experimental Voltage Signal for Li-Ion Cell Consistency,Data Denoising and Compression for Smart Grid Communication
Audio/video databases: an object-oriented approach,"S. Gibbs, C. Breiteneder, D. Tsichritzis, ",1993,16,Structured Temporal Composition of Multimedia Data,Design of multimedia database and a query language for video image data,An approach for synchronization and management of multimedia scenarios in an object-oriented database,Temporal synchronization models for multimedia data,A database approach for modeling and querying video data,3D-List: a data structure for efficient video query processing,Composition and search with a video algebra,Design and implementation of a multimedia database server,Versioning model of image objects for easy development of image database applications,The design of an extensible multimedia library for an OODBMS,Extensible multimedia class library for object-oriented database systems,A next-generation industry multimedia database system,Content-based access to algebraic video,Multimedia applications using a database programming language-INADA,Management of multimedia scenarios in an object-oriented database system
A bidirectional target-filtering model of speech coarticulation and reduction: two-stage implementation for phonetic recognition,"Li Deng, Dong Yu, A. Acero, ",2006,16,Roles of high-fidelity acoustic modeling in robust speech recognition,A Database of Vocal Tract Resonance Trajectories for Research in Speech Processing,A deep convolutional neural network using heterogeneous pooling for trading acoustic invariance with phonetic confusion,Sequential Labeling Using Deep-Structured Conditional Random Fields,Structured speech modeling,Model-Based Reproduction of Articulatory Trajectories for Consonant–Vowel Sequences,Context-Dependent Pre-Trained Deep Neural Networks for Large-Vocabulary Speech Recognition,Machine Learning Paradigms for Speech Recognition: An Overview
Audio Recording Location Identification Using Acoustic Environment Signature,"Hong Zhao, Hafiz Malik, ",2013,16,SSVEP-based BCI classification using power cepstrum analysis,Source phone identification using sketches of features,Cell phone verification from speech recordings using sparse representation,Source cell phone matching from speech recordings by sparse representation and KISS metric,Infrasonic scene fingerprinting for authenticating speaker location,Mobile phone clustering from acquired speech recordings using deep Gaussian supervector and spectral clustering,Mobile phone identification using recorded speech signals,Inferring room semantics using acoustic monitoring,Acoustic Environment Identification and Its Applications to Audio Forensics,Anti-Forensics of Environmental-Signature-Based Audio Splicing Detection and Its Countermeasure via Rich-Features Classification,Mobile Phone Clustering From Speech Recordings Using Deep Representation and Spectral Clustering
A Compressed Sensing Approach to Blind Separation of Speech Mixture Based on a Two-Layer Sparsity Model,"Guangzhao Bao, Zhongfu Ye, Xu Xu, Yingyue Zhou, ",2013,16,Probability distribution estimation of music signals in time and frequency domains,Underdetermined separation of instantaneous speech mixtures with hierarchical sparse recovery scheme,Learning a hierarchical dictionary for single-channel speech separation,Learning a Discriminative Dictionary for Single-Channel Speech Separation,A Robust Time-Frequency Decomposition Model for Suppression of Mixed Gaussian-Impulse Noise in Audio Signals,A Consolidated Perspective on Multimicrophone Speech Enhancement and Source Separation,A pitch state dependent dictionary design method for single-channel speech separation,Single-channel speech separation based on robust sparse Bayesian learning,Compressed sensing based underdetermined blind source separation with unsupervised sparse dictionary self-learning
An efficient model-based multirate method for reconstruction of audio signals across long gaps,"P. A. A. Esquef, L. W. P. Biscainho, ",2006,16,Packet loss replacement in VoIP using a low-order recursive linear prediction method,Kalman filter based packet loss replacement in presence of additive noise,Real-time audio error concealment method based on sinusoidal model,Modulation decompositions for the interpolation of long gaps in acoustic signals,Audio packet loss concealment using spectral motion,Reconstruction of Real Signals,Lost Sample Recovering of ECG Signals in e-Health Applications,A Kalman filter approach to packet loss replacement in presence of additive noise,Audio packet loss concealment using motion-compensated spectral extrapolation,Packet loss replacement in voip using a recursive low-order autoregressive model-based speech,Kalman filter method for packet loss replacement in presence of background noise,Restoration of Audio Documents by Means of Extended Kalman Filter,Interpolation of Lost Speech Segments Using LP-HNM Model With Codebook Post-Processing,Missing Sample Recovery for Wireless Inertial Sensor-Based Human Movement Acquisition,Recovering electrocardiogram missing samples in wireless transmission
The turbo principle in joint source channel decoding of variable length codes,"J. Hagenauer, R. Bauer, ",2001,16,Joint source-channel iterative decoding of codes,LDPC code optimization with joint source-channel decoding of quantized Gauss-Markov signals,Joint JPEG-block coding with expurgating trellis for wireless robust image transmission,Analysis and optimization of irregular LDPC codes for joint source-channel decoding,Joint Source and Channel Coding,Integrated Source-Channel Decoding for Correlated Data-Gathering Sensor Networks,Genetic Algorithm Aided Design of Component Codes for Irregular Variable Length Coding,Multi-Class Source-Channel Coding,Markov chain Monte Carlo algorithms for CDMA and MIMO communication systems,Near-capacity irregular variable length coding and irregular unity rate coding,On different LDPC-based joint source-channel optimised decoding schemes,Joint source-channel codes based on irregular turbo codes and variable length codes,Joint Source–Channel Turbo Techniques for Discrete-Valued Sources: From Theory to Practice,Iterative Decoding of Serially Concatenated Arithmetic and Channel Codes With JPEG 2000 Applications,Joint source/channel coding and MAP decoding of arithmetic codes,Transmission of nonuniform memoryless sources via nonsystematic turbo codes
Boosting Contextual Information for Deep Neural Network Based Voice Activity Detection,"Xiao-Lei Zhang, DeLiang Wang, ",2016,16,Malaria Parasite Detection From Peripheral Blood Smear Images Using Deep Belief Networks,DNN-based voice activity detection with local feature shift technique,Speech separation by cost-sensitive deep learning,Improving native language (L1) identifation with better VAD and TDNN trained separately on native and non-native English corpora,Spectrum energy based voice activity detection,Two methods for estimating noise amplitude spectral in non-stationary environments,Efficient target activity detection based on recurrent neural networks,Deep neural networks for Multi-Room Voice Activity Detection: Advancements and comparative evaluation,A 1μW voice activity detector using analog feature extraction and digital deep neural network,Quick and efficient definition of hangbefore and hangover criteria for voice activity detection,Bird detection in audio: A survey and a challenge,Two-Stage Single-Channel Audio Source Separation Using Deep Neural Networks,Analysis of the robustness of neural network-based target activity detection,Linear-scale filterbank for deep neural network-based voice activity detection,Voice Activity Detection Using an Adaptive Context Attention Model
A method for separation of overlapping partials based on similarity of temporal envelopes in multichannel mixtures,"H. Viste, G. Evangelista, ",2006,16,Multiple Fundamental Frequency Estimation Based on Harmonic Structure Model,Integration and Adaptation of Harmonic and Inharmonic Models for Separating Polyphonic Musical Signals,Simultaneous processing of sound source separation and musical instrument identification using Bayesian spectral modeling,Note Recognition of Polyphonic Music Based on Timbre Model,Soundprism: An Online System for Score-Informed Source Separation of Music Audio,Spectro-temporal modeling of harmonic magnitude tracks for music source separation,Music source separation synthesis using Multiple Input Spectrogram Inversion,Enhancing the Tracking of Partials for the Sinusoidal Modeling of Polyphonic Sounds,Unsupervised Single-Channel Music Source Separation by Average Harmonic Structure Modeling,A Watermarking-Based Method for Informed Source Separation of Audio Signals With a Single Sensor,Separation of synchronous pitched notes by spectral filtering of harmonics
Efficient causally ordered communications for multimedia real-time applications,"R. Baldoni, A. Mostefaoui, M. Raynal, ",1995,16,Causality of messages in object-based systems,/spl Delta/-causality in wide-area group communications,Causal precedent relations among messages in object-based systems,Group protocol for object-based systems,Ordered delivery of messages for various types of invocations in object-based systems,Group communication in distributed multimedia objects,Causal ordering in distributed mobile systems,QoS-based ordered delivery for multimedia objects in a group,Group communication of multimedia objects,Group protocol for inter-object communications,Group communication protocol for multimedia applications,An efficient causal ordering algorithm for mobile computing environments,Group communication protocol for real-time applications,Protocol for synchronizing multimedia objects exchanged in a group of processes
Distributional Semantic Models for Affective Text Analysis,"Nikolaos Malandrakis, Alexandros Potamianos, Elias Iosif, Shrikanth Narayanan, ",2013,16,GOAALLL!: Using sentiment in the World Cup to explore theories of emotion,Audio salient event detection and summarization using audio and text modalities,Class sequential rules for emotion extraction from text,Exploration of robust features for multiclass emotion classification,Affective language model adaptation via corpus selection,Predicting audio-visual salient events based on visual audio and text modalities for movie summarization,Signal Processing and Machine Learning for Mental Health Research and Clinical Applications [Perspectives],Quality evaluation of computational models for movie summarization,Community-Based Weighted Graph Model for Valence-Arousal Prediction of Affective Words
Power-Normalized Cepstral Coefficients (PNCC) for Robust Speech Recognition,"Chanwoo Kim, Richard M. Stern, ",2016,16
Noncausal all-pole modeling of voiced speech,"W. R. Gardner, B. D. Rao, ",1997,16,On time-frequency masking in voiced speech,Enhanced waveform interpolative coding at low bit-rate,Mixed-phase AR models for voiced speech and perceptual cost functions,Improved model parameter compensation methods for noise-robust speech recognition,Dispersion phase vector quantization for enhancement of waveform interpolative coder,Improvement of Probabilistic Acoustic Tube model for speech decomposition,Maximum Phase Modeling for Sparse Linear Prediction of Speech,Incorporating AM-FM effect in voiced speech for probabilistic acoustic tube model,Techniques for improving sinusoidal transform vocoders
Zero-crossing measurements for analysis and recognition of speech sounds,"M. Ito, R. Donaldson, ",1971,16,Noise robust zerocrossing rate computation for audio signal classification,Zero-crossing rates of mixtures and products of Gaussian processes,A fast algorithm for detecting contractions in uterine electromyography,A DSP implemented speech/voiceband data discriminator,Realtime recognition of unvoiced fricatives in continuous speech to aid the deaf,Speaker independent isolated Arabic word recognition system,Speech enhancement by non-stationary tonal disturbance cancellation using subband zero crossing measures,An Integrated Voice Recognition System,A study on a reduction of the transmission bit rate by U/V decision using LSP in the CELP vocoder,Speech amplitude and zero crossings for automated identification of human speakers,An integrated voice recognition system,A descriptive technique for automatic speech recognition,Computer recognition of the continuant phonemes in connected english speech
Implementation and evaluation of a low-power sound-based user activity recognition system,"M. Stager, P. Lukowicz, G. Troster, ",2004,16,Dealing with Class Skew in Context Recognition,Activity recognition using body mounted sensors: An unsupervised learning based approach,Fine-grained activity recognition by aggregating abstract object usage,Power and size optimized multi-sensor context recognition platform,Trading off prediction accuracy and power consumption for context-aware wearable computing,Fusion of String-Matched Templates for Continuous Activity Recognition,Energy-Efficient Activity Recognition Using Prediction,Recognizing Activities Using a Kinect Skeleton Tracking and Hidden Markov Models,Using prediction to conserve energy in recognition on mobile devices,Power optimization for wearable devices,AmbientSense: A real-time ambient sound recognition system for smartphones,Do you hear what I hear? Using acoustic probing to detect smartphone locations,Activity Recognition of Assembly Tasks Using Body-Worn Microphones and Accelerometers,Recognizing hospital care activities with a coat pocket worn smartphone
Default Bayesian Estimation of the Fundamental Frequency,"Jesper Kj&aelig;r Nielsen, Mads Gr&aelig;sb&oslash;ll Christensen, S&oslash;ren Holdt Jensen, ",2013,16,Instantaneous fundamental frequency estimation of non-stationary periodic signals using non-linear recursive filters,Pitch estimation for non-stationary speech,A fast algorithm for maximum likelihood-based fundamental frequency estimation,Grid size selection for nonlinear least-squares optimisation in spectral estimation and array processing,Initialization-robust Bayesian multipitch analyzer based on psychoacoustical and musical criteria,On frequency domain models for TDOA estimation,Fast and statistically efficient fundamental frequency estimation,Harmonic minimum mean squared error filters for multichannel speech enhancement,Bayesian multi-antenna sensing in cognitive radio networks using Fractional Bayes Factor,The single- and multichannel audio recordings database (SMARD),Robust Estimation and Tracking of Pitch Period Using an Efficient Bayesian Filter,Bayesian Model Comparison With the g-Prior
"Audio scene segmentation using multiple features, models and time scales","H. Sundaram, S. -F. Chang, ",2000,16,Sports Program Boundary Detection,An SVM Framework for Genre-Independent Scene Change Detection,Computable scenes and structures in films,Enhanced Eigen-Audioframes for Audiovisual Scene Change Detection,Co-clustering for Auditory Scene Categorization,A Mid-Level Scene Change Representation Via Audiovisual Alignment,A flexible framework for key audio effects detection and auditory context inference,Towards a unified framework for content-based audio analysis,Text-Like Segmentation of General Audio for Content-Based Retrieval,Video scene segmentation using video and audio features,Visually-based audio texture segmentation for audio scene analysis,Bayesian belief based tactic analysis of attack events in broadcast soccer video,Music Genre Determination Using Audio Fingerprinting,Automatic scene change detection for composed speech and music sound under low SNR noisy environment,Unsupervised auditory scene categorization via key audio effects and information-theoretic co-clustering,Scene change detection by audio and video clues
Robust Audio-Visual Speech Recognition Based on Late Integration,"Jong-Seok Lee, Cheol Hoon Park, ",2008,16,Multimodal Engagement Classification for Affective Cinema,Design and implementation of a lip reading system in smart phone environment,A lip geometry approach for feature-fusion based audio-visual speech recognition,Emotion recognition based on the multiple physiological signals,Emotion recognition based on feedback weighted fusion of multimodal emotion data,DEAP: A Database for Emotion Analysis ;Using Physiological Signals,Perceptual Experience Analysis for Tone-mapped HDR Videos Based on EEG and Peripheral Physiological Signals,Implicit Analysis of Perceptual Multimedia Experience Based on Physiological Response: A Review,A Novel Lip Descriptor for Audio-Visual Keyword Spotting Based on Adaptive Decision Fusion
Mechanical Filters-A Review of Progress,"R. A. Johnson, M. Borner, M. Konno, ",1971,16,Microelectromechanical filters for signal processing,Design and simulation of a High-Q Low Motional Resistance Highly Linear IF Microelectromechanical Filter,High-Quality Wide-Band Mechanical Filters Theory and Design,III. Mechanical Filters and Resonators,IV. Ceramic Filters and Resonators,Trapped Energy Thickness-Flexural Modes Model of Elongated Rectangular Plates,Crystal and mechanical filters,A History of Microwave Filter Research Design and Development,Microelectromechanical filters for signal processing,Crystal ceramic and mechanical filters in Japan
Estimating Dominance in Multi-Party Meetings Using Speaker Diarization,"Hayley Hung, Yan Huang, Gerald Friedland, Daniel Gatica-Perez, ",2011,16,Transmission channel effects on human speaker identification in multiparty conference calls,Look who's talking: Detecting the dominant speaker in a cluttered scenario,Do they like me? Using video cues to predict desires during speed-dates,Wordless Sounds: Robust Speaker Diarization Using Privacy-Preserving Audio Representations,Wearable Audio Monitoring: Content-Based Processing Methodology and Implementation,A System to Analyze Group Socializing Behaviors in Social Parties,Prediction of the Leadership Style of an Emergent Leader Using Audio and Visual Nonverbal Features
Time-varying feature selection and classification of unvoiced stop consonants,"K. S. Nathan, H. F. Silverman, ",1994,16,Time-frequency analysis and auditory modeling for automatic recognition of speech,Nonlinear modeling and processing of speech based on sums of AM-FM formant models,Acoustic-phonetic features for the automatic classification of stop consonants,Development of the LEMS speech recognizer: improving performance using feature-sets,Recognition of unvoiced stops from their time-frequency representation,Classification and clustering of stop consonants via nonparametric transformations and wavelets,Robust classification of stop consonants using auditory-based speech processing,Time-Varying Autoregressions in Speech: Detection Theory and Applications
Intelligent Sound Source Localization and its application to multimodal human tracking,"Keisuke Nakamura, Kazuhiro Nakadai, Futoshi Asano, G&ouml;khan Ince, ",2011,16,An ultrasonic/RF GP-based sensor model robotic solution for indoors/outdoors person tracking,Real-time sound source localisation for target tracking applications using an asynchronous microphone array,Noise mask for TDOA sound source localization of speech on mobile robots in noisy environments,Real-time super-resolution Sound Source Localization for robots,Outdoor auditory scene analysis using a moving microphone array embedded in a quadrocopter,Simultaneous asynchronous microphone array calibration and sound source localisation,Robot-Audition-based Human-Machine Interface for a Car,Time difference of arrival estimation based on binary frequency mask for sound source localization on mobile robots,Computation saving in a SRP-PHAT sound source locator variant,Localisation of a sound source in different positions using Kinect sensors,Audio-visual multi-person tracking for active robot perception,Depth information based separation of moving speakers' voices from mixed recordings,A Geometric Approach to Sound Source Localization from Time-Delay Estimates,Energy-Based Sound Source Localization with Low Power Consumption in Wireless Sensor Networks,Localization of RW-UAVs using particle filtering over distributed microphone arrays
An architecture for on-demand service deployment over a telco CDN,"Pantelis A. Frangoudis, Louiza Yala, Adlen Ksentini, Tarik Taleb, ",2016,16,On Multi-Access Edge Computing: A Survey of the Emerging 5G Network Edge Cloud Architecture and Orchestration,On-the-Fly QoE-Aware Transcoding in the Mobile Edge,QoE-Aware Computing Resource Allocation for CDN-as-a-Service Provision,Efficient Transcoding and Streaming Mechanism in Multiple Cloud Domains,QoE-aware elasticity support in cloud-native 5G systems,Lightweight service replication for ultra-short latency applications in mobile edge networks,QoE estimation-based server benchmarking for virtual video delivery platform,Content delivery network slicing: QoE and cost awareness,Secure multi-party data communications in cloud augmented IoT environment,Cost aware caching and streaming scheduling for efficient cloud based TV,Optimizing service replication for mobile delay-sensitive applications in 5G edge network,Cloud-based video-on-demand services for smart TV,Mobile Edge Computing Potential in Making Cities Smarter,A Model for Collaborative Blockchain-Based Video Delivery Relying on Advanced Network Services Chains,Dynamic Deployment and Optimization of Virtual Content Delivery Networks,CDN-As-a-Service Provision Over a Telecom Operator’s Cloud,Edge Computing for the Internet of Things: A Case Study,Optimal VNFs Placement in CDN Slicing Over Multi-Cloud Environment
